MJJ: Indxx MicroSectors Cannabis ETN
Inception Date: 2019-12-13
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	40664
Shares Outstanding: 600000
Expense Ratio: 0.7%
Tracks This Index: Indxx MicroSectors North American Cannabis Index
ETFdb.com Category: Health & Biotech Equities
Issuer: BMO Financial Group
Structure: ETN
ETF Home Page: https://etfdb.com/etf/MJJ


Holding,Symbol,Weighting
Mettler-Toledo International Inc,MTD,9.9147%
Agilent Technologies Inc,A,9.6562%
Waters Corp,WAT,9.6367%
Abbvie Inc,ABBV,9.4407%
Thermo Fisher Scientific Inc,TMO,9.4345%
Canopy Growth Corp,WEED,8.0096%
PerkinElmer Inc,PKI,7.0262%
Tilray Inc,TLRY,5.1567%
Scotts Miracle-Gro Co,SMG,4.8078%
Innovative Industrial Properties Inc,IIPR,4.5219%
Catalent Inc,CTLT,3.8565%
Bruker Corp,BRKR,3.305%
Arena Pharmaceuticals Inc,ARNA,2.3564%
Aphria Inc,APHA,2.0224%
Cronos Group Inc,CRON,1.4774%
Zynerba Pharmaceuticals Inc,ZYNE,1.3512%
Hexo Corp,HEXO,1.102%
Cara Therapeutics Inc,CARA,0.9965%
Village Farms International Inc,VFF,0.7597%
OrganiGram Holdings Inc,OGI,0.5572%
Green Organic Dutchman Holdings Ltd,TGOD,0.4589%
Corbus Pharmaceuticals Holdings Inc,CRBP,0.3984%
