MMLG: First Trust Multi-Manager Large Growth ETF
Inception Date: 2020-07-21
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2398
Shares Outstanding: 100000
Expense Ratio: 0.85%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: First Trust
Structure: 
ETF Home Page: https://etfdb.com/etf/MMLG


Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,5.13%
Sea Ltd. (Singapore) Sponsored ADR Class A,SE,4.43%
"Facebook, Inc. Class A",FB,4.07%
"ServiceNow, Inc.",NOW,3.64%
"Square, Inc. Class A",SQ,3.62%
"Netflix, Inc.",NFLX,3.54%
Visa Inc. Class A,V,3.48%
Microsoft Corporation,MSFT,3.44%
Adobe Inc.,ADBE,3.29%
Apple Inc.,AAPL,3.0%
"Match Group, Inc.",MTCH,2.6%
"Uber Technologies, Inc.",UBER,2.58%
Alphabet Inc. Class A,GOOGL,2.12%
"Twilio, Inc. Class A",TWLO,1.9%
Intuit Inc.,INTU,1.73%
"Align Technology, Inc.",ALGN,1.69%
"CoStar Group, Inc.",CSGP,1.52%
"Zoetis, Inc. Class A",ZTS,1.5%
"Charter Communications, Inc. Class A",CHTR,1.37%
"Zillow Group, Inc. Class C",Z,1.33%
UnitedHealth Group Incorporated,UNH,1.3%
Mastercard Incorporated Class A,MA,1.3%
Warner Music Group Corp. Class A,WMG,1.2%
"Floor & Decor Holdings, Inc. Class A",FND,1.15%
"salesforce.com, inc.",CRM,1.06%
"Illumina, Inc.",ILMN,1.06%
PayPal Holdings Inc,PYPL,1.01%
Atlassian Corp. Plc Class A,TEAM,0.94%
TJX Companies Inc,TJX,0.9%
Edwards Lifesciences Corporation,EW,0.88%
Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,MISXX,0.83%
"NIKE, Inc. Class B",NKE,0.81%
Walt Disney Company,DIS,0.8%
"Burlington Stores, Inc.",BURL,0.78%
Fiverr International Ltd.,FVRR,0.77%
"Workday, Inc. Class A",WDAY,0.75%
Grocery Outlet Holding Corp.,GO,0.74%
V.F. Corporation,VFC,0.71%
Eli Lilly and Company,LLY,0.7%
Procter & Gamble Company,PG,0.69%
Global Payments Inc.,GPN,0.68%
"Coupa Software, Inc.",COUP,0.68%
Costco Wholesale Corporation,COST,0.66%
"Constellation Brands, Inc. Class A",STZ,0.66%
Alphabet Inc. Class C,GOOG,0.66%
Thermo Fisher Scientific Inc.,TMO,0.64%
McDonald\'s Corporation,MCD,0.63%
Texas Instruments Incorporated,TXN,0.61%
"Airbnb, Inc. Class A",ABNB,0.61%
"Leidos Holdings, Inc.",LDOS,0.61%
"Fortune Brands Home & Security, Inc.",FBHS,0.6%
"DexCom, Inc.",DXCM,0.55%
Sherwin-Williams Company,SHW,0.55%
"Motorola Solutions, Inc.",MSI,0.55%
Baxter International Inc.,BAX,0.55%
"Teradyne, Inc.",TER,0.54%
FedEx Corporation,FDX,0.53%
"FLEETCOR Technologies, Inc.",FLT,0.53%
"Snowflake, Inc. Class A",SNOW,0.51%
"GoDaddy, Inc. Class A",GDDY,0.5%
"Hologic, Inc.",HOLX,0.49%
"DoorDash, Inc. Class A",DASH,0.48%
"NextEra Energy, Inc.",NEE,0.46%
American Express Company,AXP,0.46%
Danaher Corporation,DHR,0.45%
Monster Beverage Corporation,MNST,0.45%
CDW Corp.,CDW,0.45%
"Sarepta Therapeutics, Inc.",SRPT,0.44%
"Equity LifeStyle Properties, Inc.",ELS,0.44%
Corning Inc,GLW,0.43%
"Activision Blizzard, Inc.",ATVI,0.43%
Raytheon Technologies Corporation,RTX,0.43%
"EPAM Systems, Inc.",EPAM,0.43%
Colgate-Palmolive Company,CL,0.42%
"Seagen, Inc.",SGEN,0.42%
"BlackRock, Inc.",BLK,0.42%
"West Pharmaceutical Services, Inc.",WST,0.42%
Equifax Inc.,EFX,0.41%
"Fidelity National Information Services, Inc.",FIS,0.41%
Science Applications International Corp.,SAIC,0.4%
"Guidewire Software, Inc.",GWRE,0.4%
Teleflex Incorporated,TFX,0.38%
Splunk Inc.,SPLK,0.38%
"Becton, Dickinson and Company",BDX,0.38%
Chubb Limited,CB,0.37%
"Alexandria Real Estate Equities, Inc.",ARE,0.37%
Laboratory Corporation of America Holdings,LH,0.36%
"SS&C Technologies Holdings, Inc.",SSNC,0.35%
Vulcan Materials Company,VMC,0.35%
Vertex Pharmaceuticals Incorporated,VRTX,0.32%
"Republic Services, Inc.",RSG,0.32%
Walmart Inc.,WMT,0.3%
Mirati Therapeutics Inc.,MRTX,0.3%
"BWX Technologies, Inc.",BWXT,0.29%
"DocuSign, Inc.",DOCU,0.27%
SHORT POSITIONS,Other,-0.08%
