MOO: VanEck Vectors Agribusiness ETF
Inception Date: 2007-08-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	793801
Shares Outstanding: 10200000
Expense Ratio: 0.54%
Tracks This Index: DAXglobal Agribusiness Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MOO


Holding,Symbol,Weighting
Deere & Company,DE,8.15%
"Zoetis, Inc. Class A",ZTS,8.05%
"IDEXX Laboratories, Inc.",IDXX,6.97%
Bayer AG,BAYN,6.95%
Nutrien Ltd.,NTR,5.57%
Corteva Inc,CTVA,5.27%
Archer-Daniels-Midland Company,ADM,4.88%
Kubota Corporation,6326,4.55%
"Tyson Foods, Inc. Class A",TSN,3.53%
Tractor Supply Company,TSCO,3.34%
CNH Industrial NV,CNHI,2.87%
Wilmar International Limited,F34,2.69%
FMC Corporation,FMC,2.63%
"China Mengniu Dairy Co., Ltd.",2319,2.34%
Mowi ASA,MOWI,2.24%
Toro Company,TTC,1.9%
Mosaic Company,MOS,1.67%
Bunge Limited,BG,1.66%
Yara International ASA,YAR,1.6%
Darling Ingredients Inc.,DAR,1.51%
Rumo SA,RAIL3,1.24%
"CF Industries Holdings, Inc.",CF,1.23%
"Elanco Animal Health, Inc.",ELAN,1.2%
Sociedad Quimica Y Minera De Chile S.A. Sponsored ADR Pfd Class B,SQM,1.13%
AGCO Corporation,AGCO,1.13%
Charoen Pokphand Foods Public Co. Ltd. NVDR,CPF.R,1.08%
Treasury Wine Estates Limited,TWE,1.05%
ICL Group Ltd.,ICL,0.88%
NH Foods Ltd.,2282,0.84%
PT Charoen Pokphand Indonesia Tbk,CPIN,0.84%
Bakkafrost P/F,BAKKA,0.83%
Bucher Industries AG,BUCN,0.77%
Genus plc,GNS,0.75%
SalMar ASA,SALM,0.69%
IOI Corp. Bhd.,1961,0.67%
Neogen Corporation,NEOG,0.66%
Balchem Corporation,BCPC,0.64%
PPB Group Bhd.,4065,0.61%
Sime Darby Plantation Bhd.,5285,0.6%
Incitec Pivot Limited,IPL,0.59%
"Sanderson Farms, Inc.",SAFM,0.47%
Kuala Lumpur Kepong Bhd.,2445,0.46%
Leroy Seafood Group ASA,LSG,0.45%
K+S AG,SDF,0.44%
PhosAgro PJSC Sponsored GDR RegS,PHOR,0.4%
OCI NV,OCI,0.36%
"Taiwan Fertilizer Co., Ltd.",1722,0.36%
Schouw & Co A/S,SCHO,0.33%
Pilgrim\'s Pride Corporation,PPC,0.24%
"Nippon Suisan Kaisha, Ltd.",1332,0.23%
Maruha Nichiro Corp.,1333,0.2%
Golden Agri-Resources Ltd,E5H,0.2%
U.S. Dollar,Other,0.06%
