MRGR: Proshares Merger ETF
Inception Date: 2012-12-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	7860
Shares Outstanding: 200000
Expense Ratio: 0.75%
Tracks This Index: S&P Merger Arbitrage Index
ETFdb.com Category: Hedge Fund
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MRGR


Holding,Symbol,Weighting
"Parsley Energy, Inc. Class A",PE,3.73%
CIT Group Inc.,CIT,3.47%
"Shimachu Co., Ltd.",8184,3.41%
Altice Europe NV Class A,ATC,3.36%
QIAGEN NV,QGEN,3.27%
"Maxim Integrated Products, Inc.",MXIM,3.15%
"Grubhub, Inc.",GRUB,3.04%
Eaton Vance Corp.,EV,3.04%
Norbord Inc.,OSB,2.94%
"Xilinx, Inc.",XLNX,2.93%
Inphi Corporation,IPHI,2.93%
Coca-Cola Amatil Limited,CCL,2.84%
RIB Software SE,RIB,2.79%
Willis Towers Watson Public Limited Company,WLTW,2.7%
"Pluralsight, Inc. Class A",PS,2.64%
RSA Insurance Group plc,RSA,2.63%
G4S plc,GFS,2.62%
Codemasters Group Holdings Plc,CDM,2.62%
HMS Holdings Corp.,HMSY,2.61%
"BioTelemetry, Inc.",BEAT,2.61%
"Alexion Pharmaceuticals, Inc.",ALXN,2.6%
"Aerojet Rocketdyne Holdings, Inc.",AJRD,2.6%
TCF Financial Corporation,TCF,2.59%
"Sportsman\'s Warehouse Holdings, Inc.",SPWH,2.58%
William Hill PLC,WMH,2.58%
Cardtronics plc Class A,CATM,2.58%
"RealPage, Inc.",RP,2.58%
"Waddell & Reed Financial, Inc. Class A",WDR,2.56%
Virtusa Corporation,VRTU,2.56%
"Slack Technologies, Inc. Class A",WORK,2.54%
"Varian Medical Systems, Inc.",VAR,2.54%
Hitachi Capital Corp.,8586,2.52%
"Collectors Universe, Inc.",CLCT,2.52%
"PNM Resources, Inc.",PNM,2.49%
"TC PipeLines, LP",TCP,2.47%
IHS Markit Ltd.,INFO,2.36%
