MSOS: AdvisorShares Pure US Cannabis ETF
Inception Date: 2020-09-01
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	223319
Shares Outstanding: 6150000
Expense Ratio: %
Tracks This Index: n/a
ETFdb.com Category: Small Cap Blend Equities
Issuer: AdvisorShares
Structure: 
ETF Home Page: https://etfdb.com/etf/MSOS


Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,54.23%
DERIVATIVE SECURITIES (OTHER),Other,27.08%
"Curaleaf Holdings, Inc.",CURA,11.45%
Green Thumb Industries Inc.,GTII,11.34%
Trulieve Cannabis Corp. 9.75% 18-JUN-2024,Other,10.82%
"Cresco Labs, Inc.",CL,10.82%
TerrAscend Corp.,TER,7.45%
"Columbia Care, Inc.",CCHW,5.33%
"Harvest Health & Recreation, Inc.",HARV,5.21%
Jushi Holdings Inc Class B,JUSH,4.82%
"Planet 13 Holdings, Inc.",PLTH,4.22%
Innovative Industrial Properties Inc,IIPR,4.2%
GrowGeneration Corp.,GRWG,3.67%
"PerkinElmer, Inc.",PKI,2.6%
Power REIT,PW,1.17%
"Charlotte\'s Web Holdings, Inc.",CWEB,1.03%
"Greenlane Holdings, Inc. Class A",GNLN,1.0%
"cbdMD, Inc.",YCBD,0.79%
"Arena Pharmaceuticals, Inc.",ARNA,0.66%
Zynerba Pharmaceuticals Inc,ZYNE,0.47%
EQUITY OTHER,Other,0.08%
U.S. Dollar,Other,0.0%
SHORT POSITIONS,Other,-68.44%
