NFTY: First Trust India NIFTY 50 Equal Weight ETF
Inception Date: 2012-02-14
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	3880
Shares Outstanding: 100000
Expense Ratio: 0.8%
Tracks This Index: NIFTY 50 Index
ETFdb.com Category: Asia Pacific Equities
Issuer: First Trust
Structure: 
ETF Home Page: https://etfdb.com/etf/NFTY


Holding,Symbol,Weighting
Tata Steel Limited,500470,2.15%
JSW Steel Limited,500228,2.13%
Eicher Motors Limited,505200,2.12%
Tata Motors Limited,500570,2.1%
Grasim Industries Ltd,500300,2.09%
HCL Technologies Limited,532281,2.07%
Hindalco Industries Limited,500440,2.07%
GAIL (India) Limited,532155,2.07%
HDFC Life Insurance Co. Ltd.,540777,2.06%
UPL Limited,512070,2.05%
UltraTech Cement Limited,532538,2.05%
Tech Mahindra Limited,532755,2.05%
Bharat Petroleum Corporation Limited,500547,2.04%
State Bank of India,500112,2.04%
Mahindra & Mahindra Ltd.,500520,2.04%
Asian Paints Ltd.,500820,2.03%
Housing Development Finance Corporation Limited,500010,2.03%
Tata Consultancy Services Limited,532540,2.03%
IndusInd Bank Ltd.,532187,2.03%
Adani Ports & Special Economic Zone Ltd.,532921,2.03%
SBI Life Insurance Co. Ltd.,540719,2.03%
Bajaj Auto Limited.,532977,2.03%
Larsen & Toubro Ltd.,500510,2.02%
Oil & Natural Gas Corp. Ltd.,500312,2.02%
Indian Oil Corp. Ltd.,530965,2.02%
Wipro Limited,507685,2.01%
Infosys Limited,500209,2.01%
Maruti Suzuki India Limited,532500,2.01%
Titan Company Limited,500114,2.01%
ICICI Bank Limited,532174,2.0%
Divi\'s Laboratories Limited,532488,2.0%
ITC Limited,500875,1.99%
Sun Pharmaceutical Industries Limited,524715,1.99%
Axis Bank Limited,532215,1.98%
Shree Cement Limited,500387,1.97%
Dr. Reddy\'s Laboratories Ltd.,500124,1.97%
HDFC Bank Limited,500180,1.96%
Hindustan Unilever Limited,500696,1.96%
Coal India Ltd.,533278,1.95%
Kotak Mahindra Bank Limited,500247,1.94%
Bajaj Finance Limited,500034,1.94%
Cipla Limited,500087,1.94%
Bharti Airtel Limited,532454,1.94%
Reliance Industries Limited,500325,1.94%
Nestle India Ltd.,500790,1.93%
Power Grid Corporation of India Limited,532898,1.93%
NTPC Limited,532555,1.93%
Hero Motocorp Limited,500182,1.93%
Bajaj Finserv Limited,532978,1.91%
Britannia Industries Ltd,500825,1.91%
Yes Bank Limited,532648,0.47%
U.S. Dollar,Other,-0.92%
