NGE: Global X MSCI Nigeria ETF
Inception Date: 2013-04-02
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	43879
Shares Outstanding: 2962000
Expense Ratio: 0.88%
Tracks This Index: Solactive Nigeria Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NGE


Holding,Symbol,Weighting
Dangote Cement PLC,DANGCEM,14.85%
Guaranty Trust Bank PLC,GUARANTY,11.52%
Nestle Nigeria Plc,NESTLE,10.11%
Zenith Bank PLC,ZENITHBANK,8.14%
MTN Nigeria Communications Plc,MTNN,4.93%
U.S. Dollar,Other,4.92%
FBN Holdings Plc,FBNH,4.31%
Stanbic IBTC Holdings Plc,STANBIC,4.17%
United Bank for Africa PLC,UBA,3.97%
Nigerian Breweries PLC,NB,3.85%
Dangote Sugar Refinery PLC,DANGSUGAR,3.54%
Lafarge Africa Plc,WAPCO,3.4%
Flour Mills Nigeria Plc,FLOURMILL,3.4%
FCMB Group Plc,FCMB,3.13%
Access Bank PLC,ACCESS,3.02%
Fidelity Bank PLC,FIDELITYBK,2.44%
Sterling Bank PLC,STERLNBANK,2.39%
"Ecobank Transnational, Inc.",ETI,2.33%
Transnational Corporation of Nigeria PLC,TRANSCORP,2.14%
Unilever Nigeria PLC,UNILEVER,1.9%
U A C N Plc,UACN,1.55%
