NIFE: Direxion Fallen Knives ETF
Inception Date: 2020-06-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	8167
Shares Outstanding: 125000
Expense Ratio: 0.5%
Tracks This Index: Indxx US Fallen Knives Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NIFE


Holding,Symbol,Weighting
NovoCure Ltd.,NVCR,7.77%
Exact Sciences Corporation,EXAS,6.08%
Fifth Third Bancorp,FITB,5.27%
Huntington Bancshares Incorporated,HBAN,5.22%
Jazz Pharmaceuticals Plc,JAZZ,4.91%
"Reinsurance Group of America, Incorporated",RGA,4.68%
Cincinnati Financial Corporation,CINF,4.14%
Western Alliance Bancorp,WAL,3.66%
HEICO Corporation,HEI,3.42%
PagSeguro Digital Ltd. Class A,PAGS,3.4%
Gildan Activewear Inc.,GIL,3.39%
"EMCOR Group, Inc.",EME,3.06%
"Acuity Brands, Inc.",AYI,3.0%
Essent Group Ltd.,ESNT,2.94%
"Grand Canyon Education, Inc.",LOPE,2.67%
RBC Bearings Incorporated,ROLL,2.67%
Tenaris S.A. Sponsored ADR,TS,2.38%
"PROG Holdings, Inc.",PRG,2.19%
Glaukos Corp,GKOS,1.94%
"Ambarella, Inc.",AMBA,1.9%
PacWest Bancorp,PACW,1.87%
"bluebird bio, Inc.",BLUE,1.87%
"Steven Madden, Ltd.",SHOO,1.68%
"Helmerich & Payne, Inc.",HP,1.53%
J & J Snack Foods Corp.,JJSF,1.46%
"Strategic Education, Inc.",STRA,1.41%
Yelp Inc,YELP,1.33%
"NMI Holdings, Inc. Class A",NMIH,1.17%
Momo Inc Sponsored ADR Class A,MOMO,1.15%
Kaiser Aluminum Corporation,KALU,0.94%
Mercury General Corporation,MCY,0.86%
"Core-Mark Holding Company, Inc.",CORE,0.83%
"Hope Bancorp, Inc.",HOPE,0.82%
"Safety Insurance Group, Inc.",SAFT,0.71%
"Dril-Quip, Inc.",DRQ,0.67%
"Inter Parfums, Inc.",IPAR,0.66%
"Inogen, Inc.",INGN,0.61%
"Employers Holdings, Inc.",EIG,0.57%
"Impinj, Inc.",PI,0.57%
Perdoceo Education Corporation,PRDO,0.55%
NOW Inc.,DNOW,0.5%
BancFirst Corporation,BANF,0.5%
Vanda Pharmaceuticals Inc.,VNDA,0.46%
"TrueBlue, Inc.",TBI,0.41%
Aaron\'s Company Inc,AAN,0.4%
"Anika Therapeutics, Inc.",ANIK,0.38%
"MGP Ingredients, Inc.",MGPI,0.38%
ProPetro Holding Corp.,PUMP,0.34%
"Eagle Pharmaceuticals, Inc.",EGRX,0.33%
"Brigham Minerals, Inc. Class A",MNRL,0.13%
U.S. Dollar,Other,0.11%
"Revolve Group, Inc Class A",RVLV,0.07%
