NOBL: ProShares S&P 500 Aristocrats
Inception Date: 2013-10-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	7007930
Shares Outstanding: 88400000
Expense Ratio: 0.35%
Tracks This Index: S&P 500 Dividend Aristocrats Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NOBL


Holding,Symbol,Weighting
Albemarle Corporation,ALB,2.32%
"AbbVie, Inc.",ABBV,1.83%
Exxon Mobil Corporation,XOM,1.78%
Chevron Corporation,CVX,1.71%
Chubb Limited,CB,1.7%
V.F. Corporation,VFC,1.67%
Aflac Incorporated,AFL,1.67%
"Automatic Data Processing, Inc.",ADP,1.66%
"People\'s United Financial, Inc.",PBCT,1.65%
"Essex Property Trust, Inc.",ESS,1.65%
Emerson Electric Co.,EMR,1.63%
Sysco Corporation,SYY,1.63%
Target Corporation,TGT,1.62%
Linde plc,LIN,1.62%
"W.W. Grainger, Inc.",GWW,1.6%
Raytheon Technologies Corporation,RTX,1.6%
Cincinnati Financial Corporation,CINF,1.6%
Walgreens Boots Alliance Inc,WBA,1.59%
Johnson & Johnson,JNJ,1.58%
Caterpillar Inc.,CAT,1.58%
Federal Realty Investment Trust,FRT,1.57%
"Cardinal Health, Inc.",CAH,1.57%
Colgate-Palmolive Company,CL,1.56%
Sherwin-Williams Company 5.5% 15-OCT-2027,Other,1.55%
Carrier Global Corp.,CARR,1.55%
Dover Corporation,DOV,1.55%
AT&T Inc.,T,1.55%
"Franklin Resources, Inc.",BEN,1.54%
"PPG Industries, Inc.",PPG,1.54%
Brown-Forman Corporation Class B,BF.B,1.54%
Coca-Cola Company,KO,1.53%
Ecolab Inc.,ECL,1.53%
Nucor Corporation,NUE,1.53%
Medtronic Plc,MDT,1.53%
"Becton, Dickinson and Company",BDX,1.53%
Amcor PLC,AMCR,1.52%
General Dynamics Corporation,GD,1.52%
"PepsiCo, Inc.",PEP,1.51%
Otis Worldwide Corporation,OTIS,1.51%
Walmart Inc.,WMT,1.49%
Cintas Corporation,CTAS,1.49%
3M Company,MMM,1.48%
Abbott Laboratories,ABT,1.48%
Genuine Parts Company,GPC,1.46%
T. Rowe Price Group,TROW,1.46%
Pentair plc,PNR,1.45%
"S&P Global, Inc.",SPGI,1.45%
Realty Income Corporation,O,1.44%
Illinois Tool Works Inc.,ITW,1.44%
A. O. Smith Corporation,AOS,1.44%
Kimberly-Clark Corporation,KMB,1.43%
"Roper Technologies, Inc.",ROP,1.43%
"Leggett & Platt, Incorporated",LEG,1.43%
"Expeditors International of Washington, Inc.",EXPD,1.42%
Procter & Gamble Company,PG,1.42%
Atmos Energy Corporation,ATO,1.41%
Archer-Daniels-Midland Company,ADM,1.41%
"McCormick & Company, Incorporated",MKC,1.4%
Clorox Company,CLX,1.39%
"Stanley Black & Decker, Inc.",SWK,1.39%
"Lowe\'s Companies, Inc.",LOW,1.37%
Hormel Foods Corporation,HRL,1.37%
McDonald\'s Corporation,MCD,1.35%
"Air Products and Chemicals, Inc.",APD,1.34%
"Consolidated Edison, Inc.",ED,1.27%
U.S. Dollar,Other,0.15%
