NULC: Nuveen ESG Large-Cap ETF
Inception Date: 2019-06-03
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	19181
Shares Outstanding: 550000
Expense Ratio: 0.2%
Tracks This Index: TIAA ESG USA Large-Cap Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Nuveen
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NULC


Holding,Symbol,Weighting
Microsoft Corporation,MSFT,4.76%
Tesla Inc,TSLA,3.0%
Alphabet Inc. Class A,GOOGL,2.68%
Walt Disney Company,DIS,2.41%
NVIDIA Corporation,NVDA,2.11%
Procter & Gamble Company,PG,2.06%
Verizon Communications Inc.,VZ,1.86%
Coca-Cola Company,KO,1.82%
"PepsiCo, Inc.",PEP,1.78%
Intel Corporation,INTC,1.76%
Eli Lilly and Company,LLY,1.71%
Texas Instruments Incorporated,TXN,1.69%
Morgan Stanley,MS,1.63%
"salesforce.com, inc.",CRM,1.6%
Alphabet Inc. Class C,GOOG,1.56%
Thermo Fisher Scientific Inc.,TMO,1.51%
Adobe Inc.,ADBE,1.5%
Accenture Plc Class A,ACN,1.49%
Booking Holdings Inc.,BKNG,1.46%
"S&P Global, Inc.",SPGI,1.4%
American Tower Corporation,AMT,1.38%
PayPal Holdings Inc,PYPL,1.37%
CSX Corporation,CSX,1.33%
Starbucks Corporation,SBUX,1.31%
"Equinix, Inc.",EQIX,1.3%
"PNC Financial Services Group, Inc.",PNC,1.29%
"NIKE, Inc. Class B",NKE,1.29%
"Marsh & McLennan Companies, Inc.",MMC,1.26%
"MercadoLibre, Inc.",MELI,1.24%
3M Company,MMM,1.17%
TE Connectivity Ltd.,TEL,1.17%
"Align Technology, Inc.",ALGN,1.16%
CVS Health Corporation,CVS,1.12%
Mastercard Incorporated Class A,MA,1.06%
HP Inc.,HPQ,1.02%
Parker-Hannifin Corporation,PH,1.01%
Ecolab Inc.,ECL,1.0%
"Activision Blizzard, Inc.",ATVI,0.98%
International Business Machines Corporation,IBM,0.97%
CME Group Inc. Class A,CME,0.91%
"Okta, Inc. Class A",OKTA,0.89%
"DexCom, Inc.",DXCM,0.88%
"Rockwell Automation, Inc.",ROK,0.84%
Progressive Corporation,PGR,0.83%
Chubb Limited,CB,0.79%
Corning Inc,GLW,0.78%
Sempra Energy,SRE,0.77%
"Becton, Dickinson and Company",BDX,0.76%
"Automatic Data Processing, Inc.",ADP,0.74%
Keysight Technologies Inc,KEYS,0.73%
"Cisco Systems, Inc.",CSCO,0.71%
Carrier Global Corp.,CARR,0.7%
"Consolidated Edison, Inc.",ED,0.7%
"PPG Industries, Inc.",PPG,0.69%
"Applied Materials, Inc.",AMAT,0.69%
Caterpillar Inc.,CAT,0.69%
"Teladoc Health, Inc.",TDOC,0.68%
Valero Energy Corporation,VLO,0.67%
Charles Schwab Corporation,SCHW,0.64%
"AbbVie, Inc.",ABBV,0.63%
Eversource Energy,ES,0.62%
"Prologis, Inc.",PLD,0.61%
Zebra Technologies Corporation Class A,ZBRA,0.6%
Target Corporation,TGT,0.6%
"ServiceNow, Inc.",NOW,0.6%
Vertex Pharmaceuticals Incorporated,VRTX,0.59%
"Intercontinental Exchange, Inc.",ICE,0.59%
Bristol-Myers Squibb Company,BMY,0.57%
eBay Inc.,EBAY,0.53%
Aon Plc Class A,AON,0.52%
"Home Depot, Inc.",HD,0.51%
"Agilent Technologies, Inc.",A,0.49%
Trimble Inc.,TRMB,0.49%
Liberty Broadband Corp. Class C,LBRDK,0.49%
Amgen Inc.,AMGN,0.48%
"Wayfair, Inc. Class A",W,0.45%
"Domino\'s Pizza, Inc.",DPZ,0.44%
Hewlett Packard Enterprise Co.,HPE,0.44%
Cognex Corporation,CGNX,0.41%
Baker Hughes Company Class A,BKR,0.41%
"Autodesk, Inc.",ADSK,0.39%
Teledyne Technologies Incorporated,TDY,0.39%
Huntington Bancshares Incorporated,HBAN,0.38%
"Gilead Sciences, Inc.",GILD,0.38%
"Cheniere Energy, Inc.",LNG,0.38%
BioMarin Pharmaceutical Inc.,BMRN,0.36%
