NUMG: Nuveen ESG Mid-Cap Growth ETF
Inception Date: 2016-12-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	256979
Shares Outstanding: 5200000
Expense Ratio: 0.4%
Tracks This Index: TIAA ESG USA Mid-Cap Growth Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Nuveen
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NUMG


Holding,Symbol,Weighting
"Align Technology, Inc.",ALGN,3.31%
"RingCentral, Inc. Class A",RNG,2.92%
"ANSYS, Inc.",ANSS,2.8%
Marvell Technology Group Ltd.,MRVL,2.77%
"Pinterest, Inc. Class A",PINS,2.77%
"Okta, Inc. Class A",OKTA,2.77%
"Slack Technologies, Inc. Class A",WORK,2.62%
"Etsy, Inc.",ETSY,2.57%
Mettler-Toledo International Inc.,MTD,2.54%
"Copart, Inc.",CPRT,2.45%
"Fortinet, Inc.",FTNT,2.42%
"Take-Two Interactive Software, Inc.",TTWO,2.34%
"Paycom Software, Inc.",PAYC,2.34%
Zebra Technologies Corporation Class A,ZBRA,2.28%
"Hologic, Inc.",HOLX,2.13%
"HubSpot, Inc.",HUBS,2.07%
"Burlington Stores, Inc.",BURL,2.07%
"Zendesk, Inc.",ZEN,2.06%
"Cadence Design Systems, Inc.",CDNS,2.03%
PTC Inc.,PTC,2.02%
Fair Isaac Corporation,FICO,1.95%
"West Pharmaceutical Services, Inc.",WST,1.94%
Insulet Corporation,PODD,1.93%
"GoDaddy, Inc. Class A",GDDY,1.92%
Generac Holdings Inc.,GNRC,1.91%
MarketAxess Holdings Inc.,MKTX,1.88%
Splunk Inc.,SPLK,1.84%
"Live Nation Entertainment, Inc.",LYV,1.78%
Trimble Inc.,TRMB,1.75%
Tractor Supply Company,TSCO,1.73%
"Lamb Weston Holdings, Inc.",LW,1.73%
Teledyne Technologies Incorporated,TDY,1.72%
BioMarin Pharmaceutical Inc.,BMRN,1.72%
Catalent Inc,CTLT,1.7%
"Domino\'s Pizza, Inc.",DPZ,1.65%
IDEX Corporation,IEX,1.61%
Waters Corporation,WAT,1.59%
"Varian Medical Systems, Inc.",VAR,1.57%
"Cable One, Inc.",CABO,1.54%
Xylem Inc.,XYL,1.51%
Nordson Corporation,NDSN,1.46%
FMC Corporation,FMC,1.41%
Masco Corporation,MAS,1.32%
"Jack Henry & Associates, Inc.",JKHY,1.31%
"Voya Financial, Inc.",VOYA,1.27%
STERIS Plc,STE,1.23%
Cognex Corporation,CGNX,1.22%
Pool Corporation,POOL,1.05%
Axalta Coating Systems Ltd.,AXTA,1.03%
"Arista Networks, Inc.",ANET,1.02%
Fastenal Company,FAST,0.96%
FactSet Research Systems Inc.,FDS,0.79%
Lennox International Inc.,LII,0.58%
"ABIOMED, Inc.",ABMD,0.54%
"Henry Schein, Inc.",HSIC,0.41%
Federal Agricultural Mortgage Corporation 0.0% 05-JAN-2021,Other,0.17%
"McCormick & Company, Incorporated",MKC,0.01%
"Expeditors International of Washington, Inc.",EXPD,0.01%
"Akamai Technologies, Inc.",AKAM,0.01%
U.S. Dollar,Other,-0.02%
