NXTG: First Trust Indxx NextG ETF
Inception Date: 2011-02-17
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	811702
Shares Outstanding: 11750000
Expense Ratio: 0.7%
Tracks This Index: Indxx 5G & NextG Thematic Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NXTG


Holding,Symbol,Weighting
LG Electronics Inc.,066570,1.99%
Lenovo Group Limited,992,1.74%
Xiaomi Corp. Class B,1810,1.71%
"Samsung Electronics Co., Ltd.",005930,1.52%
HCL Technologies Limited,532281,1.52%
MediaTek Inc,2454,1.5%
Infosys Limited Sponsored ADR,INFY,1.49%
Infineon Technologies AG,IFX,1.49%
Ciena Corporation,CIEN,1.49%
"Lumentum Holdings, Inc.",LITE,1.47%
Tata Consultancy Services Limited,532540,1.47%
Fujitsu Limited,6702,1.46%
Wipro Limited Sponsored ADR,WIT,1.45%
STMicroelectronics NV,STM,1.45%
Marvell Technology Group Ltd.,MRVL,1.45%
Tech Mahindra Limited,532755,1.45%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,1.44%
Sony Corporation,6758,1.43%
Renesas Electronics Corporation,6723,1.42%
"SAMSUNG SDS CO., LTD.",018260,1.42%
Keysight Technologies Inc,KEYS,1.41%
Apple Inc.,AAPL,1.41%
"ASE Technology Holding Co., Ltd.",3711,1.4%
"Micron Technology, Inc.",MU,1.4%
"Qorvo, Inc.",QRVO,1.4%
Amdocs Limited,DOX,1.4%
"Digital Realty Trust, Inc.",DLR,1.4%
"CyrusOne, Inc.",CONE,1.4%
GDS Holdings Ltd. Sponsored ADR Class A,GDS,1.39%
Mitsubishi Electric Corp.,6503,1.39%
Broadcom Inc.,AVGO,1.39%
Infrastrutture Wireless Italiane S.p.A.,INW,1.39%
"Skyworks Solutions, Inc.",SWKS,1.39%
"Analog Devices, Inc.",ADI,1.39%
CoreSite Realty Corporation,COR,1.38%
NXP Semiconductors NV,NXPI,1.38%
"F5 Networks, Inc.",FFIV,1.38%
NEC Corp.,6701,1.38%
"Arista Networks, Inc.",ANET,1.38%
"Juniper Networks, Inc.",JNPR,1.38%
Kyocera Corporation,6971,1.37%
DiGi.Com Bhd,6947,1.36%
NVIDIA Corporation,NVDA,1.36%
"Advanced Micro Devices, Inc.",AMD,1.35%
"Equinix, Inc.",EQIX,1.35%
American Tower Corporation,AMT,1.34%
SBA Communications Corp. Class A,SBAC,1.34%
"Cisco Systems, Inc.",CSCO,1.33%
Intel Corporation,INTC,1.33%
"Xilinx, Inc.",XLNX,1.33%
International Business Machines Corporation,IBM,1.33%
Crown Castle International Corp,CCI,1.32%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,1.31%
Hewlett Packard Enterprise Co.,HPE,1.28%
Qualcomm Inc,QCOM,1.28%
China Tower Corp. Ltd. Class H,788,1.25%
Nokia Oyj Sponsored ADR,NOK,1.24%
Turkcell Iletisim Hizmetleri A.S.,TCELL,0.5%
ZTE Corporation Class H,763,0.47%
Ooredoo Q.P.S.C,ORDS,0.47%
Nippon Telegraph and Telephone Corporation,9432,0.47%
KDDI Corporation,9433,0.47%
Spark New Zealand Limited,SPK,0.47%
Mobile TeleSystems PJSC Sponsored ADR,MBT,0.46%
Elisa Oyj Class A,ELISA,0.46%
Bharti Airtel Limited,532454,0.46%
"PLDT, Inc. Sponsored ADR",PHI,0.45%
BT Group plc,BT.A,0.45%
Deutsche Telekom AG,DTE,0.45%
SoftBank Corp.,9434,0.45%
Telstra Corporation Limited,TLS,0.45%
"Chunghwa Telecom Co., Ltd",2412,0.45%
Swisscom AG,SCMN,0.45%
"Taiwan Mobile Co., Ltd.",3045,0.45%
Vodacom Group Limited,VOD,0.45%
Telefonica Deutschland Holding AG,O2D,0.45%
"T-Mobile US, Inc.",TMUS,0.45%
KT Corporation Sponsored ADR,KT,0.44%
"VMware, Inc. Class A",VMW,0.44%
Globe Telecom Inc.,GLO,0.44%
Singapore Telecommunications Limited,Z74,0.44%
China Unicom (Hong Kong) Limited,762,0.44%
Orange SA,ORA,0.44%
Rogers Communications Inc. Class B,RCI.B,0.44%
Tele2 AB Class B,TEL2.B,0.44%
TELUS Corporation,T,0.44%
"SK Telecom Co., Ltd.",017670,0.44%
Emirates Telecommunications Group Company PJSC,ETISALAT,0.44%
Telia Company AB,TELIA,0.44%
Telefonica Brasil SA Sponsored ADR,VIV,0.43%
Verizon Communications Inc.,VZ,0.43%
Telenor ASA,TEL,0.43%
Telecom Italia S.p.A.,TIT,0.43%
AT&T Inc.,T,0.43%
China Mobile Limited,941,0.42%
Vodafone Group Plc,VOD,0.42%
China Telecom Corp. Ltd. Class H,728,0.42%
BCE Inc.,BCE,0.42%
MTN Group Limited,MTN,0.41%
Telefonica SA,TEF,0.38%
U.S. Dollar,Other,0.23%
