ONLN: ProShares Online Retail ETF
Inception Date: 2018-07-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	915200
Shares Outstanding: 11830000
Expense Ratio: 0.58%
Tracks This Index: ProShares Online Retail Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ONLN


Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,23.6%
eBay Inc.,EBAY,4.67%
"Grubhub, Inc.",GRUB,4.66%
"Wayfair, Inc. Class A",W,4.53%
"Qurate Retail, Inc. Class A",QRTEA,4.49%
"Etsy, Inc.",ETSY,4.41%
"Chewy, Inc. Class A",CHWY,4.38%
Stamps.com Inc.,STMP,4.13%
"Stitch Fix, Inc. Class A",SFIX,3.93%
"Pinduoduo, Inc. Class A",Other,3.55%
"Magnite, Inc.",MGNI,3.45%
Vipshop Holdings Ltd. Class A,Other,3.35%
"JD.com, Inc. 3.125% 29-APR-2021",Other,3.23%
Alibaba Group Holding Ltd. 3.125% 28-NOV-2021,Other,3.13%
Dada Nexus Ltd. Sponsored ADR,DADA,3.09%
Farfetch Limited Class A,FTCH,3.04%
"MercadoLibre, Inc.",MELI,3.01%
Fiverr International Ltd.,FVRR,2.96%
"Shutterstock, Inc.",SSTK,2.8%
"Overstock.com, Inc.",OSTK,2.36%
"RealReal, Inc.",REAL,2.06%
Baozun Inc Sponsored ADR Class A,BZUN,1.14%
"Groupon, Inc.",GRPN,1.13%
"1-800-FLOWERS.COM, Inc. Class A",FLWS,1.1%
Quotient Technology Incorporated,QUOT,0.98%
"PetMed Express, Inc.",PETS,0.74%
U.S. Dollar,Other,0.06%
