OUSM: O’Shares FTSE US Small Cap Quality Dividend ETF
Inception Date: 2016-12-30
Fund Holdings as of: 2020-12-16
Total Assets Under Management (in thousands):	125993
Shares Outstanding: 4054000
Expense Ratio: 0.48%
Tracks This Index: FTSE Russell US Qual / Vol / Yield Factor 3% Capped Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: O'Shares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/OUSM


Holding,Symbol,Weighting
"Interpublic Group of Companies, Inc.",IPG,2.43%
"Dolby Laboratories, Inc. Class A",DLB,2.4%
"MSC Industrial Direct Co., Inc. Class A",MSM,2.29%
Encompass Health Corporation,EHC,2.22%
Gentex Corporation,GNTX,2.16%
Bio-Techne Corporation,TECH,2.1%
EQUITY OTHER,Other,2.09%
Graco Inc.,GGG,2.03%
"Houlihan Lokey, Inc. Class A",HLI,2.01%
"Fidelity National Financial, Inc. - FNF Group",FNF,2.0%
National Instruments Corporation,NATI,1.99%
Eaton Vance Corp.,EV,1.99%
Snap-on Incorporated,SNA,1.98%
A. O. Smith Corporation,AOS,1.94%
Service Corporation International,SCI,1.93%
Toro Company,TTC,1.93%
National HealthCare Corporation,NHC,1.9%
Erie Indemnity Company Class A,ERIE,1.9%
"MAXIMUS, Inc.",MMS,1.76%
Whirlpool Corporation,WHR,1.73%
First American Financial Corporation,FAF,1.73%
Ingredion Incorporated,INGR,1.72%
"Flowers Foods, Inc.",FLO,1.66%
"Watsco, Inc.",WSO,1.66%
"FLIR Systems, Inc.",FLIR,1.65%
"CDK Global, Inc.",CDK,1.57%
U.S. Dollar,Other,1.55%
Genpact Limited,G,1.51%
"Monolithic Power Systems, Inc.",MPWR,1.45%
Lancaster Colony Corporation,LANC,1.4%
"Hill-Rom Holdings, Inc.",HRC,1.39%
"Donaldson Company, Inc.",DCI,1.38%
"FirstCash, Inc.",FCFS,1.34%
Premier Inc. Class A,PINC,1.31%
Evercore Inc Class A,EVR,1.28%
"Artisan Partners Asset Management, Inc. Class A",APAM,1.18%
"Leggett & Platt, Incorporated",LEG,1.12%
ManTech International Corporation Class A,MANT,1.03%
Cogent Communications Holdings Inc,CCOI,1.02%
"Safety Insurance Group, Inc.",SAFT,1.01%
Lazard Ltd Class A,LAZ,0.99%
WD-40 Company,WDFC,0.97%
Moelis & Co. Class A,MC,0.87%
Xerox Holdings Corporation,XRX,0.85%
"CSG Systems International, Inc.",CSGS,0.83%
"Morningstar, Inc.",MORN,0.82%
Science Applications International Corp.,SAIC,0.76%
BorgWarner Inc.,BWA,0.74%
UGI Corporation,UGI,0.74%
"Exponent, Inc.",EXPO,0.74%
J & J Snack Foods Corp.,JJSF,0.73%
Stewart Information Services Corporation,STC,0.69%
"Cohen & Steers, Inc.",CNS,0.69%
MDU Resources Group Inc,MDU,0.68%
Brady Corporation Class A,BRC,0.64%
"Littelfuse, Inc.",LFUS,0.64%
Portland General Electric Company,POR,0.61%
"IDACORP, Inc.",IDA,0.6%
"Carter\'s, Inc.",CRI,0.59%
"Casey\'s General Stores, Inc.",CASY,0.55%
Graham Holdings Co.,GHC,0.54%
"Tetra Tech, Inc.",TTEK,0.52%
"MSA Safety, Inc.",MSA,0.51%
Lear Corporation,LEA,0.49%
"Badger Meter, Inc.",BMI,0.49%
Radian Group Inc.,RDN,0.48%
Progress Software Corporation,PRGS,0.48%
"ONE Gas, Inc.",OGS,0.47%
NIC Inc.,EGOV,0.47%
Hanesbrands Inc.,HBI,0.46%
"Watts Water Technologies, Inc. Class A",WTS,0.45%
Hamilton Lane Incorporated Class A,HLNE,0.44%
Vector Group Ltd.,VGR,0.44%
"AMERISAFE, Inc.",AMSF,0.44%
New York Times Company Class A,NYT,0.43%
"Tootsie Roll Industries, Inc.",TR,0.43%
"M.D.C. Holdings, Inc.",MDC,0.42%
"Landstar System, Inc.",LSTR,0.42%
Kemper Corporation,KMPR,0.41%
"Williams-Sonoma, Inc.",WSM,0.4%
"Federated Hermes, Inc. Class B",FHI,0.4%
"Healthcare Services Group, Inc.",HCSG,0.4%
"Virtu Financial, Inc. Class A",VIRT,0.39%
"ALLETE, Inc.",ALE,0.39%
Universal Corp,UVV,0.38%
"Weis Markets, Inc.",WMK,0.38%
"Simpson Manufacturing Co., Inc.",SSD,0.38%
"Hawaiian Electric Industries, Inc.",HE,0.35%
"InterDigital, Inc.",IDCC,0.35%
"ITT, Inc.",ITT,0.35%
"Ennis, Inc.",EBF,0.32%
New Jersey Resources Corporation,NJR,0.32%
NorthWestern Corporation,NWE,0.31%
National Fuel Gas Company,NFG,0.29%
Black Hills Corporation,BKH,0.27%
"Franklin Electric Co., Inc.",FELE,0.24%
American States Water Company,AWR,0.23%
Otter Tail Corporation,OTTR,0.23%
"PNM Resources, Inc.",PNM,0.22%
UniFirst Corporation,UNF,0.21%
Avista Corporation,AVA,0.2%
Spire Inc.,SR,0.2%
"Southwest Gas Holdings, Inc.",SWX,0.18%
Chesapeake Utilities Corporation,CPK,0.13%
"MGE Energy, Inc.",MGEE,0.13%
Northwest Natural Holding Co.,NWN,0.09%
