PAK: Global X MSCI Pakistan ETF
Inception Date: 2015-04-22
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	35292
Shares Outstanding: 1212000
Expense Ratio: 0.87%
Tracks This Index: MSCI All Pakistan Select 25/50 Index
ETFdb.com Category: Asia Pacific Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PAK


Holding,Symbol,Weighting
Lucky Cement Ltd.,LUCK,8.24%
Engro Corporation Limited,ENGRO,7.28%
Habib Bank Limited,HBL,7.08%
MCB Bank Limited,MCB,7.0%
Oil & Gas Development Co. Ltd.,OGDC,6.07%
Hub Power Co. Ltd.,HUBC,5.12%
Pakistan State Oil Co. Ltd. Class I,PSO,4.52%
Pakistan Petroleum Limited,PPL,4.48%
United Bank Limited,UBL,4.41%
Fauji Fertilizer Co. Ltd.,FFC,4.39%
Bank Al Habib Ltd.,BAHL,4.25%
Pakistan Oilfields Limited,POL,3.89%
Mari Petroleum Co. Ltd.,MARI,3.35%
Millat Tractors Limited,MTL,3.07%
Engro Fertilizers Ltd.,EFERT,2.99%
Maple Leaf Cement Factory Ltd,MLCF,2.43%
D.G. Khan Cement Co. Ltd.,DGKC,2.39%
Bank Alfalah Limited,BAFL,2.36%
Searle Company Ltd,SEARL,2.26%
National Bank of Pakistan,NBP,2.06%
Packages Limited,PKGS,1.78%
Nishat Mills Limited,NML,1.77%
Fauji Cement Co. Ltd.,FCCL,1.55%
Fauji Fertilizer Bin Qasim Limited,FFBL,1.35%
Pak Elektron Ltd.,PAEL,1.19%
Honda Atlas Cars (Pakistan) Ltd.,HCAR,1.17%
International Steels limited,ISL,1.14%
Pakistan International Bulk Terminal Ltd.,PIBTL,1.06%
Kot Addu Power Co. Ltd.,KAPCO,0.95%
U.S. Dollar,Other,0.39%
