PASS: Direxion Daily Consumer Discretionary Bear 3X Shares
Inception Date: 2018-11-29
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	2864
Shares Outstanding: 64000
Expense Ratio: 1.08%
Tracks This Index: S&P Consumer Discretionary Select Sector Index (-300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PASS


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,23.2419%
Home Depot Inc,HD,12.0936%
Mcdonald's Corp,MCD,6.7191%
Nike Inc,NKE,6.4917%
Lowe's Companies Inc,LOW,4.5092%
Starbucks Corp,SBUX,4.138%
Target Corp,TGT,3.2809%
Booking Holdings Inc,BKNG,2.8793%
TJX Companies Inc,TJX,2.7114%
Dollar General Corp,DG,2.1754%
General Motors Co,GM,1.5115%
Chipotle Mexican Grill Inc,CMG,1.4688%
eBay Inc,EBAY,1.4631%
O'Reilly Automotive Inc,ORLY,1.3997%
Ross Stores Inc,ROST,1.3547%
Yum! Brands Inc,YUM,1.1433%
Autozone Inc,AZO,1.1108%
Ford Motor Co,F,1.0771%
Best Buy Co Inc,BBY,1.0587%
Aptiv PLC,APTV,1.0376%
Marriott International Inc,MAR,1.0333%
D.R. Horton Inc,DHI,1.0229%
Hilton Worldwide Holdings Inc,HLT,1.0038%
VF Corp,VFC,0.9309%
Lennar Corp,LEN,0.9074%
Dollar Tree Inc,DLTR,0.8916%
Domino's Pizza Inc,DPZ,0.6859%
Tractor Supply Co,TSCO,0.6851%
Las Vegas Sands Corp,LVS,0.6409%
Carmax Inc,KMX,0.6361%
ETSY Inc,ETSY,0.6113%
NVR Inc,NVR,0.6077%
Garmin Ltd,GRMN,0.5915%
Genuine Parts Co,GPC,0.5707%
Darden Restaurants Inc,DRI,0.546%
Tiffany & Co,TIF,0.5246%
Expedia Group Inc,EXPE,0.5203%
Ulta Beauty Inc,ULTA,0.519%
Pultegroup Inc,PHM,0.5064%
Royal Caribbean Cruises Ltd,RCL,0.4792%
Whirlpool Corp,WHR,0.4666%
Advance Auto Parts Inc,AAP,0.4377%
Hasbro Inc,HAS,0.4318%
MGM Resorts International,MGM,0.3716%
Borgwarner Inc,BWA,0.3292%
Carnival Corp,CCL,0.3257%
LKQ Corp,LKQ,0.3233%
L Brands Inc,LB,0.2966%
Wynn Resorts Ltd,WYNN,0.2874%
Newell Brands Inc,NWL,0.2704%
Mohawk Industries Inc,MHK,0.2388%
Leggett & Platt Inc,LEG,0.2247%
HanesBrands Inc,HBI,0.2243%
Norwegian Cruise Line Holdings Ltd,NCLH,0.1903%
Tapestry Inc,TPR,0.1789%
PVH Corp,PVH,0.1753%
Gap Inc,GPS,0.1438%
Ralph Lauren Corp,RL,0.1363%
Under Armour Inc,UAA,0.0875%
Under Armour Inc,UA,0.0791%
