PAWZ: ProShares Pet Care ETF
Inception Date: 2018-11-05
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	212186
Shares Outstanding: 2950000
Expense Ratio: 0.5%
Tracks This Index: FactSet Pet Care Index
ETFdb.com Category: Global Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PAWZ


Holding,Symbol,Weighting
"IDEXX Laboratories, Inc.",IDXX,10.1%
"Chewy, Inc. Class A",CHWY,9.78%
Freshpet Inc,FRPT,9.78%
"Zoetis, Inc. Class A",ZTS,9.61%
Dechra Pharmaceuticals PLC,DPH,7.89%
Pets At Home Group Plc,PETS,4.99%
"Trupanion, Inc.",TRUP,4.68%
"Covetrus, Inc.",CVET,4.5%
Nestle S.A.,NESN,4.42%
"Merck & Co., Inc.",MRK,4.11%
Colgate-Palmolive Company,CL,3.74%
CVS Group plc,CVSG,3.54%
Central Garden & Pet Company Class A,CENTA,3.49%
zooplus AG,ZO1,3.17%
Heska Corporation,HSKA,3.11%
Virbac SA,VIRP,3.06%
"PetIQ, Inc. Class A",PETQ,2.19%
"General Mills, Inc.",GIS,1.87%
"Anicom Holdings, Inc.",8715,1.8%
"PetMed Express, Inc.",PETS,1.57%
Tractor Supply Company,TSCO,0.84%
"Elanco Animal Health, Inc.",ELAN,0.71%
J.M. Smucker Company,SJM,0.66%
U.S. Dollar,Other,0.24%
"Patterson Companies, Inc.",PDCO,0.13%
Arata Corporation,2733,0.03%
