PBSM: Invesco PureBetaSM MSCI USA Small Cap ETF
Inception Date: 2017-09-22
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	9205
Shares Outstanding: 275000
Expense Ratio: 0.06%
Tracks This Index: MSCI USA Small Cap Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PBSM


Holding,Symbol,Weighting
Plug Power Inc.,PLUG,0.36%
"Entegris, Inc.",ENTG,0.31%
Caesars Entertainment Inc,CZR,0.31%
"Nuance Communications, Inc.",NUAN,0.3%
"Penn National Gaming, Inc.",PENN,0.3%
"Charles River Laboratories International, Inc.",CRL,0.3%
Bio-Techne Corporation,TECH,0.3%
"Cree, Inc.",CREE,0.29%
Graco Inc.,GGG,0.28%
"Five9, Inc.",FIVN,0.27%
"Chegg, Inc.",CHGG,0.26%
"Bright Horizons Family Solutions, Inc.",BFAM,0.24%
Universal Display Corporation,OLED,0.24%
Toro Company,TTC,0.24%
"L Brands, Inc.",LB,0.23%
"Guardant Health, Inc.",GH,0.23%
Repligen Corporation,RGEN,0.23%
"Trex Company, Inc.",TREX,0.23%
"Amedisys, Inc.",AMED,0.23%
"Quanta Services, Inc.",PWR,0.23%
"Tapestry, Inc.",TPR,0.22%
"Boston Beer Company, Inc. Class A",SAM,0.22%
Darling Ingredients Inc.,DAR,0.22%
"Five Below, Inc.",FIVE,0.22%
Flex Ltd.,FLEX,0.22%
"IAA, Inc.",IAA,0.21%
Service Corporation International,SCI,0.21%
"Aspen Technology, Inc.",AZPN,0.21%
"Aptargroup, Inc.",ATR,0.21%
Zynga Inc. Class A,ZNGA,0.21%
Hubbell Incorporated Class B,HUBB,0.21%
Elastic NV,ESTC,0.21%
"Gaming and Leisure Properties, Inc.",GLPI,0.21%
Carlisle Companies Incorporated,CSL,0.21%
WEX Inc.,WEX,0.21%
LPL Financial Holdings Inc.,LPLA,0.2%
"Williams-Sonoma, Inc.",WSM,0.2%
"First Solar, Inc.",FSLR,0.2%
American Homes 4 Rent Class A,AMH,0.2%
Encompass Health Corporation,EHC,0.2%
CRISPR Therapeutics AG,CRSP,0.2%
Scotts Miracle-Gro Company Class A,SMG,0.2%
Gentex Corporation,GNTX,0.2%
"MKS Instruments, Inc.",MKSI,0.2%
Inphi Corporation,IPHI,0.2%
Chemed Corporation,CHE,0.2%
Deckers Outdoor Corporation,DECK,0.2%
"PRA Health Sciences, Inc.",PRAH,0.19%
II-VI Incorporated,IIVI,0.19%
STORE Capital Corporation,STOR,0.19%
Paylocity Holding Corp.,PCTY,0.19%
"Diamondback Energy, Inc.",FANG,0.19%
"Anaplan, Inc.",PLAN,0.19%
"Proofpoint, Inc.",PFPT,0.19%
Eaton Vance Corp.,EV,0.19%
Comerica Incorporated,CMA,0.19%
"Ultragenyx Pharmaceutical, Inc.",RARE,0.19%
"RealPage, Inc.",RP,0.19%
Ciena Corporation,CIEN,0.19%
"CyrusOne, Inc.",CONE,0.19%
Reliance Steel & Aluminum Co.,RS,0.19%
AECOM,ACM,0.19%
