PBW: Invesco WilderHill Clean Energy ETF
Inception Date: 2005-03-03
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2174810
Shares Outstanding: 21058000
Expense Ratio: 0.7%
Tracks This Index: WilderHill Clean Energy Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PBW


Holding,Symbol,Weighting
ReneSola Ltd. Sponsored ADR,SOL,2.75%
GreenPower Motor Company Inc.,GPV,2.62%
Azure Power Global Ltd.,AZRE,2.56%
"Eos Energy Enterprises, Inc. Class A",EOSE,2.42%
Daqo New Energy Corp Sponsored ADR,DQ,2.38%
NIO Inc. Sponsored ADR Class A,NIO,2.28%
"Ormat Technologies, Inc.",ORA,2.22%
Tesla Inc,TSLA,2.15%
Lithium Americas Corp.,LAC,2.14%
"TPI Composites, Inc.",TPIC,2.13%
Sociedad Quimica Y Minera De Chile S.A. Sponsored ADR Pfd Class B,SQM,2.08%
Canadian Solar Inc.,CSIQ,2.08%
"First Solar, Inc.",FSLR,2.06%
"XPeng, Inc. ADR Sponsored Class A",XPEV,2.05%
Array Technologies Inc,ARRY,2.0%
Albemarle Corporation,ALB,1.99%
"Kandi Technologies Group, Inc.",KNDI,1.99%
Livent Corporation,LTHM,1.95%
"Ameresco, Inc. Class A",AMRC,1.92%
"Itron, Inc.",ITRI,1.9%
"JinkoSolar Holding Co., Ltd. Sponsored ADR",JKS,1.85%
"Willdan Group, Inc.",WLDN,1.83%
Lordstown Motors Corp. Class A,RIDE,1.83%
"Maxeon Solar Technologies, Ltd.",MAXN,1.82%
Workhorse Group Inc.,WKHS,1.82%
Universal Display Corporation,OLED,1.81%
MYR Group Inc.,MYRG,1.8%
"Quanta Services, Inc.",PWR,1.79%
"Cree, Inc.",CREE,1.78%
Sunrun Inc.,RUN,1.77%
ElectraMeccanica Vehicles Corp.,SOLO,1.76%
Beam Global,BEEM,1.76%
"Infrastructure & Energy Alternatives, Inc.",IEA,1.73%
American Superconductor Corporation,AMSC,1.73%
Sunnova Energy International Inc,NOVA,1.71%
"Advanced Energy Industries, Inc.",AEIS,1.7%
Fisker Inc Class A,FSR,1.7%
"Woodward, Inc.",WWD,1.69%
ESCO Technologies Inc.,ESE,1.69%
"Arcimoto, Inc.",FUV,1.66%
"SolarEdge Technologies, Inc.",SEDG,1.65%
Ballard Power Systems Inc.,BLDP,1.65%
Gentherm Incorporated,THRM,1.65%
"Enphase Energy, Inc.",ENPH,1.63%
Plug Power Inc.,PLUG,1.55%
Bloom Energy Corporation Class A,BE,1.54%
"Air Products and Chemicals, Inc.",APD,1.49%
"FuelCell Energy, Inc.",FCEL,1.48%
SunPower Corporation,SPWR,1.47%
"Renewable Energy Group, Inc.",REGI,1.42%
Blink Charging Co,BLNK,1.41%
QuantumScape Corporation Class A,QS,0.85%
U.S. Dollar,Other,0.68%
"Broadwind, Inc.",BWEN,0.65%
"Flux Power Holdings, Inc.",FLUX,0.59%
SPI Energy Co Ltd,SPI,0.5%
"AYRO, Inc.",AYRO,0.47%
Short Term Investments Trust Government & Agency Portfolio Institutional,AGPXX,0.39%
