PEJ: Invesco Dynamic Leisure and Entertainment ETF
Inception Date: 2005-06-23
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	696330
Shares Outstanding: 17410000
Expense Ratio: 0.63%
Tracks This Index: Dynamic Leisure and Entertainment Intellidex Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PEJ


Holding,Symbol,Weighting
Walt Disney Company,DIS,5.66%
ViacomCBS Inc. Class B,VIAC,5.11%
Sysco Corporation,SYY,4.81%
Hilton Worldwide Holdings Inc,HLT,4.76%
"Yum! Brands, Inc.",YUM,4.76%
Fox Corporation Class A,FOXA,4.71%
McDonald\'s Corporation,MCD,4.61%
"Yum China Holdings, Inc.",YUMC,4.56%
Warner Music Group Corp. Class A,WMG,3.32%
"Discovery, Inc. Class A",DISCA,2.96%
"World Wrestling Entertainment, Inc. Class A",WWE,2.96%
Lions Gate Entertainment Corp Class A,LGF.A,2.93%
"Monarch Casino & Resort, Inc.",MCRI,2.92%
"Penn National Gaming, Inc.",PENN,2.9%
"Cannae Holdings, Inc.",CNNE,2.86%
AMC Networks Inc. Class A,AMCX,2.84%
Boyd Gaming Corporation,BYD,2.8%
"Qurate Retail, Inc. Class A",QRTEA,2.8%
"TripAdvisor, Inc.",TRIP,2.71%
"Brinker International, Inc.",EAT,2.7%
Performance Food Group Company,PFGC,2.7%
"Bloomin\' Brands, Inc.",BLMN,2.69%
"Live Nation Entertainment, Inc.",LYV,2.68%
Manchester United Plc Class A,MANU,2.68%
US Foods Holding Corp.,USFD,2.67%
Bally\'s Corporation,BALY,2.66%
Churchill Downs Incorporated,CHDN,2.66%
"Eventbrite, Inc. Class A",EB,2.53%
"Texas Roadhouse, Inc.",TXRH,2.52%
"Cinemark Holdings, Inc.",CNK,2.51%
MUTUAL FUND (OTHER),Other,0.02%
U.S. Dollar,Other,0.0%
