PFFR: InfraCap REIT Preferred ETF
Inception Date: 2017-02-07
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	58930
Shares Outstanding: 2500000
Expense Ratio: 0.45%
Tracks This Index: Indxx REIT Preferred Stock Index
ETFdb.com Category: Preferred Stock/Convertible Bonds
Issuer: Virtus
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PFFR


Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,3.99%
Monmouth Real Estate Investment Corp 6.125% Cum Red Pfd Registered Series C,MNR.PRC,3.14%
"Annaly Capital Management, Inc. Cum Conv Red Pfd Registered Shs Series F",NLY.PRF,2.8%
"PS Business Parks, Inc. Depositary Shs Repr 1/1000th 4.875% Cum Perp Red Pfd Rg Shs Series Z",PSB.PRZ,2.55%
Diversified Healthcare Trust 5.625 % Notes -01.08.42 Senoir,DHCNI,2.42%
Vornado Realty Trust Cum Perp Red Pfd Registered Shs Series M,VNO.PRM,2.41%
Colony Capital Inc 7.15 % Cum Conv Red Perp Pfd Registered Shs Series I,CLNY.PRI,2.37%
Office Properties Income Trust 5.875 % Notes 2016-01.05.46,OPINI,2.3%
Colony Capital Inc 7.125 % Cum Conv Red Perp Pfd Registered Shs Series J,CLNY.PRJ,2.18%
Vornado Realty Trust 5.4 % Cum Red Pfd Series L,VNO.PRL,2.17%
AGNC Investment Corp Depositary Shs Repr 1/1000th Cum Conv Red Perp Pfd Registered Shs Ser F,AGNCP,2.05%
Colony Capital Inc 7.125 % Cum Red Perp Registered Pfd Shs Series H,CLNY.PRH,2.0%
Kimco Realty Corp Deposit Shs Repr 1/1000th 5.25% Cum Red Pfd Registered Shs M,KIM.PRM,1.98%
Diversified Healthcare Trust 6.25 % Notes -01.08.46 Senior,DHCNL,1.79%
Brookfield Property REIT Inc 6.375% Cum Perp Red Pfd Registered Series A,BPYUP,1.79%
UMH Properties Inc 6.75 % Cum Conv Red Pfd Registered Shs Series C,UMH.PRC,1.78%
Armada Hoffler Properties Inc 6.75 % Cum Red Perp Pfd Registered Shs Series A,AHH.PRA,1.74%
Annaly Capital Management Inc Cum Conv Red Pfd Registered Shs Series I,NLY.PRI,1.73%
Brookfield Property Partners LP 6.375 % Cum Red Perp Pfd Units A Series 2,BPYPO,1.66%
Digital Realty Trust Inc 5.85 % Cum Conv Red Perp Pfd Registered Shs Series K,DLR.PRK,1.64%
American Homes 4 Rent 6 7/20% Cum Red Perp Pfd Shs of Benef Interest Series E,AMH.PRE,1.63%
"Annaly Capital Management, Inc. Cum Conv Red Perp Registered Pfd Shs Series G",NLY.PRG,1.59%
AGNC Investment Corp Depositary Shs Repr 1/1000th Cum Conv Red Pfd Registered Shs Series E,AGNCO,1.47%
"American Finance Trust, Inc. 7.5 % Cum Conv Perp Red Pfd Registered Shs Series A",AFINP,1.39%
New Residential Investment Corp. Cum Conv Red Perp Pfd Registered Shs Series C,NRZ.PRC,1.35%
"Spirit Realty Capital, Inc. 6 % Cum Conv Perp Red Pfd Series A",SRC.PRA,1.31%
Global Net Lease Inc Cum Red Preferred Registered Shs Series A,GNL.PRA,1.27%
Brookfield Property Partners LP 6.5% Cum Red Perp Pfd Partnership Units A Series 1,BPYPP,1.26%
AGNC Investment Corp. Deposit Shs Repr 1/1000th Cum Conv Red Pfd Registered Shs Series C,AGNCN,1.23%
SITE Centers Corp. Depositary Shs Repr 1/20th 6.375 % Cum Conv Red Pfd Registered Shs A,SITC.PRA,1.23%
Chimera Investment Corp Cum Red Pfd Registered Shs Series B,CIM.PRB,1.14%
Invesco Mortgage Capital Inc Cum Red Pfd Registered Shs Series C,IVR.PRC,1.06%
Two Harbors Investment Corp. Conv Cum Red Pfd Series B,TWO.PRB,1.05%
Two Harbors Investment Corp. Cum Conv Perp Red Pfd Series C,TWO.PRC,1.04%
SITE Centers Corp. Depositary Shs Repr 1/20th 6.25 % Cum Conv Red Pfd Shs K,SITC.PRK,1.04%
Bluerock Residential Growth REIT Inc 8.25 % Cum Red Pfd Registered Series A,BRG.PRA,1.02%
"Summit Hotel Properties, Inc. Cum Conv Red Pfd Registered Shs Series E",INN.PRE,1.02%
New Residential Investment Corp Cum Conv Red Perp Pfd Registered Shs Series B,NRZ.PRB,1.02%
Hersha Hospitality Trust 6 1/2 % Cum Red Pfd Shs Series D,HT.PRD,1.01%
Pebblebrook Hotel Trust 6.3 % Cum Red Pfd Registered Shs of Benef Interest Series F,PEB.PRF,1.0%
EPR Properties 5.75 % Cum Conv Perp Red Pfd Registered Shs Series G,EPR.PRG,0.98%
Brookfield Property Partners LP 5.75 % Cum Red Perp Pref Units Series 3,BPYPN,0.96%
Capstead Mortgage Corp 7 1/2 % Cum Red Pfd Shs Series E,CMO.PRE,0.94%
Taubman Centers Inc 6 1/2 % Cum Red Pfd Shs Series J,TCO.PRJ,0.93%
UMH Properties Inc Cum Conv Red Perp Pfd Registered Shs Series D,UMH.PRD,0.93%
iStar Financial Inc 7 1/2 % Cum Red Pfd Shs Series I,STAR.PRI,0.91%
"MFA Financial, Inc. Cum Conv Red Perp Pfd Registered Shs Series C",MFA.PRC,0.89%
AGNC Investment Corp. Cum Conv Red Pfd Registered Shs Series D,AGNCM,0.87%
Pebblebrook Hotel Trust 6.5 % of Benef Interest Series C,PEB.PRC,0.87%
Chimera Investment Corp Cum Conv Red Pfd Registered Shs Series C,CIM.PRC,0.87%
City Office REIT Inc 6.625 % Cum Red Pfd Registered Series A,CIO.PRA,0.85%
Pebblebrook Hotel Trust 6.375 % of Benef Interest Series D,PEB.PRD,0.85%
Taubman Centers Inc 6 1/4 % Cum Red Pfd Shs Series K,TCO.PRK,0.81%
"QTS Realty Trust, Inc. 7.125 % Cum Conv Perp Red Pfd Series A",QTS.PRA,0.81%
"Sunstone Hotel Investors, Inc. % Cum Red Pfd Shs Series E",SHO.PRE,0.8%
