PFI: Invesco DWA Financial Momentum ETF
Inception Date: 2006-10-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	34860
Shares Outstanding: 810000
Expense Ratio: 0.6%
Tracks This Index: Dynamic Financial Intellidex Index
ETFdb.com Category: All Cap Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PFI


Holding,Symbol,Weighting
Redfin Corporation,RDFN,4.33%
MSCI Inc. Class A,MSCI,4.27%
Mastercard Incorporated Class A,MA,4.12%
Visa Inc. Class A,V,3.7%
Moody\'s Corporation,MCO,3.65%
"S&P Global, Inc.",SPGI,3.45%
Duke Realty Corporation,DRE,3.42%
Innovative Industrial Properties Inc,IIPR,3.02%
Progressive Corporation,PGR,2.96%
"Trupanion, Inc.",TRUP,2.95%
"Nasdaq, Inc.",NDAQ,2.92%
Discover Financial Services,DFS,2.75%
Crown Castle International Corp,CCI,2.71%
First Republic Bank,FRC,2.48%
"BlackRock, Inc.",BLK,2.48%
"Marsh & McLennan Companies, Inc.",MMC,2.47%
"Mr. Cooper Group, Inc.",COOP,2.44%
KKR & Co. Inc.,KKR,2.43%
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,2.35%
"Alexandria Real Estate Equities, Inc.",ARE,2.35%
"Kinsale Capital Group, Inc.",KNSL,2.19%
"Prologis, Inc.",PLD,2.17%
Realogy Holdings Corp.,RLGY,2.16%
"Ryman Hospitality Properties, Inc.",RHP,2.14%
"PennyMac Financial Services, Inc.",PFSI,2.07%
FactSet Research Systems Inc.,FDS,2.07%
"Equinix, Inc.",EQIX,1.97%
Ares Management Corporation,ARES,1.87%
"Primerica, Inc.",PRI,1.78%
"OneMain Holdings, Inc.",OMF,1.7%
"Palomar Holdings, Inc.",PLMR,1.65%
Green Dot Corporation Class A,GDOT,1.59%
"Arbor Realty Trust, Inc.",ABR,1.58%
"Artisan Partners Asset Management, Inc. Class A",APAM,1.56%
PennyMac Mortgage Investment Trust,PMT,1.4%
"Envestnet, Inc.",ENV,1.4%
"BrightSphere Investment Group, Inc.",BSIG,1.36%
"STAG Industrial, Inc.",STAG,1.1%
"First Industrial Realty Trust, Inc.",FR,1.1%
BRP Group Inc Class A,BRP,1.03%
"Redwood Trust, Inc.",RWT,1.01%
"PJT Partners, Inc. Class A",PJT,1.0%
Uniti Group Inc.,UNIT,0.99%
"Essential Properties Realty Trust, Inc.",EPRT,0.88%
"Encore Capital Group, Inc.",ECPG,0.76%
MUTUAL FUND (OTHER),Other,0.19%
