PFIG: Invesco Fundamental Investment Grade Corporate Bond ETF
Inception Date: 2011-09-15
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	54982
Shares Outstanding: 2000000
Expense Ratio: 0.22%
Tracks This Index: RAFI Investment Grade Corporate Bond Index
ETFdb.com Category: Corporate Bonds
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PFIG


Holding,Symbol,Weighting
Pfizer Inc. 3.0% 15-DEC-2026,Other,0.61%
JPMorgan Chase & Co. 2.95% 01-OCT-2026,Other,0.55%
JPMorgan Chase & Co. 3.875% 10-SEP-2024,Other,0.52%
Apple Inc. 3.25% 23-FEB-2026,Other,0.5%
Wells Fargo & Company 3.0% 22-APR-2026,Other,0.5%
Apple Inc. 2.4% 03-MAY-2023,Other,0.49%
Wells Fargo & Company 2.625% 22-JUL-2022,Other,0.47%
Bank of America Corporation 3.248% 21-OCT-2027,Other,0.47%
Exxon Mobil Corporation 3.043% 01-MAR-2026,Other,0.47%
AT&T Inc. 4.3% 15-FEB-2030,Other,0.46%
AT&T Inc. 3.4% 15-MAY-2025,Other,0.46%
Walmart Inc. 3.7% 26-JUN-2028,Other,0.45%
Exxon Mobil Corporation 2.222% 01-MAR-2021,Other,0.45%
Bank of America Corporation 3.3% 11-JAN-2023,Other,0.45%
Citigroup Inc. 4.45% 29-SEP-2027,Other,0.44%
Berkshire Hathaway Inc. 3.125% 15-MAR-2026,Other,0.44%
Walmart Inc. 3.4% 26-JUN-2023,Other,0.44%
GE Capital Funding LLC 4.4% 15-MAY-2030,Other,0.43%
Verizon Communications Inc. 4.329% 21-SEP-2028,Other,0.42%
Berkshire Hathaway Inc. 2.75% 15-MAR-2023,Other,0.42%
Citigroup Inc. 4.5% 14-JAN-2022,Other,0.41%
"Conoco, Inc. 6.95% 15-APR-2029",Other,0.41%
Verizon Communications Inc. 5.15% 15-SEP-2023,Other,0.4%
Microsoft Corporation 3.3% 06-FEB-2027,Other,0.4%
GE Capital Funding LLC 3.45% 15-MAY-2025,Other,0.4%
Microsoft Corporation 1.55% 08-AUG-2021,Other,0.39%
Chevron Corporation 1.554% 11-MAY-2025,Other,0.38%
Chevron Corporation 2.954% 16-MAY-2026,Other,0.38%
International Business Machines Corporation 3.5% 15-MAY-2029,Other,0.37%
Johnson & Johnson 2.45% 01-MAR-2026,Other,0.34%
Johnson & Johnson 2.25% 03-MAR-2022,Other,0.34%
"General Motors Financial Co., Inc. 4.35% 17-JAN-2027",Other,0.34%
International Business Machines Corporation 3.0% 15-MAY-2024,Other,0.33%
Alphabet Inc. 1.998% 15-AUG-2026,Other,0.32%
Visa Inc. 3.15% 14-DEC-2025,Other,0.32%
Procter & Gamble Company 3.028% 25-MAR-2030,Other,0.31%
Intel Corporation 2.45% 15-NOV-2029,Other,0.3%
UnitedHealth Group Incorporated 3.75% 15-JUL-2025,Other,0.3%
Comcast Corporation 4.15% 15-OCT-2028,Other,0.3%
Procter & Gamble Company 2.15% 11-AUG-2022,Other,0.3%
Alphabet Inc. 0.45% 15-AUG-2025,Other,0.3%
"Goldman Sachs Group, Inc. 3.5% 16-NOV-2026",Other,0.3%
"Principal Financial Group, Inc. 3.7% 15-MAY-2029",Other,0.3%
UnitedHealth Group Incorporated 2.0% 15-MAY-2030,Other,0.29%
Intel Corporation 3.7% 29-JUL-2025,Other,0.29%
Comcast Corporation 3.7% 15-APR-2024,Other,0.29%
"MetLife, Inc. 4.55% 23-MAR-2030",Other,0.29%
"Amazon.com, Inc. 2.8% 22-AUG-2024",Other,0.28%
"Goldman Sachs Group, Inc. 5.75% 24-JAN-2022",Other,0.28%
"General Motors Financial Co., Inc. 3.2% 06-JUL-2021",Other,0.28%
"Amazon.com, Inc. 3.15% 22-AUG-2027",Other,0.28%
Colgate-Palmolive Company 3.25% 15-MAR-2024,Other,0.28%
"Prudential Financial, Inc. 3.5% 15-MAY-2024",Other,0.28%
CVS Health Corporation 3.7% 09-MAR-2023,Other,0.28%
"Prudential Financial, Inc. 3.878% 27-MAR-2028",Other,0.28%
"Brighthouse Financial, Inc. 3.7% 22-JUN-2027",Other,0.28%
CVS Health Corporation 4.3% 25-MAR-2028,Other,0.28%
Morgan Stanley 3.625% 20-JAN-2027,Other,0.28%
Boeing Company 5.15% 01-MAY-2030,Other,0.28%
Morgan Stanley 3.875% 29-APR-2024,Other,0.28%
Kohl\'s Corporation 4.25% 17-JUL-2025,Other,0.28%
Coca-Cola Company 1.45% 01-JUN-2027,Other,0.27%
Kimberly-Clark Corporation 3.2% 25-APR-2029,Other,0.27%
Hewlett Packard Enterprise Company 4.9% 15-OCT-2025,Other,0.27%
Philip Morris International Inc. 3.375% 15-AUG-2029,Other,0.27%
"Best Buy Co., Inc. 1.95% 01-OCT-2030",Other,0.27%
"Cisco Systems, Inc. 2.5% 20-SEP-2026",Other,0.27%
"Home Depot, Inc. 2.95% 15-JUN-2029",Other,0.26%
"MetLife, Inc. 3.6% 10-APR-2024",Other,0.26%
"Merck & Co., Inc. 2.75% 10-FEB-2025",Other,0.26%
Johnson Controls International plc 1.75% 15-SEP-2030,Other,0.26%
AbbVie Inc. 3.2% 21-NOV-2029,Other,0.26%
"Hartford Financial Services Group, Inc. 2.8% 19-AUG-2029",Other,0.25%
"Altria Group, Inc. 4.8% 14-FEB-2029",Other,0.25%
"Merck & Co., Inc. 3.4% 07-MAR-2029",Other,0.25%
"PepsiCo, Inc. 3.0% 15-OCT-2027",Other,0.25%
Boeing Company 2.7% 01-MAY-2022,Other,0.25%
Capital One Financial Corporation 4.2% 29-OCT-2025,Other,0.25%
Philip Morris International Inc. 3.25% 10-NOV-2024,Other,0.25%
"Cisco Systems, Inc. 3.625% 04-MAR-2024",Other,0.25%
Coca-Cola Company 2.875% 27-OCT-2025,Other,0.25%
"Home Depot, Inc. 2.625% 01-JUN-2022",Other,0.25%
Capital One Financial Corporation 3.8% 31-JAN-2028,Other,0.24%
Walt Disney Company 1.75% 30-AUG-2024,Other,0.24%
U.S. Bancorp 3.375% 05-FEB-2024,Other,0.24%
"American International Group, Inc. 3.9% 01-APR-2026",Other,0.24%
"PepsiCo, Inc. 2.75% 01-MAR-2023",Other,0.24%
McKesson Corporation 3.796% 15-MAR-2024,Other,0.24%
Walt Disney Company 2.65% 13-JAN-2031,Other,0.24%
U.S. Bancorp 2.375% 22-JUL-2026,Other,0.24%
Regions Financial Corporation 3.8% 14-AUG-2023,Other,0.23%
Raytheon Technologies Corp. 2.5% 15-DEC-2022,Other,0.23%
Oracle Corporation 1.9% 15-SEP-2021,Other,0.23%
United Technologies Corporation 4.125% 16-NOV-2028,Other,0.23%
AbbVie Inc. 2.6% 21-NOV-2024,Other,0.23%
PACCAR Financial Corp. 2.65% 10-MAY-2022,Other,0.23%
"Voya Financial, Inc. 3.65% 15-JUN-2026",Other,0.23%
