PGHY: Invesco Global Short Term High Yield Bond ETF
Inception Date: 2013-06-20
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	206616
Shares Outstanding: 9350000
Expense Ratio: 0.35%
Tracks This Index: DB Global Short Maturity High Yield Bond Index
ETFdb.com Category: High Yield Bonds
Issuer: Invesco
Structure: ETN
ETF Home Page: https://etfdb.com/etf/PGHY


Holding,Symbol,Weighting
Cash Component,CASH,3.5774%
CBOM FINANCE PLC,CBOM   5.875 11/07/21,0.4886%
HAZINE MUSTESARLIGI VARLIK KIRALAMA AS,HAZIN  4.251 06/08/21,0.4714%
TURKIYE HALK BANKASI AS,HALKB  4.750 02/11/21,0.4697%
ESKOM HOLDINGS SOC LTD,ESKHL  5.750 01/26/21,0.4637%
"SRI LANKA, DEMOCRATIC SOCIALIST REPUBLIC OF (GOVERNMENT)",LKGV   6.250 07/27/21,0.4151%
BANCO DO ESTADO DO RIO GRANDE DO SUL SA,BRSRF  7.375 02/02/22,0.3966%
SPRINT CORP,TMUS   7.250 09/15/21,0.3966%
KERNEL HOLDING S.A.,KER    8.750 01/31/22,0.3942%
MONGOLIA (GOVERNMENT),MNGV  10.875 04/06/21 MTN,0.3942%
CENTRAIS ELETRICAS BRASILEIRAS SA,ELETE  5.750 10/27/21,0.3923%
PETROBRAS GLOBAL FINANCE BV,PETRD  8.375 05/23/21,0.3923%
ALFA BOND ISSUANCE PLC,ALFAB  7.750 04/28/21,0.3923%
CENTURYLINK INC,LUMN   6.450 06/15/21,0.389%
UKRAINE (GOVERNMENT),UAGV   7.750 09/01/21,0.3885%
DELHI INTERNATIONAL AIRPORT LTD,GMRI   6.125 02/03/22,0.3852%
YANLORD LAND HK CO LTD,YNLG   5.875 01/23/22 '20,0.3843%
ELDORADO INTL FINANCE GMBH,JFINV  8.625 06/16/21 '20,0.3833%
"BAHRAIN, KINGDOM OF (GOVERNMENT)",BHGV   5.875 01/26/21,0.3833%
BOMBARDIER INC,BBD    8.750 12/01/21,0.3833%
TBG GLOBAL PTE LTD,TBIG   5.250 02/10/22 '20,0.3814%
"NIGERIA, FEDERAL REPUBLIC OF (GOVERNMENT)",NGGV   6.750 01/28/21,0.3809%
