PGJ: Invesco Golden Dragon China ETF
Inception Date: 2004-12-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	243189
Shares Outstanding: 3820000
Expense Ratio: 0.7%
Tracks This Index: Halter USX China Index
ETFdb.com Category: China Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PGJ


Holding,Symbol,Weighting
"Baidu, Inc. Sponsored ADR Class A",BIDU,11.49%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,8.85%
"NetEase, Inc. Sponsored ADR",NTES,7.88%
"JD.com, Inc. Sponsored ADR Class A",JD,7.45%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,6.37%
"Bilibili, Inc. Sponsored ADR Class Z",BILI,5.55%
Vipshop Holdings Ltd Sponsored ADR,VIPS,4.08%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,3.89%
GDS Holdings Ltd. Sponsored ADR Class A,GDS,3.73%
Trip.com Group Ltd. Sponsored ADR,TCOM,3.67%
"ZTO Express (Cayman), Inc. Sponsored ADR Class A",ZTO,3.66%
TAL Education Group Sponsored ADR Class A,TAL,3.64%
Zai Lab Ltd. Sponsored ADR,ZLAB,2.58%
Huazhu Group Ltd. Sponsored ADR,HTHT,2.43%
"Autohome, Inc. Sponsored ADR Class A",ATHM,2.14%
"iQIYI, Inc. Sponsored ADR Class A",IQ,2.03%
"JOYY, Inc. Sponsored ADR Class A",YY,1.57%
Daqo New Energy Corp Sponsored ADR,DQ,1.29%
"Li Auto, Inc. Sponsored ADR Class A",LI,1.26%
"21Vianet Group, Inc. Sponsored ADR Class A",VNET,1.24%
Canadian Solar Inc.,CSIQ,1.11%
Weibo Corp Sponsored ADR Class A,WB,1.08%
China Mobile Limited Sponsored ADR,CHL,1.01%
51job Inc Sponsored ADR,JOBS,0.97%
"JinkoSolar Holding Co., Ltd. Sponsored ADR",JKS,0.81%
Momo Inc Sponsored ADR Class A,MOMO,0.79%
Kingsoft Cloud Holdings Ltd Sponsored ADR,KC,0.78%
OneConnect Financial Technology Co Ltd Sponsored ADR,OCFT,0.66%
Baozun Inc Sponsored ADR Class A,BZUN,0.59%
Noah Holdings Ltd. Sponsored ADR Class A,NOAH,0.54%
"360 DigiTech, Inc. ADR Class A",QFIN,0.53%
"Bit Digital, Inc.",BTBT,0.46%
Niu Technologies Sponsored ADR Class A,NIU,0.4%
CNOOC Limited Sponsored ADR,CEO,0.33%
Hollysys Automation Technologies Ltd.,HOLI,0.32%
Dada Nexus Ltd. Sponsored ADR,DADA,0.3%
"Agora, Inc. Sponsored ADR Class A",API,0.29%
Lexinfintech Holdings Ltd. Sponsored ADR Class A,LX,0.26%
I-MAB Sponsored ADR,IMAB,0.25%
Sohu.com Limited Sponsored ADR,SOHU,0.23%
Canaan Inc. Sponsored ADR Class A,CAN,0.23%
"So-Young International, Inc. Sponsored ADR Class A",SY,0.22%
"Ebang International Holdings, Inc. Class A",EBON,0.21%
UP Fintech Holding Ltd. Sponsored ADR Class A,TIGR,0.2%
China Petroleum & Chemical Corporation Sponsored ADR Class H,SNP,0.2%
"Kandi Technologies Group, Inc.",KNDI,0.19%
Huami Corporation Sponsored ADR Class A,HMI,0.15%
"Fanhua, Inc. Sponsored ADR",FANH,0.15%
Burning Rock Biotech Ltd. Sponsored ADR Class A,BNR,0.14%
MUTUAL FUND (OTHER),Other,0.13%
China Online Education Group Sponsored ADR,COE,0.12%
"NiSun International Enterprise Development Group Co., Ltd. Class A",NISN,0.12%
"CBAK Energy Technology, Inc.",CBAT,0.12%
China Life Insurance Co. Ltd. Sponsored ADR Class H,LFC,0.1%
"Qudian, Inc. Sponsored ADR Class A",QD,0.09%
Genetron Holdings Ltd Sponsored ADR,GTH,0.08%
"Qutoutiao, Inc. Sponsored ADR Class A",QTT,0.08%
Uxin Ltd. Sponsored ADR,UXIN,0.08%
Kaixin Auto Holdings,KXIN,0.08%
Nam Tai Property Inc.,NTP,0.08%
"Hailiang Education Group, Inc. Sponsored ADR",HLG,0.07%
PetroChina Company Limited Sponsored ADR,PTR,0.07%
China Unicom (Hong Kong) Limited Sponsored ADR,CHU,0.07%
"Viomi Technology Co., Ltd. Sponsored ADR Class A",VIOT,0.07%
"111, Inc. Sponsored ADR Class A",YI,0.06%
"LightInTheBox Holding Co., Ltd. Sponsored ADR",LITB,0.05%
RISE Education Cayman Ltd. Sponsored ADR,REDU,0.05%
Bright Scholar Education Holdings Limited Sponsored ADR Class A,BEDU,0.05%
China Telecom Corp. Ltd. Sponsored ADR Class H,CHA,0.04%
Xunlei Ltd. ADR,XNET,0.04%
SPI Energy Co Ltd,SPI,0.04%
"TD Holdings, Inc.",GLG,0.04%
Meten EdtechX Education Group Ltd,METX,0.03%
U.S. Dollar,Other,0.01%
