PICB: Invesco International Corporate Bond ETF
Inception Date: 2010-06-03
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	134141
Shares Outstanding: 4450000
Expense Ratio: 0.5%
Tracks This Index: S&P International Corporate Bond Index
ETFdb.com Category: Corporate Bonds
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PICB


Holding,Symbol,Weighting
CORPORATE BOND,Other,2.47%
Enel Finance International NV 5.75% 14-SEP-2040,Other,0.68%
Bank of Nova Scotia 2.38% 01-MAY-2023,Other,0.68%
ENGIE SA. 5.0% 01-OCT-2060,Other,0.62%
Vattenfall AB 6.875% 15-APR-2039,Other,0.58%
innogy Finance BV 6.125% 06-JUL-2039,Other,0.53%
Royal Bank of Canada 2.609% 01-NOV-2024,Other,0.51%
Bank of Montreal 2.89% 20-JUN-2023,Other,0.51%
THFC Funding No. 3 5.2% 11-OCT-2043,Other,0.51%
Barclays Bank PLC 3.125% 17-JAN-2024,Other,0.5%
"Chancellor, Masters & Scholars of The University of Oxford 2.544% 08-DEC-2117",Other,0.49%
Lloyds Bank plc 6.5% 17-SEP-2040,Other,0.49%
GlaxoSmithKline Capital Plc 5.25% 10-APR-2042,Other,0.49%
E.ON International Finance BV 6.375% 07-JUN-2032,Other,0.48%
Bank of Montreal 3.19% 01-MAR-2028,Other,0.48%
GlaxoSmithKline Capital Plc 5.25% 19-DEC-2033,Other,0.47%
Barclays Plc 3.25% 12-FEB-2027,Other,0.46%
TransCanada PipeLines Ltd. 3.8% 05-APR-2027,Other,0.44%
Centrica plc 7.0% 19-SEP-2033,Other,0.43%
Shaw Communications Inc. 6.75% 09-NOV-2039,Other,0.43%
E.ON International Finance BV 5.875% 30-OCT-2037,Other,0.42%
GlaxoSmithKline Capital Plc 4.25% 18-DEC-2045,Other,0.41%
Bank of Nova Scotia 2.29% 28-JUN-2024,Other,0.41%
Royal Bank of Canada 2.328% 28-JAN-2027,Other,0.41%
Toronto-Dominion Bank 1.909% 18-JUL-2023,Other,0.4%
BHP Billiton Finance Ltd. 4.3% 25-SEP-2042,Other,0.39%
Toronto-Dominion Bank 3.226% 24-JUL-2024,Other,0.39%
Cooperatieve Rabobank UA 4.625% 23-MAY-2029,Other,0.39%
Royal Bank of Canada 3.296% 26-SEP-2023,Other,0.39%
Royal Bank of Canada 2.352% 02-JUL-2024,Other,0.38%
Heathrow Funding Ltd. 6.45% 10-DEC-2031,Other,0.38%
Bank of Montreal 2.85% 06-MAR-2024,Other,0.38%
Toronto-Dominion Bank /New York Branch/ 2.85% 08-MAR-2024,Other,0.38%
GlaxoSmithKline Capital Plc 6.375% 09-MAR-2039,Other,0.38%
Vodafone Group Plc 3.0% 12-AUG-2056,Other,0.37%
Bank of Nova Scotia 3.1% 02-FEB-2028,Other,0.37%
