PIZ: Invesco DWA Developed Markets Momentum ETF
Inception Date: 2007-12-28
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	197929
Shares Outstanding: 5850000
Expense Ratio: 0.8%
Tracks This Index: Dorsey Wright Developed Markets Technical Leaders Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PIZ


Holding,Symbol,Weighting
Boyd Group Services Inc,BYD,3.15%
Royal Unibrew A/S,RBREW,2.68%
Ramsay Health Care Limited,RHC,2.56%
Recordati Industria Chimica e Farmaceutica S.p.A.,REC,2.51%
Constellation Software Inc.,CSU,2.5%
Lasertec Corp.,6920,2.4%
Fastighets AB Balder Class B,BALD.B,2.35%
Kuehne & Nagel International AG,KNIN,2.16%
ASML Holding NV,ASML,1.94%
Spirax-Sarco Engineering PLC,SPX,1.94%
Descartes Systems Group Inc.,DSG,1.77%
Kirkland Lake Gold Ltd.,KL,1.76%
Games Workshop Group PLC,GAW,1.7%
GN Store Nord A/S,GN,1.62%
Croda International Plc,CRDA,1.59%
ASM International N.V.,ASM,1.59%
BELIMO Holding AG,BEAN,1.58%
NICE Ltd,NICE,1.49%
"Daifuku Co., Ltd.",6383,1.47%
adidas AG,ADS,1.44%
Sampo Oyj Class A,SAMPO,1.39%
Geberit AG,GEBN,1.34%
a2 Milk Company Ltd.,ATM,1.33%
Canadian National Railway Company,CNR,1.31%
Warehouses De Pauw SCA,WDP,1.27%
Neste Corporation,NESTE,1.25%
SGS SA,SGSN,1.18%
Rightmove plc,RMV,1.15%
Evolution Gaming Group AB,EVO,1.14%
Hexagon AB Class B,HEXA.B,1.08%
Partners Group Holding AG,PGHN,1.0%
"NEXON Co., Ltd.",3659,0.98%
Indutrade AB,INDT,0.97%
Sika AG,SIKA,0.94%
JD Sports Fashion Plc,JD,0.93%
Red Electrica Corp. SA,REE,0.91%
Soitec SA,SOI,0.9%
Sonova Holding AG,SOON,0.9%
SimCorp A/S,SIM,0.89%
Alimentation Couche-Tard Inc. Class B,ATD.B,0.87%
"Oriental Land Co., Ltd.",4661,0.83%
Intermediate Capital Group plc,ICP,0.82%
Xero Limited,XRO,0.81%
TAG Immobilien AG,TEG,0.81%
Keyence Corporation,6861,0.81%
"Techtronic Industries Co., Ltd.",669,0.8%
EMS-CHEMIE HOLDING AG,EMSN,0.8%
Eurofins Scientific Societe Europeenne,ERF,0.79%
Fortescue Metals Group Ltd,FMG,0.75%
HelloFresh SE,HFG,0.74%
Tokyo Electron Ltd.,8035,0.71%
"OBIC Co., Ltd.",4684,0.7%
Teleperformance SE,TEP,0.7%
UNITE Group plc,UTG,0.69%
Kingspan Group Plc,KRX,0.69%
Advantest Corp.,6857,0.68%
NIBE Industrier AB Class B,NIBE.B,0.64%
Safran S.A.,SAF,0.64%
Straumann Holding AG,STMN,0.63%
Investor AB Class B,INVE.B,0.63%
Sofina SA,SOF,0.62%
"Samsung SDI Co., Ltd",006400,0.62%
Kering SA,KER,0.61%
Halma plc,HLMA,0.61%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.6%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.6%
"M3, Inc.",2413,0.59%
"Samsung Electronics Co., Ltd.",005930,0.59%
Royal Bank of Canada,RY,0.59%
Sony Corporation,6758,0.58%
VERBUND AG Class A,VER,0.58%
Nidec Corporation,6594,0.57%
PUMA SE,PUM,0.57%
"Daiichi Sankyo Company, Limited",4568,0.57%
Dollarama Inc.,DOL,0.56%
Atlas Copco AB Class A,ATCO.A,0.56%
Kikkoman Corporation,2801,0.56%
Huhtamaki Oyj,HUH1V,0.56%
Nissan Chemical Corporation,4021,0.55%
Orsted,ORSTED,0.55%
"DAIKIN INDUSTRIES, LTD.",6367,0.55%
Disco Corporation,6146,0.54%
Fortis Inc.,FTS,0.54%
Dechra Pharmaceuticals PLC,DPH,0.54%
HOYA CORPORATION,7741,0.54%
"Nomura Research Institute,Ltd.",4307,0.53%
Yamaha Corporation,7951,0.53%
Dassault Systemes SA,DSY,0.53%
Kakao Corp.,035720,0.52%
Misumi Group Inc.,9962,0.52%
"Capcom Co., Ltd.",9697,0.52%
ASSA ABLOY AB Class B,ASSA.B,0.51%
Emera Incorporated,EMA,0.51%
Davide Campari-Milano N.V.,CPR,0.51%
Sartorius Stedim Biotech SA,DIM,0.5%
Sonic Healthcare Limited,SHL,0.5%
BANDAI NAMCO Holdings Inc.,7832,0.5%
SMC Corporation,6273,0.49%
"Celltrion Healthcare Co., Ltd.",091990,0.48%
Intertek Group plc,ITRK,0.47%
Experian PLC,EXPN,0.46%
Koninklijke Ahold Delhaize N.V.,AD,0.44%
HomeServe plc,HSV,0.41%
AVEVA Group plc,AVV,0.35%
EQUITY OTHER,Other,0.01%
U.S. Dollar,Other,-0.24%
