PKB: Invesco Dynamic Building & Construction ETF
Inception Date: 2005-10-26
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	174943
Shares Outstanding: 4250000
Expense Ratio: 0.6%
Tracks This Index: Dynamic Building & Construction Intellidex Index
ETFdb.com Category: Building & Construction 
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PKB


Holding,Symbol,Weighting
"Lowe\'s Companies, Inc.",LOW,5.22%
Vulcan Materials Company,VMC,5.1%
"Martin Marietta Materials, Inc.",MLM,5.09%
Trane Technologies plc,TT,4.94%
Lennar Corporation Class A,LEN,4.89%
"Home Depot, Inc.",HD,4.87%
"D.R. Horton, Inc.",DHI,4.57%
Lennox International Inc.,LII,4.5%
GrowGeneration Corp.,GRWG,3.27%
MYR Group Inc.,MYRG,3.08%
"Floor & Decor Holdings, Inc. Class A",FND,3.06%
"Dycom Industries, Inc.",DY,2.99%
Primoris Services Corporation,PRIM,2.95%
Eagle Materials Inc.,EXP,2.85%
Terex Corporation,TEX,2.84%
"Summit Materials, Inc. Class A",SUM,2.83%
"EMCOR Group, Inc.",EME,2.78%
Owens Corning,OC,2.73%
"Comfort Systems USA, Inc.",FIX,2.71%
"Lumber Liquidators Holdings, Inc.",LL,2.7%
"Simpson Manufacturing Co., Inc.",SSD,2.7%
"Forterra, Inc.",FRTA,2.68%
"M/I Homes, Inc.",MHO,2.68%
"Quanta Services, Inc.",PWR,2.66%
"Century Communities, Inc.",CCS,2.64%
Masonite International Corp.,DOOR,2.6%
Taylor Morrison Home Corporation,TMHC,2.59%
"Green Brick Partners, Inc.",GRBK,2.56%
A. O. Smith Corporation,AOS,2.56%
"Southwest Gas Holdings, Inc.",SWX,2.37%
MUTUAL FUND (OTHER),Other,0.02%
