PPA: Invesco Aerospace & Defense ETF
Inception Date: 2005-10-26
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	721075
Shares Outstanding: 10630000
Expense Ratio: 0.59%
Tracks This Index: SPADE Defense Index
ETFdb.com Category: Industrials Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PPA


Holding,Symbol,Weighting
Honeywell International Inc.,HON,6.77%
Lockheed Martin Corporation,LMT,6.67%
Raytheon Technologies Corporation,RTX,6.64%
Boeing Company,BA,6.36%
Northrop Grumman Corporation,NOC,4.82%
General Dynamics Corporation,GD,4.5%
L3Harris Technologies Inc,LHX,4.48%
TransDigm Group Incorporated,TDG,4.45%
Ball Corporation,BLL,3.97%
"Leidos Holdings, Inc.",LDOS,3.42%
Jacobs Engineering Group Inc.,J,3.24%
Teledyne Technologies Incorporated,TDY,3.14%
Booz Allen Hamilton Holding Corporation Class A,BAH,2.78%
Howmet Aerospace Inc.,HWM,2.73%
Textron Inc.,TXT,2.49%
"Woodward, Inc.",WWD,1.75%
Axon Enterprise Inc,AAXN,1.74%
CAE Inc.,CAE,1.66%
HEICO Corporation,HEI,1.62%
"FLIR Systems, Inc.",FLIR,1.61%
"Huntington Ingalls Industries, Inc.",HII,1.56%
CACI International Inc Class A,CACI,1.43%
Oshkosh Corp,OSK,1.36%
Elbit Systems Ltd,ESLT,1.35%
"BWX Technologies, Inc.",BWXT,1.32%
Science Applications International Corp.,SAIC,1.27%
Iridium Communications Inc.,IRDM,1.21%
"FireEye, Inc.",FEYE,1.17%
"Mercury Systems, Inc.",MRCY,1.11%
Curtiss-Wright Corporation,CW,1.08%
"KBR, Inc.",KBR,1.0%
"Aerojet Rocketdyne Holdings, Inc.",AJRD,0.95%
Hexcel Corporation,HXL,0.91%
"Spirit AeroSystems Holdings, Inc. Class A",SPR,0.91%
"Perspecta, Inc.",PRSP,0.89%
Parsons Corporation,PSN,0.82%
"Kratos Defense & Security Solutions, Inc.",KTOS,0.76%
ManTech International Corporation Class A,MANT,0.56%
Moog Inc. Class A,MOG.A,0.53%
"Maxar Technologies, Inc.",MAXR,0.52%
"ViaSat, Inc.",VSAT,0.51%
Telos Corporation,TLS,0.5%
"AeroVironment, Inc.",AVAV,0.49%
Allegheny Technologies Incorporated,ATI,0.48%
Cubic Corporation,CUB,0.45%
"OSI Systems, Inc.",OSIS,0.39%
Kaman Corporation Class A,KAMN,0.36%
AAR CORP.,AIR,0.28%
PAE Incorporated Class A,PAE,0.19%
MUTUAL FUND (OTHER),Other,0.15%
"Triumph Group, Inc.",TGI,0.14%
Ducommun Incorporated,DCO,0.14%
Vectrus Inc,VEC,0.13%
Comtech Telecommunications Corp.,CMTL,0.12%
Rada Electronic Industries Ltd.,RADA,0.1%
U.S. Dollar,Other,0.0%
