PRFZ: Invesco FTSE RAFI US 1500 Small-Mid ETF
Inception Date: 2006-09-20
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	1748360
Shares Outstanding: 11600000
Expense Ratio: 0.39%
Tracks This Index: FTSE RAFI US 1500 Small-Mid Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PRFZ


Holding,Symbol,Weighting
Cleveland-Cliffs Inc,CLF,0.37%
Generac Holdings Inc.,GNRC,0.32%
"IDEXX Laboratories, Inc.",IDXX,0.3%
Vista Outdoor Inc,VSTO,0.3%
"West Pharmaceutical Services, Inc.",WST,0.3%
"Moderna, Inc.",MRNA,0.3%
"Wayfair, Inc. Class A",W,0.29%
"Allscripts Healthcare Solutions, Inc.",MDRX,0.29%
"Party City Holdco, Inc.",PRTY,0.28%
Cerence Inc.,CRNC,0.28%
IPG Photonics Corporation,IPGP,0.28%
"Veoneer, Inc.",VNE,0.27%
II-VI Incorporated,IIVI,0.27%
"Fossil Group, Inc.",FOSL,0.27%
"Renewable Energy Group, Inc.",REGI,0.27%
"Square, Inc. Class A",SQ,0.27%
"Overstock.com, Inc.",OSTK,0.26%
Pool Corporation,POOL,0.26%
"Maxar Technologies, Inc.",MAXR,0.26%
"Zillow Group, Inc. Class C",Z,0.26%
South State Corporation,SSB,0.25%
Scientific Games Corporation,SGMS,0.25%
Southern Copper Corporation,SCCO,0.25%
RH,RH,0.24%
"Kirkland\'s, Inc.",KIRK,0.24%
Evercore Inc Class A,EVR,0.24%
Herbalife Nutrition Ltd.,HLF,0.23%
"SPX Flow, Inc.",FLOW,0.23%
Hecla Mining Company,HL,0.23%
ArcBest Corporation,ARCB,0.23%
Xperi Holding Corporation,XPER,0.23%
"Hillenbrand, Inc.",HI,0.22%
TopBuild Corp.,BLD,0.22%
"Mr. Cooper Group, Inc.",COOP,0.22%
Horizon Therapeutics Public Limited Company,HZNP,0.22%
"Saia, Inc.",SAIA,0.22%
"Amkor Technology, Inc.",AMKR,0.22%
Sunrun Inc.,RUN,0.22%
"Arista Networks, Inc.",ANET,0.22%
"Entegris, Inc.",ENTG,0.21%
Kraton Corporation,KRA,0.21%
YRC Worldwide Inc.,YRCW,0.21%
Altra Industrial Motion Corp.,AIMC,0.21%
"Herc Holdings, Inc.",HRI,0.21%
Tempur Sealy International Inc,TPX,0.21%
"EPAM Systems, Inc.",EPAM,0.21%
"Littelfuse, Inc.",LFUS,0.21%
Diebold Nixdorf Incorporated,DBD,0.2%
Boyd Gaming Corporation,BYD,0.2%
"Worthington Industries, Inc.",WOR,0.2%
Sensient Technologies Corporation,SXT,0.2%
"Snap, Inc. Class A",SNAP,0.2%
"Andersons, Inc.",ANDE,0.2%
"Schnitzer Steel Industries, Inc. Class A",SCHN,0.2%
"Arcosa, Inc.",ACA,0.19%
"IAA, Inc.",IAA,0.19%
Minerals Technologies Inc.,MTX,0.19%
"OPKO Health, Inc.",OPK,0.19%
Bio-Techne Corporation,TECH,0.19%
Triple-S Management Corporation Class B,GTS,0.19%
Ingersoll Rand Inc.,IR,0.18%
Helen of Troy Limited,HELE,0.18%
"PriceSmart, Inc.",PSMT,0.18%
Granite Construction Incorporated,GVA,0.18%
RLI Corp.,RLI,0.18%
"Coherent, Inc.",COHR,0.18%
"Artisan Partners Asset Management, Inc. Class A",APAM,0.18%
Atlantica Sustainable Infrastructure plc,AY,0.18%
"ServiceNow, Inc.",NOW,0.18%
PotlatchDeltic Corporation,PCH,0.18%
"Cirrus Logic, Inc.",CRUS,0.18%
Tronox Holdings Plc,TROX,0.18%
Erie Indemnity Company Class A,ERIE,0.18%
Nautilus Inc,NLS,0.18%
LCI Industries,LCII,0.18%
"JELD-WEN Holding, Inc.",JELD,0.18%
Veeva Systems Inc Class A,VEEV,0.18%
"Glacier Bancorp, Inc.",GBCI,0.18%
"GoDaddy, Inc. Class A",GDDY,0.18%
"U.S. Silica Holdings, Inc.",SLCA,0.18%
"Texas Roadhouse, Inc.",TXRH,0.18%
"MercadoLibre, Inc.",MELI,0.17%
"Chart Industries, Inc.",GTLS,0.17%
"M.D.C. Holdings, Inc.",MDC,0.17%
"MAXIMUS, Inc.",MMS,0.17%
"Grand Canyon Education, Inc.",LOPE,0.17%
"Woodward, Inc.",WWD,0.17%
"ABIOMED, Inc.",ABMD,0.17%
"Grubhub, Inc.",GRUB,0.17%
Cognex Corporation,CGNX,0.17%
BancorpSouth Bank,BXS,0.17%
"Royal Gold, Inc.",RGLD,0.17%
"Wyndham Hotels & Resorts, Inc.",WH,0.17%
"Hilton Grand Vacations, Inc.",HGV,0.17%
"J2 Global, Inc.",JCOM,0.17%
Green Plains Inc.,GPRE,0.17%
Masimo Corporation,MASI,0.17%
"Tyler Technologies, Inc.",TYL,0.17%
"Dolby Laboratories, Inc. Class A",DLB,0.17%
Synaptics Incorporated,SYNA,0.17%
WillScot Mobile Mini Holdings Corp. Class A,WSC,0.17%
"Pacific Premier Bancorp, Inc.",PPBI,0.17%
Unisys Corporation,UIS,0.16%
New York Times Company Class A,NYT,0.16%
"Wolverine World Wide, Inc.",WWW,0.16%
Masonite International Corp.,DOOR,0.16%
"Lumber Liquidators Holdings, Inc.",LL,0.16%
Eagle Materials Inc.,EXP,0.16%
"LiveRamp Holdings, Inc.",RAMP,0.16%
"Syneos Health, Inc. Class A",SYNH,0.16%
Verint Systems Inc.,VRNT,0.16%
"First Industrial Realty Trust, Inc.",FR,0.16%
Textainer Group Holdings Limited,TGH,0.16%
"VeriSign, Inc.",VRSN,0.16%
"Boston Beer Company, Inc. Class A",SAM,0.16%
"LHC Group, Inc.",LHCG,0.16%
"At Home Group, Inc.",HOME,0.16%
SpartanNash Company,SPTN,0.16%
"TripAdvisor, Inc.",TRIP,0.16%
"Tetra Tech, Inc.",TTEK,0.16%
Farfetch Limited Class A,FTCH,0.16%
"Monolithic Power Systems, Inc.",MPWR,0.16%
"ACI Worldwide, Inc.",ACIW,0.16%
"Palo Alto Networks, Inc.",PANW,0.16%
Clearwater Paper Corporation,CLW,0.16%
"NetScout Systems, Inc.",NTCT,0.15%
"TrueBlue, Inc.",TBI,0.15%
PTC Inc.,PTC,0.15%
Hilltop Holdings Inc.,HTH,0.15%
Providence Service Corporation,PRSC,0.15%
Moog Inc. Class A,MOG.A,0.15%
Wabash National Corporation,WNC,0.15%
Green Dot Corporation Class A,GDOT,0.15%
"Bright Horizons Family Solutions, Inc.",BFAM,0.15%
Mercury General Corporation,MCY,0.15%
"Hibbett Sports, Inc.",HIBB,0.15%
GMS Inc.,GMS,0.15%
"Insperity, Inc.",NSP,0.15%
Renasant Corporation,RNST,0.15%
"Air Transport Services Group, Inc.",ATSG,0.15%
MicroStrategy Incorporated Class A,MSTR,0.15%
"Guess?, Inc.",GES,0.15%
