PSJ: Invesco Dynamic Software ETF
Inception Date: 2005-06-23
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	627815
Shares Outstanding: 4160000
Expense Ratio: 0.58%
Tracks This Index: Dynamic Software Intellidex Index
ETFdb.com Category: All Cap Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PSJ


Holding,Symbol,Weighting
"CrowdStrike Holdings, Inc. Class A",CRWD,6.03%
"Activision Blizzard, Inc.",ATVI,5.37%
"Shopify, Inc. Class A",SHOP,5.05%
"Snap, Inc. Class A",SNAP,5.03%
"Square, Inc. Class A",SQ,4.9%
Datadog Inc Class A,DDOG,4.6%
"DocuSign, Inc.",DOCU,4.6%
Microsoft Corporation,MSFT,4.57%
"Digital Turbine, Inc.",APPS,3.39%
"LiveRamp Holdings, Inc.",RAMP,3.18%
"Five9, Inc.",FIVN,2.97%
"Schrodinger, Inc.",SDGR,2.94%
Cerence Inc.,CRNC,2.88%
"Dynatrace, Inc.",DT,2.83%
"LivePerson, Inc.",LPSN,2.82%
"SPS Commerce, Inc.",SPSC,2.8%
NortonLifeLock Inc.,NLOK,2.79%
"BlackLine, Inc.",BL,2.77%
Altair Engineering Inc. Class A,ALTR,2.77%
Bandwidth Inc. Class A,BAND,2.68%
American Well Corporation Class A,AMWL,2.68%
"HubSpot, Inc.",HUBS,2.62%
"NextGen Healthcare, Inc.",NXGN,2.59%
"Coupa Software, Inc.",COUP,2.59%
"Nuance Communications, Inc.",NUAN,2.57%
"Ribbon Communications, Inc.",RBBN,2.46%
Avalara Inc,AVLR,2.44%
"Inovalon Holdings, Inc. Class A",INOV,2.42%
"Agilysys, Inc.",AGYS,2.37%
Glu Mobile Inc.,GLUU,2.28%
MUTUAL FUND (OTHER),Other,0.0%
