PSR: Invesco Active U.S. Real Estate Fund
Inception Date: 2008-11-20
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	80470
Shares Outstanding: 960000
Expense Ratio: 0.35%
Tracks This Index: n/a
ETFdb.com Category: Real Estate
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PSR


Holding,Symbol,Weighting
American Tower Corporation,AMT,9.17%
"Prologis, Inc.",PLD,6.3%
Crown Castle International Corp,CCI,6.25%
"Equinix, Inc.",EQIX,4.71%
"Digital Realty Trust, Inc.",DLR,3.24%
SBA Communications Corp. Class A,SBAC,3.18%
Public Storage,PSA,2.91%
"Welltower, Inc.",WELL,2.53%
Weyerhaeuser Company,WY,2.37%
Equity Residential,EQR,2.2%
"AvalonBay Communities, Inc.",AVB,2.13%
"Simon Property Group, Inc.",SPG,2.0%
Realty Income Corporation,O,1.98%
"Ventas, Inc.",VTR,1.85%
"Alexandria Real Estate Equities, Inc.",ARE,1.8%
"Healthpeak Properties, Inc.",PEAK,1.68%
"Boston Properties, Inc.",BXP,1.55%
"Essex Property Trust, Inc.",ESS,1.54%
"Invitation Homes, Inc.",INVH,1.52%
VICI Properties Inc,VICI,1.36%
"Sun Communities, Inc.",SUI,1.33%
Extra Space Storage Inc.,EXR,1.28%
"Mid-America Apartment Communities, Inc.",MAA,1.25%
Duke Realty Corporation,DRE,1.23%
W. P. Carey Inc.,WPC,1.21%
"Host Hotels & Resorts, Inc.",HST,1.18%
"UDR, Inc.",UDR,1.16%
"Medical Properties Trust, Inc.",MPW,1.13%
"Equity LifeStyle Properties, Inc.",ELS,0.97%
"Omega Healthcare Investors, Inc.",OHI,0.91%
Regency Centers Corporation,REG,0.9%
Camden Property Trust,CPT,0.9%
"",Other,0.86%
"Gaming and Leisure Properties, Inc.",GLPI,0.85%
"National Retail Properties, Inc.",NNN,0.83%
STORE Capital Corporation,STOR,0.82%
Kimco Realty Corporation,KIM,0.82%
"CyrusOne, Inc.",CONE,0.82%
Lamar Advertising Company Class A,LAMR,0.8%
"Brixmor Property Group, Inc.",BRX,0.78%
Federal Realty Investment Trust,FRT,0.76%
"Iron Mountain, Inc.",IRM,0.74%
Kilroy Realty Corporation,KRC,0.71%
American Homes 4 Rent Class A,AMH,0.69%
"American Campus Communities, Inc.",ACC,0.65%
"Douglas Emmett, Inc",DEI,0.64%
"Highwoods Properties, Inc.",HIW,0.61%
Americold Realty Trust,COLD,0.61%
"Healthcare Trust of America, Inc. Class A",HTA,0.61%
Cousins Properties Incorporated,CUZ,0.61%
"Sabra Health Care REIT, Inc.",SBRA,0.6%
CubeSmart,CUBE,0.55%
"Hudson Pacific Properties, Inc.",HPP,0.55%
"Rexford Industrial Realty, Inc.",REXR,0.53%
"First Industrial Realty Trust, Inc.",FR,0.52%
"STAG Industrial, Inc.",STAG,0.51%
Weingarten Realty Investors,WRI,0.51%
Apple Hospitality REIT Inc,APLE,0.51%
"Life Storage, Inc.",LSI,0.5%
Healthcare Realty Trust Incorporated,HR,0.5%
RLJ Lodging Trust,RLJ,0.5%
Brandywine Realty Trust,BDN,0.5%
JBG SMITH Properties,JBGS,0.5%
CoreSite Realty Corporation,COR,0.49%
Corporate Office Properties Trust,OFC,0.49%
"EastGroup Properties, Inc.",EGP,0.48%
"Sunstone Hotel Investors, Inc.",SHO,0.47%
"QTS Realty Trust, Inc. Class A",QTS,0.45%
"Piedmont Office Realty Trust, Inc. Class A",PDM,0.44%
PotlatchDeltic Corporation,PCH,0.42%
"Colony Capital, Inc. Class A",CLNY,0.41%
Retail Opportunity Investments Corp.,ROIC,0.4%
Rayonier Inc.,RYN,0.4%
OUTFRONT Media Inc.,OUT,0.39%
DiamondRock Hospitality Company,DRH,0.33%
Acadia Realty Trust,AKR,0.33%
Terreno Realty Corporation,TRNO,0.32%
Washington Real Estate Investment Trust,WRE,0.31%
"Columbia Property Trust, Inc.",CXP,0.3%
"Essential Properties Realty Trust, Inc.",EPRT,0.29%
U.S. Dollar,Other,-0.39%
