PTH: Invesco DWA Healthcare Momentum ETF
Inception Date: 2006-10-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	712523
Shares Outstanding: 4490000
Expense Ratio: 0.6%
Tracks This Index: Dynamic Healthcare Sector Intellidex Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PTH


Holding,Symbol,Weighting
"Amedisys, Inc.",AMED,5.63%
Danaher Corporation,DHR,4.58%
Thermo Fisher Scientific Inc.,TMO,4.4%
Repligen Corporation,RGEN,3.97%
"TG Therapeutics, Inc.",TGTX,3.84%
"IDEXX Laboratories, Inc.",IDXX,3.8%
Horizon Therapeutics Public Limited Company,HZNP,3.61%
"West Pharmaceutical Services, Inc.",WST,3.31%
UnitedHealth Group Incorporated,UNH,3.22%
Invitae Corp.,NVTA,3.04%
"Pacific Biosciences of California, Inc.",PACB,3.0%
Humana Inc.,HUM,2.93%
"Seagen, Inc.",SGEN,2.66%
"iRhythm Technologies, Inc.",IRTC,2.65%
"Mersana Therapeutics, Inc.",MRSN,2.53%
"Intuitive Surgical, Inc.",ISRG,2.49%
Twist Bioscience Corp.,TWST,2.34%
"Bio-Rad Laboratories, Inc. Class A",BIO,2.27%
"Zoetis, Inc. Class A",ZTS,2.26%
Catalent Inc,CTLT,2.25%
"NeoGenomics, Inc.",NEO,2.24%
"Fate Therapeutics, Inc.",FATE,2.2%
SmileDirectClub Inc Class A,SDC,2.05%
"Fulgent Genetics, Inc.",FLGT,2.04%
"LHC Group, Inc.",LHCG,1.8%
Iovance Biotherapeutics Inc,IOVA,1.74%
Immunovant Inc,IMVT,1.7%
"Medpace Holdings, Inc.",MEDP,1.67%
"Kura Oncology, Inc.",KURA,1.56%
"Natera, Inc.",NTRA,1.51%
"CymaBay Therapeutics, Inc.",CBAY,1.45%
"Covetrus, Inc.",CVET,1.43%
Nevro Corp.,NVRO,1.38%
"Intra-Cellular Therapies, Inc.",ITCI,1.35%
Fluidigm Corporation,FLDM,1.29%
"Celldex Therapeutics, Inc.",CLDX,1.16%
"Provention Bio, Inc.",PRVB,1.04%
"Personalis, Inc.",PSNL,1.01%
"IVERIC bio, Inc.",ISEE,0.92%
"Surgery Partners, Inc.",SGRY,0.9%
"BioLife Solutions, Inc.",BLFS,0.81%
"Silk Road Medical, Inc.",SILK,0.78%
"Castle Biosciences, Inc.",CSTL,0.74%
"Protagonist Therapeutics, Inc.",PTGX,0.65%
"Aldeyra Therapeutics, Inc.",ALDX,0.59%
"Immunic, Inc.",IMUX,0.52%
"Aquestive Therapeutics, Inc.",AQST,0.46%
Brainstorm Cell Therapeutics Inc.,BCLI,0.22%
MUTUAL FUND (OTHER),Other,0.01%
U.S. Dollar,Other,0.0%
