PTNQ: Pacer Trendpilot 100 ETF
Inception Date: 2015-06-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	802536
Shares Outstanding: 15550000
Expense Ratio: 0.65%
Tracks This Index: Pacer NASDAQ-100 Trendpilot Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Pacer Financial
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PTNQ


Holding,Symbol,Weighting
United States Treasury Bills 0.0% 14-JAN-2021,Other,47.84%
Apple Inc.,AAPL,6.39%
Microsoft Corporation,MSFT,4.76%
"Amazon.com, Inc.",AMZN,4.63%
Tesla Inc,TSLA,2.34%
"Facebook, Inc. Class A",FB,1.86%
Alphabet Inc. Class C,GOOG,1.64%
Alphabet Inc. Class A,GOOGL,1.49%
NVIDIA Corporation,NVDA,1.39%
PayPal Holdings Inc,PYPL,1.18%
"Netflix, Inc.",NFLX,1.03%
Adobe Inc.,ADBE,1.03%
Comcast Corporation Class A,CMCSA,1.03%
"PepsiCo, Inc.",PEP,0.88%
Intel Corporation,INTC,0.87%
"Cisco Systems, Inc.",CSCO,0.81%
Broadcom Inc.,AVGO,0.76%
Qualcomm Inc,QCOM,0.74%
Costco Wholesale Corporation,COST,0.72%
"T-Mobile US, Inc.",TMUS,0.72%
Texas Instruments Incorporated,TXN,0.65%
Amgen Inc.,AMGN,0.58%
"Charter Communications, Inc. Class A",CHTR,0.57%
Starbucks Corporation,SBUX,0.54%
"Advanced Micro Devices, Inc.",AMD,0.48%
Intuit Inc.,INTU,0.43%
"Intuitive Surgical, Inc.",ISRG,0.41%
Booking Holdings Inc.,BKNG,0.39%
"MercadoLibre, Inc.",MELI,0.36%
"Micron Technology, Inc.",MU,0.36%
"Mondelez International, Inc. Class A",MDLZ,0.36%
"Applied Materials, Inc.",AMAT,0.34%
"JD.com, Inc. Sponsored ADR Class A",JD,0.33%
"Fiserv, Inc.",FISV,0.33%
"Automatic Data Processing, Inc.",ADP,0.33%
U.S. Dollar,Other,0.31%
"Gilead Sciences, Inc.",GILD,0.31%
"Activision Blizzard, Inc.",ATVI,0.31%
CSX Corporation,CSX,0.3%
"Autodesk, Inc.",ADSK,0.29%
Lam Research Corporation,LRCX,0.29%
"Zoom Video Communications, Inc. Class A",ZM,0.28%
Vertex Pharmaceuticals Incorporated,VRTX,0.26%
"Baidu, Inc. Sponsored ADR Class A",BIDU,0.25%
"Analog Devices, Inc.",ADI,0.24%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.23%
"Illumina, Inc.",ILMN,0.23%
"Regeneron Pharmaceuticals, Inc.",REGN,0.22%
Monster Beverage Corporation,MNST,0.2%
Keurig Dr Pepper Inc.,KDP,0.19%
"Workday, Inc. Class A",WDAY,0.19%
"American Electric Power Company, Inc.",AEP,0.18%
"Ross Stores, Inc.",ROST,0.18%
NXP Semiconductors NV,NXPI,0.18%
"Marriott International, Inc. Class A",MAR,0.18%
Lululemon Athletica Inc,LULU,0.18%
"IDEXX Laboratories, Inc.",IDXX,0.18%
Cognizant Technology Solutions Corporation Class A,CTSH,0.18%
"Moderna, Inc.",MRNA,0.18%
KLA Corporation,KLAC,0.17%
"Align Technology, Inc.",ALGN,0.17%
"Match Group, Inc.",MTCH,0.17%
"Peloton Interactive, Inc. Class A",PTON,0.17%
Exelon Corporation,EXC,0.17%
Kraft Heinz Company,KHC,0.17%
"DocuSign, Inc.",DOCU,0.17%
Electronic Arts Inc.,EA,0.17%
"Synopsys, Inc.",SNPS,0.16%
Biogen Inc.,BIIB,0.16%
"Cadence Design Systems, Inc.",CDNS,0.16%
ASML Holding NV ADR,ASML,0.15%
"DexCom, Inc.",DXCM,0.15%
Cintas Corporation,CTAS,0.15%
Microchip Technology Incorporated,MCHP,0.15%
eBay Inc.,EBAY,0.15%
"NetEase, Inc. Sponsored ADR",NTES,0.14%
Marvell Technology Group Ltd.,MRVL,0.14%
"Paychex, Inc.",PAYX,0.14%
"Xilinx, Inc.",XLNX,0.14%
Xcel Energy Inc.,XEL,0.14%
Verisk Analytics Inc,VRSK,0.14%
"Seagen, Inc.",SGEN,0.14%
"O\'Reilly Automotive, Inc.",ORLY,0.14%
Walgreens Boots Alliance Inc,WBA,0.14%
"Alexion Pharmaceuticals, Inc.",ALXN,0.14%
Atlassian Corp. Plc Class A,TEAM,0.13%
"ANSYS, Inc.",ANSS,0.13%
"Okta, Inc. Class A",OKTA,0.13%
"Copart, Inc.",CPRT,0.12%
Fastenal Company,FAST,0.12%
PACCAR Inc,PCAR,0.12%
"Skyworks Solutions, Inc.",SWKS,0.11%
"Sirius XM Holdings, Inc.",SIRI,0.11%
"Dollar Tree, Inc.",DLTR,0.11%
Splunk Inc.,SPLK,0.11%
"Maxim Integrated Products, Inc.",MXIM,0.1%
Cerner Corporation,CERN,0.1%
"VeriSign, Inc.",VRSN,0.1%
Check Point Software Technologies Ltd.,CHKP,0.08%
Incyte Corporation,INCY,0.08%
CDW Corp.,CDW,0.08%
Trip.com Group Ltd. Sponsored ADR,TCOM,0.07%
Fox Corporation Class A,FOXA,0.04%
Fox Corporation Class B,FOX,0.03%
