PVI: Invesco VRDO Tax-Free Weekly ETF
Inception Date: 2007-11-15
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	46092
Shares Outstanding: 1850000
Expense Ratio: 0.25%
Tracks This Index: Bloomberg US Municipal AMT-Free Weekly VRDO Index
ETFdb.com Category: National Munis
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PVI


Holding,Symbol,Weighting
Build Nyc Resource Corp N Y Rev VAR 01-APR-2045,Other,5.42%
Massachusetts St Health & Edl Facs Auth Rev VAR 01-JUL-2027,Other,5.21%
Triborough Brdg & Tunl Auth Ny Revs VAR 01-NOV-2041,Other,5.21%
Indianapolis Ind Multifamily Hsg Rev VAR 15-MAY-2038,Other,5.21%
Missouri St Health & Edl Facs Auth Health Facs Rev VAR 15-MAY-2038,Other,5.21%
University Mass Bldg Auth Proj Rev VAR 01-MAY-2038,Other,4.99%
Washington Subn San Dist Md VAR 01-JUN-2023,Other,4.77%
Colorado Springs Colo Utils Rev VAR 01-NOV-2036,Other,4.77%
Louisiana St Offshore Term Auth Deepwtr Port Rev VAR 01-SEP-2033,Other,4.34%
Southcentral Pa Gen Auth Rev VAR 01-JUN-2037,Other,4.34%
Washington St Higher Ed Facs Auth Rev VAR 01-OCT-2029,Other,4.12%
Battery Pk City Auth N Y Rev VAR 01-NOV-2038,Other,3.9%
Austin Tex Wtr & Wastewater Sys Rev VAR 15-MAY-2031,Other,3.55%
Texas St VAR 01-JUN-2046,Other,3.49%
Los Angeles Calif Dept Wtr & Pwr Wtrwks Rev VAR 01-JUL-2035,Other,3.25%
West Palm Beach Fla Util Sys Rev VAR 01-OCT-2038,Other,3.25%
Florida Keys Aqueduct Auth Wtr Rev VAR 01-SEP-2035,Other,3.25%
San Diego Cnty Calif Regl Transn Commn Sales Taxrev VAR 01-APR-2038,Other,3.25%
District of Columbia VAR 01-APR-2041,Other,2.82%
Clark Cnty Nev Arpt Rev VAR 01-JUL-2029,Other,2.71%
Franklin Cnty Ohio Hosp Rev VAR 15-NOV-2041,Other,2.71%
District Columbia Rev VAR 15-AUG-2038,Other,2.6%
New York St Urban Dev Corp Rev VAR 01-JAN-2030,Other,2.6%
Sevier Cnty Tenn Pub Bldg Auth VAR 01-JUN-2026,Other,2.53%
Bay Area Toll Auth Calif Toll Brdg Rev VAR 01-APR-2047,Other,2.17%
University Tex Univ Revs VAR 01-AUG-2025,Other,1.52%
Kansas City Mo Spl Oblig VAR 15-APR-2025,Other,0.65%
Massachusetts Bay Transn Auth Mass Sales Tax Rev VAR 01-JUL-2026,Other,0.65%
Louisiana Pub Facs Auth Rev VAR 01-JUL-2047,Other,0.65%
U.S. Dollar,Other,0.64%
Charlotte N C Wtr & Swr Sys Rev VAR 01-JUL-2036,Other,0.22%
