PWC: Invesco Dynamic Market ETF
Inception Date: 2003-05-01
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	119722
Shares Outstanding: 1140000
Expense Ratio: 0.59%
Tracks This Index: Dynamic Market Intellidex Index
ETFdb.com Category: All Cap Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PWC


Holding,Symbol,Weighting
"CrowdStrike Holdings, Inc. Class A",CRWD,4.84%
"Snap, Inc. Class A",SNAP,3.99%
"Square, Inc. Class A",SQ,3.93%
"Match Group, Inc.",MTCH,3.85%
Datadog Inc Class A,DDOG,3.69%
"DocuSign, Inc.",DOCU,3.69%
"Zoom Video Communications, Inc. Class A",ZM,3.03%
"Peloton Interactive, Inc. Class A",PTON,3.0%
"Moderna, Inc.",MRNA,2.58%
"GoodRx Holdings, Inc. Class A",GDRX,2.49%
"Seagen, Inc.",SGEN,2.33%
Kraft Heinz Company,KHC,2.28%
Quest Diagnostics Incorporated,DGX,2.19%
Walmart Inc.,WMT,2.18%
Genuine Parts Company,GPC,2.11%
"Home Depot, Inc.",HD,2.1%
Newmont Corporation,NEM,2.08%
Masco Corporation,MAS,2.07%
"United Rentals, Inc.",URI,2.04%
"Old Dominion Freight Line, Inc.",ODFL,1.98%
General Motors Company,GM,1.89%
"NextEra Energy, Inc.",NEE,1.8%
SVB Financial Group,SIVB,1.26%
Capital One Financial Corporation,COF,1.26%
Synchrony Financial,SYF,1.26%
M&T Bank Corporation,MTB,1.21%
Fifth Third Bancorp,FITB,1.18%
"TechTarget, Inc.",TTGT,1.13%
Bandwidth Inc. Class A,BAND,1.12%
"MetLife, Inc.",MET,1.12%
Liberty Media Corporation Series A Liberty Formula One,FWONA,0.98%
Halliburton Company,HAL,0.9%
"Enphase Energy, Inc.",ENPH,0.89%
"Calix, Inc.",CALX,0.87%
"NETGEAR, Inc.",NTGR,0.86%
"Five9, Inc.",FIVN,0.85%
"Monolithic Power Systems, Inc.",MPWR,0.84%
Cerence Inc.,CRNC,0.82%
Cloudflare Inc Class A,NET,0.79%
"BlackLine, Inc.",BL,0.79%
"TTEC Holdings, Inc.",TTEC,0.79%
"Energy Transfer, L.P.",ET,0.78%
"Arrow Electronics, Inc.",ARW,0.73%
Avalara Inc,AVLR,0.7%
Azure Power Global Ltd.,AZRE,0.53%
"Celsius Holdings, Inc.",CELH,0.51%
"Oak Street Health, Inc.",OSH,0.45%
"NRG Energy, Inc.",NRG,0.45%
"Purple Innovation, Inc.",PRPL,0.44%
AdaptHealth Corp. Class A,AHCO,0.44%
GrowGeneration Corp.,GRWG,0.44%
Tenet Healthcare Corporation,THC,0.41%
"YETI Holdings, Inc.",YETI,0.41%
"Owens & Minor, Inc.",OMI,0.4%
American Well Corporation Class A,AMWL,0.39%
MYR Group Inc.,MYRG,0.38%
Providence Service Corporation,PRSC,0.38%
"Crocs, Inc.",CROX,0.38%
"Waddell & Reed Financial, Inc. Class A",WDR,0.38%
Bally\'s Corporation,BALY,0.38%
"Lumber Liquidators Holdings, Inc.",LL,0.37%
"Translate Bio, Inc.",TBIO,0.37%
"Arcus Biosciences, Inc.",RCUS,0.37%
Blueprint Medicines Corp.,BPMC,0.36%
Freedom Holding Corp.,FRHC,0.36%
"Green Brick Partners, Inc.",GRBK,0.35%
"TriNet Group, Inc.",TNET,0.35%
"Rush Enterprises, Inc. Class A",RUSHA,0.34%
ArcBest Corporation,ARCB,0.34%
"EnPro Industries, Inc.",NPO,0.34%
"Kontoor Brands, Inc.",KTB,0.33%
"Nu Skin Enterprises, Inc. Class A",NUS,0.33%
"Atlas Air Worldwide Holdings, Inc.",AAWW,0.33%
"B&G Foods, Inc.",BGS,0.33%
"Revolution Medicines, Inc.",RVMD,0.32%
"Camping World Holdings, Inc. Class A",CWH,0.32%
"Medifast, Inc.",MED,0.32%
Tupperware Brands Corporation,TUP,0.32%
"Kelly Services, Inc. Class A",KELYA,0.31%
Wabash National Corporation,WNC,0.31%
Scotts Miracle-Gro Company Class A,SMG,0.31%
"United Natural Foods, Inc.",UNFI,0.3%
"Community Health Systems, Inc.",CYH,0.3%
Boise Cascade Co.,BCC,0.29%
"Mr. Cooper Group, Inc.",COOP,0.28%
"BJ\'s Wholesale Club Holdings, Inc.",BJ,0.28%
"Virtu Financial, Inc. Class A",VIRT,0.28%
"Cannae Holdings, Inc.",CNNE,0.27%
"American National Group, Inc.",ANAT,0.27%
Piper Sandler Companies,PIPR,0.26%
James River Group Holdings Ltd,JRVR,0.26%
"PJT Partners, Inc. Class A",PJT,0.26%
"Worthington Industries, Inc.",WOR,0.25%
BancFirst Corporation,BANF,0.25%
"Cullen/Frost Bankers, Inc.",CFR,0.25%
American Equity Investment Life Holding Company,AEL,0.24%
Whiting Petroleum Corporation,WLL,0.23%
"Renewable Energy Group, Inc.",REGI,0.22%
World Fuel Services Corporation,INT,0.19%
Plains GP Holdings LP Class A,PAGP,0.18%
MUTUAL FUND (OTHER),Other,0.03%
