PXE: Invesco Dynamic Energy Exploration & Production ETF
Inception Date: 2005-10-26
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	17103
Shares Outstanding: 1660000
Expense Ratio: 0.63%
Tracks This Index: Dynamic Energy Exploration & Production Intellidex Index
ETFdb.com Category: Energy Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PXE


Holding,Symbol,Weighting
Denbury Inc.,DEN,6.49%
Phillips 66,PSX,5.06%
Pioneer Natural Resources Company,PXD,4.99%
Marathon Petroleum Corporation,MPC,4.7%
Valero Energy Corporation,VLO,4.67%
"EOG Resources, Inc.",EOG,4.49%
Concho Resources Inc.,CXO,4.38%
ConocoPhillips,COP,4.37%
Antero Resources Corporation,AR,3.44%
Whiting Petroleum Corporation,WLL,3.28%
Ovintiv Inc,OVV,2.98%
CNX Resources Corporation,CNX,2.97%
"PDC Energy, Inc.",PDCE,2.89%
Matador Resources Company,MTDR,2.86%
"WPX Energy, Inc.",WPX,2.83%
Marathon Oil Corporation,MRO,2.83%
Devon Energy Corporation,DVN,2.82%
Apache Corporation,APA,2.81%
"Diamondback Energy, Inc.",FANG,2.78%
Magnolia Oil & Gas Corp. Class A,MGY,2.78%
"Parsley Energy, Inc. Class A",PE,2.72%
Cimarex Energy Co.,XEC,2.67%
"Continental Resources, Inc.",CLR,2.62%
HollyFrontier Corporation,HFC,2.62%
"CVR Energy, Inc.",CVI,2.48%
Cabot Oil & Gas Corporation,COG,2.46%
Southwestern Energy Company,SWN,2.44%
Range Resources Corporation,RRC,2.39%
"Comstock Resources, Inc.",CRK,2.37%
EQT Corporation,EQT,2.25%
MUTUAL FUND (OTHER),Other,0.56%
