PXQ: Invesco Dynamic Networking ETF
Inception Date: 2005-06-23
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	44575
Shares Outstanding: 540000
Expense Ratio: 0.63%
Tracks This Index: Dynamic Networking Intellidex Index
ETFdb.com Category: Technology Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PXQ


Holding,Symbol,Weighting
"CrowdStrike Holdings, Inc. Class A",CRWD,5.95%
Apple Inc.,AAPL,4.98%
"Okta, Inc. Class A",OKTA,4.84%
Marvell Technology Group Ltd.,MRVL,4.58%
"Cisco Systems, Inc.",CSCO,4.57%
Qualcomm Inc,QCOM,4.51%
Amphenol Corporation Class A,APH,4.34%
"Motorola Solutions, Inc.",MSI,4.32%
"Tenable Holdings, Inc.",TENB,3.67%
"FireEye, Inc.",FEYE,3.48%
"Zscaler, Inc.",ZS,3.36%
"Varonis Systems, Inc.",VRNS,3.33%
Mimecast Limited,MIME,3.12%
"Qualys, Inc.",QLYS,3.06%
Ping Identity Holding Corp.,PING,3.06%
"Calix, Inc.",CALX,2.99%
"Fortinet, Inc.",FTNT,2.97%
"NETGEAR, Inc.",NTGR,2.96%
"Lumentum Holdings, Inc.",LITE,2.81%
"Dynatrace, Inc.",DT,2.79%
II-VI Incorporated,IIVI,2.74%
Ubiquiti Inc.,UI,2.66%
"Arista Networks, Inc.",ANET,2.51%
"Akamai Technologies, Inc.",AKAM,2.48%
Datadog Inc Class A,DDOG,2.47%
Garmin Ltd.,GRMN,2.46%
"InterDigital, Inc.",IDCC,2.42%
"Plantronics, Inc.",PLT,2.41%
AudioCodes Ltd.,AUDC,2.37%
SolarWinds Corp.,SWI,1.58%
MUTUAL FUND (OTHER),Other,0.22%
