PZT: Invesco New York AMT-Free Municipal Bond ETF
Inception Date: 2007-10-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	108601
Shares Outstanding: 4150000
Expense Ratio: 0.28%
Tracks This Index: BofA ML New York Long-Term Core Plus Municipal Securities Index
ETFdb.com Category: New York Munis
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PZT


Holding,Symbol,Weighting
New York St Dorm Auth St Pers Income Tax Rev 4.0% 15-FEB-2044,Other,5.27%
MUNICIPAL BONDS,Other,3.31%
Battery Pk City Auth N Y Rev 5.0% 01-NOV-2049,Other,3.01%
Onondaga Cnty N Y Tr Cultural Res Rev 5.0% 01-DEC-2043,Other,3.01%
New York N Y 5.0% 01-OCT-2039,Other,2.38%
Utility Debt Securitization Auth N Y 5.0% 15-DEC-2038,Other,2.35%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-JUL-2050,Other,2.35%
New York N Y City Indl Dev Agy Rev 6.5% 01-JAN-2046,Other,2.33%
New York St Urban Dev Corp St Sales Tax Rev 4.0% 15-MAR-2044,Other,2.18%
New York N Y City Transitional Fin Auth Rev 4.0% 01-NOV-2042,Other,2.18%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-JUL-2035,Other,2.14%
New York St Dorm Auth Revs 5.5% 01-JUL-2040,Other,2.12%
Long Island Pwr Auth N Y Elec Sys Rev 5.0% 01-SEP-2044,Other,2.11%
Brooklyn Arena Loc Dev Corp N Y Pilot Rev 5.0% 15-JUL-2042,Other,2.1%
New York N Y 4.0% 01-DEC-2043,Other,2.09%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 3.625% 15-JUN-2048,Other,2.06%
New York Convention Ctr Dev Corp N Y Rev 5.0% 15-NOV-2040,Other,1.99%
New York N Y City Indl Dev Agy Rev 3.0% 01-MAR-2049,Other,1.95%
New York Liberty Dev Corp Liberty Rev 5.0% 15-NOV-2044,Other,1.92%
New York St Dorm Auth Revs Non St Supported Debt 4.0% 01-JUL-2049,Other,1.9%
Port Auth N Y & N J 5.0% 01-SEP-2048,Other,1.72%
New York N Y City Transitional Fin Auth Rev 5.0% 01-FEB-2043,Other,1.67%
Metropolitan Transn Auth N Y Dedicated Tax Fd 5.0% 15-NOV-2046,Other,1.66%
Triborough Brdg & Tunl Auth N Y Revs 5.0% 15-NOV-2046,Other,1.61%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-JUL-2034,Other,1.57%
Utility Debt Securitization Authority Restructuring Bonds Series 2013T and Series 2013TE  13TE17 5.0% 15-DEC-2041,Other,1.56%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-OCT-2047,Other,1.52%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2041,Other,1.21%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-JUL-2050,Other,1.2%
Mta Hudson Rail Yards Tr Obligs Rev 5.0% 15-NOV-2051,Other,1.19%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 5.25% 15-JUN-2037,Other,1.18%
New York N Y City Transitional Fin Auth Bldg Aidrev 5.0% 15-JUL-2037,Other,1.17%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-MAR-2042,Other,1.17%
New York N Y 5.0% 01-MAR-2038,Other,1.15%
New York St Dorm Auth Sales Tax Rev St Supporteddebt 5.0% 15-MAR-2043,Other,1.15%
Metropolitan Transn Auth N Y Rev 5.25% 15-NOV-2055,Other,1.14%
Triborough Brdg & Tunl Auth N Y Revs 5.0% 15-NOV-2037,Other,1.14%
Triborough Brdg & Tunl Auth N Y Revs 5.0% 15-NOV-2038,Other,1.14%
Battery Pk City Auth N Y Rev 4.0% 01-NOV-2044,Other,1.13%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-FEB-2038,Other,1.13%
New York N Y City Transitional Fin Auth Rev 5.0% 01-AUG-2045,Other,1.12%
New York St Environmental Facs Corp St Clean Wtr& Drinking Wtr Rev 5.0% 15-JUN-2041,Other,1.12%
Monroe Cnty N Y Indl Dev Corp Rev 4.0% 01-JUL-2050,Other,1.1%
New York Transn Dev Corp Spl Fac Rev 4.0% 01-DEC-2042,Other,1.1%
New York N Y City Transitional Fin Auth Bldg Aidrev 5.0% 15-JUL-2035,Other,1.1%
New York N Y City Transitional Fin Auth Bldg Aidrev 5.0% 15-JUL-2043,Other,1.1%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 4.0% 15-JUN-2049,Other,1.09%
New York St Dorm Auth Revs Non St Supported Debt 3.0% 01-FEB-2050,Other,1.09%
New York St Twy Auth Gen Rev Jr Indbt Obligs 5.0% 01-JAN-2046,Other,1.08%
Port Auth N Y & N J 5.25% 15-OCT-2055,Other,1.08%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-JUL-2046,Other,1.07%
New York N Y City Transitional Fin Auth Bldg Aidrev 4.0% 15-JUL-2046,Other,1.06%
New York St Dorm Auth Revs Non St Supported Debt 4.0% 01-JUL-2050,Other,1.06%
Metropolitan Transn Auth N Y Rev 5.25% 15-NOV-2056,Other,1.05%
Metropolitan Transn Auth N Y Rev 4.0% 15-NOV-2049,Other,1.05%
Guam Pwr Auth Rev 5.0% 01-OCT-2030,Other,1.0%
Build Nyc Resource Corp N Y Rev 5.0% 01-JUL-2041,Other,1.0%
New York N Y City Transitional Fin Auth Rev 3.0% 01-MAY-2048,Other,0.99%
New York N Y City Transitional Fin Auth Rev 3.0% 01-NOV-2050,Other,0.99%
New York St Dorm Auth St Pers Income Tax Rev 3.0% 15-MAR-2049,Other,0.99%
Broome Cnty N Y Loc Dev Corp Rev 3.0% 01-APR-2045,Other,0.97%
New York N Y 5.0% 01-AUG-2038,Other,0.56%
Dutchess Cnty N Y Loc Dev Corp Rev 5.0% 01-JUL-2046,Other,0.53%
New York St Dorm Auth Revs Non St Supported Debt 4.0% 01-JUL-2045,Other,0.51%
