QDF: FlexShares Quality Dividend Index Fund
Inception Date: 2012-12-14
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	1408980
Shares Outstanding: 28850000
Expense Ratio: 0.37%
Tracks This Index: Northern Trust Quality Dividend Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: FlexShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/QDF


Holding,Symbol,Weighting
Apple Inc.,AAPL,8.81%
Microsoft Corporation,MSFT,3.86%
JPMorgan Chase & Co.,JPM,3.6%
Johnson & Johnson,JNJ,3.57%
"Cisco Systems, Inc.",CSCO,2.57%
Procter & Gamble Company,PG,2.31%
Walmart Inc.,WMT,2.17%
Texas Instruments Incorporated,TXN,2.07%
Amgen Inc.,AMGN,1.85%
Oracle Corporation,ORCL,1.84%
"Home Depot, Inc.",HD,1.84%
Philip Morris International Inc.,PM,1.76%
"Merck & Co., Inc.",MRK,1.66%
International Business Machines Corporation,IBM,1.53%
"Lowe\'s Companies, Inc.",LOW,1.5%
Visa Inc. Class A,V,1.45%
Eli Lilly and Company,LLY,1.29%
Lockheed Martin Corporation,LMT,1.21%
Verizon Communications Inc.,VZ,1.16%
"S&P Global, Inc.",SPGI,1.13%
AT&T Inc.,T,1.07%
Altria Group Inc,MO,1.06%
"Gilead Sciences, Inc.",GILD,1.05%
"Activision Blizzard, Inc.",ATVI,0.97%
Comcast Corporation Class A,CMCSA,0.92%
Illinois Tool Works Inc.,ITW,0.9%
"PNC Financial Services Group, Inc.",PNC,0.87%
American Tower Corporation,AMT,0.83%
Progressive Corporation,PGR,0.78%
Newmont Corporation,NEM,0.71%
Moody\'s Corporation,MCO,0.69%
Electronic Arts Inc.,EA,0.68%
Morgan Stanley,MS,0.66%
Sherwin-Williams Company,SHW,0.66%
KLA Corporation,KLAC,0.64%
Microchip Technology Incorporated,MCHP,0.63%
eBay Inc.,EBAY,0.62%
"Dow, Inc.",DOW,0.61%
T. Rowe Price Group,TROW,0.61%
Schlumberger NV,SLB,0.59%
New York Times Company Class A,NYT,0.59%
Halliburton Company,HAL,0.58%
"Rockwell Automation, Inc.",ROK,0.58%
Pool Corporation,POOL,0.57%
Antero Midstream Corp.,AM,0.57%
ResMed Inc.,RMD,0.57%
Cerner Corporation,CERN,0.57%
"MetLife, Inc.",MET,0.57%
Exelon Corporation,EXC,0.57%
McKesson Corporation,MCK,0.57%
PotlatchDeltic Corporation,PCH,0.57%
"Ameriprise Financial, Inc.",AMP,0.57%
Public Storage,PSA,0.56%
Trane Technologies plc,TT,0.56%
Fastenal Company,FAST,0.56%
"Paychex, Inc.",PAYX,0.55%
Public Service Enterprise Group Inc,PEG,0.55%
Baker Hughes Company Class A,BKR,0.55%
"World Wrestling Entertainment, Inc. Class A",WWE,0.55%
"Williams Companies, Inc.",WMB,0.55%
"Williams-Sonoma, Inc.",WSM,0.54%
Eastman Chemical Company,EMN,0.54%
"General Mills, Inc.",GIS,0.54%
Gentex Corporation,GNTX,0.53%
WEC Energy Group Inc,WEC,0.53%
Brunswick Corporation,BC,0.53%
"W.W. Grainger, Inc.",GWW,0.52%
Omnicom Group Inc,OMC,0.51%
Hubbell Incorporated Class B,HUBB,0.51%
Seagate Technology PLC,STX,0.51%
"Old Dominion Freight Line, Inc.",ODFL,0.51%
Synchrony Financial,SYF,0.51%
MDU Resources Group Inc,MDU,0.51%
"Rollins, Inc.",ROL,0.51%
Aflac Incorporated,AFL,0.51%
UnitedHealth Group Incorporated,UNH,0.5%
"Sirius XM Holdings, Inc.",SIRI,0.5%
"CoreLogic, Inc.",CLGX,0.5%
"Watsco, Inc.",WSO,0.5%
"Gaming and Leisure Properties, Inc.",GLPI,0.5%
"National Health Investors, Inc.",NHI,0.5%
"NRG Energy, Inc.",NRG,0.5%
Chemed Corporation,CHE,0.5%
Extra Space Storage Inc.,EXR,0.5%
Vistra Corp.,VST,0.49%
A. O. Smith Corporation,AOS,0.49%
AmerisourceBergen Corporation,ABC,0.48%
OGE Energy Corp.,OGE,0.48%
"Cardinal Health, Inc.",CAH,0.48%
"MSC Industrial Direct Co., Inc. Class A",MSM,0.48%
"Citrix Systems, Inc.",CTXS,0.48%
"Best Buy Co., Inc.",BBY,0.48%
"PulteGroup, Inc.",PHM,0.47%
Hanesbrands Inc.,HBI,0.45%
Western Union Company,WU,0.44%
Polaris Inc.,PII,0.44%
PPL Corporation,PPL,0.44%
"PROG Holdings, Inc.",PRG,0.43%
Pentair plc,PNR,0.42%
Campbell Soup Company,CPB,0.42%
M&T Bank Corporation,MTB,0.42%
"NetApp, Inc.",NTAP,0.41%
"Evergy, Inc.",EVRG,0.4%
Plains GP Holdings LP Class A,PAGP,0.38%
Mastercard Incorporated Class A,MA,0.36%
