QEFA: SPDR MSCI EAFE StrategicFactors ETF
Inception Date: 2014-06-04
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	525108
Shares Outstanding: 7450000
Expense Ratio: 0.3%
Tracks This Index: MSCI EAFE Quality Mix Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/QEFA


Holding,Symbol,Weighting
Roche Holding Ltd,ROG,2.38%
Nestle S.A.,NESN,2.36%
Novartis AG,NOVN,1.97%
Novo Nordisk A/S Class B,NOVO.B,1.65%
ASML Holding NV,ASML,1.52%
Sanofi,SAN,1.09%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.06%
Keyence Corporation,6861,0.98%
SAP SE,SAP,0.94%
CSL Limited,CSL,0.93%
Unilever PLC,UNA,0.82%
Rio Tinto plc,RIO,0.81%
L\'Oreal SA,OR,0.8%
"Chugai Pharmaceutical Co., Ltd.",4519,0.75%
Givaudan SA,GIVN,0.72%
Diageo plc,DGE,0.7%
Unilever PLC,ULVR,0.68%
Wesfarmers Limited,WES,0.65%
Toyota Motor Corp.,7203,0.65%
Coloplast A/S Class B,COLO.B,0.62%
Hermes International SCA,RMS,0.61%
HSBC Holdings Plc,HSBA,0.61%
KDDI Corporation,9433,0.57%
Swisscom AG,SCMN,0.57%
Hong Kong Exchanges & Clearing Ltd.,388,0.53%
Reckitt Benckiser Group plc,RB,0.53%
RELX PLC,REL,0.52%
Kerry Group Plc Class A,KRZ,0.5%
"Nintendo Co., Ltd.",7974,0.5%
Shin-Etsu Chemical Co Ltd,4063,0.49%
Deutsche Telekom AG,DTE,0.47%
HOYA CORPORATION,7741,0.45%
Royal Dutch Shell Plc Class A,RDSA,0.42%
Tokyo Electron Ltd.,8035,0.41%
GlaxoSmithKline plc,GSK,0.41%
BP p.l.c.,BP,0.41%
Commonwealth Bank of Australia,CBA,0.41%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.41%
Total SE,FP,0.4%
Woolworths Group Ltd,WOW,0.4%
"Mizuho Financial Group, Inc.",8411,0.39%
National Grid plc,NG,0.38%
Genmab A/S,GMAB,0.38%
CLP Holdings Limited,2,0.37%
BNP Paribas SA Class A,BNP,0.37%
"SG Holdings Co., Ltd.",9143,0.37%
"Oriental Land Co., Ltd.",4661,0.37%
Banco Santander S.A.,SAN,0.37%
Kering SA,KER,0.37%
"Recruit Holdings Co., Ltd.",6098,0.37%
"Hitachi,Ltd.",6501,0.37%
Nippon Telegraph and Telephone Corporation,9432,0.36%
Zurich Insurance Group Ltd,ZURN,0.36%
Partners Group Holding AG,PGHN,0.36%
Kao Corp.,4452,0.36%
Experian PLC,EXPN,0.36%
Vestas Wind Systems A/S,VWS,0.35%
EMS-CHEMIE HOLDING AG,EMSN,0.35%
Prudential plc,PRU,0.35%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.34%
Hong Kong & China Gas Co. Ltd.,3,0.34%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.33%
Japan Tobacco Inc.,2914,0.33%
Daimler AG,DAI,0.32%
Power Assets Holdings Limited,6,0.32%
"Secom Co., Ltd.",9735,0.32%
Geberit AG,GEBN,0.32%
Kuehne & Nagel International AG,KNIN,0.32%
MTR Corporation Limited,66,0.32%
"Hang Seng Bank, Limited",11,0.31%
SoftBank Corp.,9434,0.31%
Groupe Bruxelles Lambert SA,GBLB,0.3%
Allianz SE,ALV,0.3%
Air Liquide SA,AI,0.3%
Royal Dutch Shell Plc Class B,RDSB,0.3%
Koninklijke Ahold Delhaize N.V.,AD,0.3%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.29%
London Stock Exchange Group plc,LSE,0.29%
Rio Tinto Limited,RIO,0.29%
Smith & Nephew plc,SN,0.29%
NIPPON PAINT HOLDINGS CO.LTD.,4612,0.29%
"M3, Inc.",2413,0.28%
Canon Inc.,7751,0.28%
Atlas Copco AB Class A,ATCO.A,0.28%
Oversea-Chinese Banking Corporation Limited,O39,0.28%
Logitech International S.A.,LOGN,0.28%
Neste Corporation,NESTE,0.28%
Kone Oyj Class B,KNEBV,0.28%
Iberdrola SA,IBE,0.27%
DBS Group Holdings Ltd,D05,0.27%
Sony Corporation,6758,0.27%
AstraZeneca PLC,AZN,0.27%
Ferguson Plc,FERG,0.27%
Compass Group PLC,CPG,0.27%
QIAGEN NV,QIA,0.27%
Deutsche Boerse AG,DB1,0.27%
Orange SA,ORA,0.26%
Astellas Pharma Inc.,4503,0.26%
Orsted,ORSTED,0.26%
Beiersdorf AG,BEI,0.26%
Elisa Oyj Class A,ELISA,0.26%
Siemens AG,SIE,0.25%
"Industria de Diseno Textil, S.A.",ITX,0.25%
BASF SE,BAS,0.25%
"Nippon Prologis REIT, Inc.",3283,0.25%
Wolters Kluwer NV,WKL,0.25%
Volkswagen AG Pref,VOW3,0.24%
Admiral Group plc,ADM,0.24%
BAE Systems plc,BA,0.24%
"Honda Motor Co., Ltd.",7267,0.24%
Ferrari NV,RACE,0.24%
Fortescue Metals Group Ltd,FMG,0.24%
East Japan Railway Company,9020,0.24%
Imperial Brands PLC,IMB,0.24%
Direct Line Insurance Group Plc,DLG,0.23%
"Nitori Holdings Co., Ltd.",9843,0.23%
Link Real Estate Investment Trust,823,0.23%
Glencore plc,GLEN,0.23%
Check Point Software Technologies Ltd.,CHKP,0.23%
Sysmex Corporation,6869,0.23%
Carlsberg A/S Class B,CARL.B,0.23%
"Kintetsu Group Holdings Co., Ltd.",9041,0.22%
Adyen NV,ADYEN,0.22%
British American Tobacco p.l.c.,BATS,0.22%
AIA Group Limited,1299,0.22%
ING Groep NV,INGA,0.22%
Barclays PLC,BARC,0.22%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.22%
Enel SpA,ENEL,0.21%
Schindler Holding AG,SCHN,0.21%
Singapore Telecommunications Limited,Z74,0.21%
Intesa Sanpaolo S.p.A.,ISP,0.21%
Sonic Healthcare Limited,SHL,0.21%
HKT Trust and HKT Ltd,6823,0.21%
U.S. Dollar,Other,0.2%
United Overseas Bank Ltd. (Singapore),U11,0.2%
Jardine Matheson Holdings Limited,J36,0.2%
AXA SA,CS,0.2%
Peugeot SA,UG,0.2%
Westpac Banking Corporation,WBC,0.2%
DiaSorin S.p.A.,DIA,0.2%
Legrand SA,LR,0.2%
NEC Corp.,6701,0.2%
Lloyds Banking Group plc,LLOY,0.2%
Sonova Holding AG,SOON,0.2%
EssilorLuxottica SA,EL,0.2%
Tryg A/S,TRYG,0.2%
Bridgestone Corporation,5108,0.19%
Swiss Prime Site AG,SPSN,0.19%
UBS Group AG,UBSG,0.19%
"OBIC Co., Ltd.",4684,0.19%
Merck KGaA,MRK,0.19%
SoftBank Group Corp.,9984,0.19%
Etablissementen Franz Colruyt N.V.,COLR,0.19%
Singapore Exchange Ltd.,S68,0.19%
BANDAI NAMCO Holdings Inc.,7832,0.19%
Societe Generale S.A. Class A,GLE,0.19%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.19%
"Seven & I Holdings Co., Ltd.",3382,0.18%
Suntory Beverage & Food Ltd.,2587,0.18%
"Techtronic Industries Co., Ltd.",669,0.18%
Vodafone Group Plc,VOD,0.18%
"MS&AD Insurance Group Holdings, Inc.",8725,0.18%
SGS SA,SGSN,0.18%
"Toyo Suisan Kaisha, Ltd.",2875,0.18%
Hexagon AB Class B,HEXA.B,0.18%
UniCredit S.p.A.,UCG,0.18%
"Shionogi & Co., Ltd.",4507,0.18%
ASSA ABLOY AB Class B,ASSA.B,0.18%
"Welcia Holdings Co., Ltd.",3141,0.18%
Atlas Copco AB Class B,ATCO.B,0.18%
Australia and New Zealand Banking Group Limited,ANZ,0.18%
West Japan Railway Company,9021,0.18%
Daiwa House REIT Investment Corporation,8984,0.18%
Henkel AG & Co. KGaA Pref,HEN3,0.17%
Orkla ASA,ORK,0.17%
Bank Leumi Le-Israel Ltd.,LUMI,0.17%
Royal Vopak NV,VPK,0.17%
BHP Group Ltd,BHP,0.17%
UCB S.A.,UCB,0.17%
"Daiwa House Industry Co., Ltd.",1925,0.17%
Pernod Ricard SA,RI,0.17%
"Japan Post Bank Co., Ltd.",7182,0.17%
"Yamada Holding Co., Ltd.",9831,0.17%
Knorr-Bremse AG,KBX,0.17%
Danone SA,BN,0.17%
Deutsche Post AG,DPW,0.17%
Bank Hapoalim BM,POLI,0.16%
Bunzl plc,BNZL,0.16%
Itochu Corporation,8001,0.16%
"Nagoya Railroad Co., Ltd.",9048,0.16%
Novozymes A/S Class B,NZYM.B,0.16%
"Tokio Marine Holdings, Inc.",8766,0.16%
Ashtead Group plc,AHT,0.16%
"Meiji Holdings Co., Ltd.",2269,0.16%
National Australia Bank Limited,NAB,0.16%
Snam S.p.A.,SRG,0.16%
Bayerische Motoren Werke AG,BMW,0.16%
Fiat Chrysler Automobiles N.V.,FCA,0.16%
"Chugoku Electric Power Co., Inc.",9504,0.16%
"Mcdonalds Holdings Company Japan, Ltd.",2702,0.15%
Unicharm Corporation,8113,0.15%
Baloise-Holding AG,BALN,0.15%
FUJIFILM Holdings Corp,4901,0.15%
Proximus SA de droit public,PROX,0.15%
Sandvik AB,SAND,0.15%
Singapore Technologies Engineering Ltd,S63,0.15%
Wm Morrison Supermarkets plc,MRW,0.15%
Spark New Zealand Limited,SPK,0.15%
Mizrahi Tefahot Bank Ltd,MZTF,0.15%
UPM-Kymmene Oyj,UPM,0.15%
Mitsubishi Corporation,8058,0.15%
Peptidream Inc.,4587,0.14%
Barry Callebaut AG,BARN,0.14%
Telenor ASA,TEL,0.14%
Henkel AG & Co. KGaA,HEN,0.14%
Kingspan Group Plc,KRX,0.14%
bioMerieux SA,BIM,0.14%
"MonotaRO Co., Ltd.",3064,0.14%
PCCW Limited,8,0.14%
Telia Company AB,TELIA,0.14%
"Nissan Motor Co., Ltd.",7201,0.14%
Epiroc AB Class A,EPI.A,0.14%
Schindler Holding AG Pref,SCHP,0.13%
"Japan Exchange Group, Inc.",8697,0.13%
Shimano Inc.,7309,0.13%
Croda International Plc,CRDA,0.13%
"ABC-MART, INC.",2670,0.13%
Bayer AG,BAYN,0.13%
CK Infrastructure Holdings Limited,1038,0.13%
Advantest Corp.,6857,0.13%
"Lawson, Inc.",2651,0.13%
ANA Holdings Inc.,9202,0.13%
Jardine Strategic Holdings Limited,J37,0.13%
"ENEOS Holdings, Inc.",5020,0.13%
HK Electric Investments & HK Electric Investments Ltd.,2638,0.13%
Newcrest Mining Limited,NCM,0.13%
"Eisai Co., Ltd.",4523,0.13%
Intertek Group plc,ITRK,0.13%
Munich Reinsurance Company,MUV2,0.13%
Chr. Hansen Holding A/S,CHR,0.13%
Hikma Pharmaceuticals Plc,HIK,0.13%
Kyushu Railway Company,9142,0.13%
Siemens Healthineers AG,SHL,0.12%
Lonza Group AG,LONN,0.12%
ArcelorMittal SA,MT,0.12%
Keio Corporation,9008,0.12%
Red Electrica Corp. SA,REE,0.12%
Takeda Pharmaceutical Co. Ltd.,4502,0.12%
Schneider Electric SE,SU,0.12%
Eni S.p.A.,ENI,0.12%
Assicurazioni Generali S.p.A.,G,0.12%
Central Japan Railway Company,9022,0.12%
Endesa S.A.,ELE,0.12%
State Street Institutional Liquid Reserves Fund,SSIXX,0.11%
"Tobu Railway Co., Ltd.",9001,0.11%
Repsol SA,REP,0.11%
Heineken NV,HEIA,0.11%
BHP Group Plc,BHP,0.11%
Telstra Corporation Limited,TLS,0.11%
Rentokil Initial plc,RTO,0.11%
ICA Gruppen AB,ICA,0.11%
Skanska AB Class B,SKA.B,0.11%
CK Hutchison Holdings Ltd,1,0.11%
Persimmon Plc,PSN,0.11%
Alstom SA,ALO,0.11%
VINCI SA,DG,0.11%
"TSURUHA Holdings, Inc.",3391,0.11%
Associated British Foods plc,ABF,0.11%
Standard Chartered PLC,STAN,0.11%
"TOHO GAS Co., Ltd.",9533,0.11%
Deutsche Bank AG,DBK,0.11%
Adecco Group AG,ADEN,0.11%
Marubeni Corporation,8002,0.11%
"Mitsui & Co.,Ltd",8031,0.11%
NN Group N.V.,NN,0.11%
"NEXON Co., Ltd.",3659,0.11%
NIPPON STEEL CORP.,5401,0.11%
Moncler SpA,MONC,0.11%
Panasonic Corporation,6752,0.11%
"ONO Pharmaceutical Co., Ltd.",4528,0.1%
Telefonica SA,TEF,0.1%
BT Group plc,BT.A,0.1%
Sage Group plc,SGE,0.1%
Gjensidige Forsikring ASA,GJF,0.1%
Credit Agricole SA,ACA,0.1%
Symrise AG,SY1,0.1%
DENSO CORPORATION,6902,0.1%
Singapore Airlines Ltd.,C6L,0.1%
"AEON Co., Ltd.",8267,0.1%
Anglo American plc,AAL,0.1%
Meridian Energy Limited,MEL,0.1%
"Sekisui House, Ltd.",1928,0.1%
Tesco PLC,TSCO,0.1%
