QGRO: American Century STOXX U.S. Quality Growth ETF
Inception Date: 2018-09-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	229351
Shares Outstanding: 3750000
Expense Ratio: 0.29%
Tracks This Index: iSTOXX American Century USA Quality Growth Index.
ETFdb.com Category: Large Cap Growth Equities
Issuer: American Century Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/QGRO


Holding,Symbol,Weighting
Adobe Inc.,ADBE,2.8%
Vertex Pharmaceuticals Incorporated,VRTX,2.53%
"Fortinet, Inc.",FTNT,2.33%
"Cadence Design Systems, Inc.",CDNS,1.86%
"Lowe\'s Companies, Inc.",LOW,1.8%
"O\'Reilly Automotive, Inc.",ORLY,1.75%
"IDEXX Laboratories, Inc.",IDXX,1.69%
Texas Instruments Incorporated,TXN,1.67%
"Autodesk, Inc.",ADSK,1.64%
"ServiceNow, Inc.",NOW,1.61%
Tractor Supply Company,TSCO,1.58%
PayPal Holdings Inc,PYPL,1.58%
Qualcomm Inc,QCOM,1.57%
"Chipotle Mexican Grill, Inc.",CMG,1.53%
"Maxim Integrated Products, Inc.",MXIM,1.51%
Booz Allen Hamilton Holding Corporation Class A,BAH,1.5%
"Facebook, Inc. Class A",FB,1.49%
"United Parcel Service, Inc. Class B",UPS,1.47%
"West Pharmaceutical Services, Inc.",WST,1.47%
Chemed Corporation,CHE,1.47%
"Alexion Pharmaceuticals, Inc.",ALXN,1.47%
"Applied Materials, Inc.",AMAT,1.45%
"Amazon.com, Inc.",AMZN,1.44%
MSCI Inc. Class A,MSCI,1.43%
Lululemon Athletica Inc,LULU,1.39%
Eli Lilly and Company,LLY,1.36%
Lam Research Corporation,LRCX,1.35%
"Regeneron Pharmaceuticals, Inc.",REGN,1.33%
"Amedisys, Inc.",AMED,1.32%
"EPAM Systems, Inc.",EPAM,1.32%
"Cable One, Inc.",CABO,1.31%
Veeva Systems Inc Class A,VEEV,1.31%
"Workday, Inc. Class A",WDAY,1.3%
NVIDIA Corporation,NVDA,1.29%
MarketAxess Holdings Inc.,MKTX,1.28%
"ABIOMED, Inc.",ABMD,1.27%
"Citrix Systems, Inc.",CTXS,1.24%
"Best Buy Co., Inc.",BBY,1.22%
KLA Corporation,KLAC,1.2%
Tesla Inc,TSLA,1.18%
"Teradyne, Inc.",TER,1.15%
"DexCom, Inc.",DXCM,1.09%
"CoStar Group, Inc.",CSGP,1.05%
"Paycom Software, Inc.",PAYC,1.04%
Tempur Sealy International Inc,TPX,1.0%
"Square, Inc. Class A",SQ,1.0%
"Arista Networks, Inc.",ANET,0.99%
"Monolithic Power Systems, Inc.",MPWR,0.98%
"Align Technology, Inc.",ALGN,0.91%
"Enphase Energy, Inc.",ENPH,0.84%
"Zoom Video Communications, Inc. Class A",ZM,0.82%
"Ceridian HCM Holding, Inc.",CDAY,0.78%
"NextEra Energy, Inc.",NEE,0.75%
"Etsy, Inc.",ETSY,0.75%
"Universal Health Services, Inc. Class B",UHS,0.71%
LPL Financial Holdings Inc.,LPLA,0.69%
"Trade Desk, Inc. Class A",TTD,0.66%
MUTUAL FUND (OTHER),Other,0.56%
"VMware, Inc. Class A",VMW,0.56%
"Floor & Decor Holdings, Inc. Class A",FND,0.52%
"Boston Beer Company, Inc. Class A",SAM,0.52%
"CBRE Group, Inc. Class A",CBRE,0.46%
Brunswick Corporation,BC,0.46%
"Williams-Sonoma, Inc.",WSM,0.42%
Monster Beverage Corporation,MNST,0.4%
"Wingstop, Inc.",WING,0.37%
Helen of Troy Limited,HELE,0.33%
"Waste Management, Inc.",WM,0.32%
Ollie\'s Bargain Outlet Holdings Inc,OLLI,0.3%
"Synopsys, Inc.",SNPS,0.28%
Apple Inc.,AAPL,0.27%
"PerkinElmer, Inc.",PKI,0.26%
"Entegris, Inc.",ENTG,0.25%
DaVita Inc.,DVA,0.25%
"Match Group, Inc.",MTCH,0.25%
Intuit Inc.,INTU,0.25%
Horizon Therapeutics Public Limited Company,HZNP,0.25%
"Qorvo, Inc.",QRVO,0.25%
Moody\'s Corporation,MCO,0.25%
"LHC Group, Inc.",LHCG,0.25%
"Advanced Micro Devices, Inc.",AMD,0.25%
ResMed Inc.,RMD,0.24%
Quidel Corporation,QDEL,0.24%
RPM International Inc.,RPM,0.24%
Hershey Company,HSY,0.24%
Microsoft Corporation,MSFT,0.24%
"Zoetis, Inc. Class A",ZTS,0.24%
Dollar General Corporation,DG,0.23%
"Domino\'s Pizza, Inc.",DPZ,0.23%
TopBuild Corp.,BLD,0.23%
Avery Dennison Corporation,AVY,0.23%
"S&P Global, Inc.",SPGI,0.23%
Alphabet Inc. Class C,GOOG,0.23%
"Old Dominion Freight Line, Inc.",ODFL,0.22%
"Qualys, Inc.",QLYS,0.15%
"SolarEdge Technologies, Inc.",SEDG,0.14%
"BlackLine, Inc.",BL,0.14%
"Five9, Inc.",FIVN,0.14%
"NetApp, Inc.",NTAP,0.14%
"Take-Two Interactive Software, Inc.",TTWO,0.14%
"SiteOne Landscape Supply, Inc.",SITE,0.14%
Electronic Arts Inc.,EA,0.14%
Ciena Corporation,CIEN,0.14%
Pool Corporation,POOL,0.13%
PTC Inc.,PTC,0.13%
"PRA Health Sciences, Inc.",PRAH,0.13%
"Netflix, Inc.",NFLX,0.13%
Atlassian Corp. Plc Class A,TEAM,0.13%
"Zendesk, Inc.",ZEN,0.13%
"Skyworks Solutions, Inc.",SWKS,0.13%
Catalent Inc,CTLT,0.13%
"Avantor, Inc.",AVTR,0.13%
Check Point Software Technologies Ltd.,CHKP,0.13%
Estee Lauder Companies Inc. Class A,EL,0.13%
"Trex Company, Inc.",TREX,0.13%
"J2 Global, Inc.",JCOM,0.13%
"Tradeweb Markets, Inc. Class A",TW,0.13%
"MKS Instruments, Inc.",MKSI,0.13%
Starbucks Corporation,SBUX,0.13%
"Charles River Laboratories International, Inc.",CRL,0.13%
Deckers Outdoor Corporation,DECK,0.13%
"Lamb Weston Holdings, Inc.",LW,0.13%
"Pure Storage, Inc. Class A",PSTG,0.13%
Thermo Fisher Scientific Inc.,TMO,0.12%
"Hologic, Inc.",HOLX,0.12%
"AbbVie, Inc.",ABBV,0.12%
Laboratory Corporation of America Holdings,LH,0.12%
"J.B. Hunt Transport Services, Inc.",JBHT,0.12%
Clorox Company,CLX,0.12%
"Raymond James Financial, Inc.",RJF,0.12%
Arthur J. Gallagher & Co.,AJG,0.12%
Fastenal Company,FAST,0.12%
Paylocity Holding Corp.,PCTY,0.12%
TransUnion,TRU,0.12%
Danaher Corporation,DHR,0.12%
Colgate-Palmolive Company,CL,0.12%
"Advance Auto Parts, Inc.",AAP,0.12%
Target Corporation,TGT,0.12%
"AutoZone, Inc.",AZO,0.12%
"Xilinx, Inc.",XLNX,0.12%
Repligen Corporation,RGEN,0.12%
"CoreLogic, Inc.",CLGX,0.12%
Fair Isaac Corporation,FICO,0.12%
