QLS: IQ Hedge Long/Short Tracker ETF
Inception Date: 2015-03-24
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	8984
Shares Outstanding: 350000
Expense Ratio: 0.67%
Tracks This Index: IQ Hedge Long/Short Index
ETFdb.com Category: Long-Short
Issuer: IndexIQ
Structure: ETF
ETF Home Page: https://etfdb.com/etf/QLS


Holding,Symbol,Weighting
Vanguard FTSE Developed Markets ETF,VEA,15.81%
iShares Core MSCI EAFE ETF,IEFA,15.07%
iShares iBoxx $ Investment Grade Corporate Bond ETF,LQD,7.07%
iShares MSCI EAFE Growth ETF,EFG,6.5%
Financial Select Sector SPDR Fund,XLF,5.72%
Invesco Senior Loan ETF,BKLN,5.12%
Vanguard Intermediate-Term Corporate Bond ETF,VCIT,5.05%
Vanguard Growth ETF,VUG,5.01%
IQ Ultra Short Duration ETF,ULTR,4.25%
iShares Preferred & Income Securities ETF,PFF,3.23%
Vanguard Small-Cap Growth ETF,VBK,2.88%
Goldman Sachs Access Treasury 0-1 Year ETF,GBIL,2.85%
iShares 20+ Year Treasury Bond ETF,TLT,2.68%
iShares Russell 2000 Growth ETF,IWO,2.42%
Health Care Select Sector SPDR Fund,XLV,2.42%
SPDR Blackstone / GSO Senior Loan ETF,SRLN,2.3%
Dreyfus Institutional Reserves Money Fund Institutional,DSVXX,2.08%
iPath Series B S&P 500 VIX Short-Term Futures ETN,VXX,1.21%
Invesco Preferred ETF,PGX,1.14%
iShares S&P Small-Cap 600 Growth ETF,IJT,1.07%
Invesco Treasury Collateral ETf,CLTL,1.03%
Schwab U.S. Large-Cap Growth ETF,SCHG,0.99%
iShares Core S&P U.S. Growth ETF,IUSG,0.76%
iShares Broad USD Investment Grade Corporate Bond ETF,USIG,0.72%
iShares Short Treasury Bond ETF,SHV,0.72%
SPDR Portfolio S&P 500 Growth ETF,SPYG,0.7%
SPDR Portfolio Long Term Treasury ETF,SPTL,0.41%
Vanguard Russell 1000 Growth ETF,VONG,0.4%
Vanguard Long-Term Treasury ETF,VGLT,0.36%
U.S. Dollar,Other,0.03%
