QQQM: Invesco NASDAQ 100 ETF (QQQM)
Inception Date: 2020-10-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	303564
Shares Outstanding: 2390000
Expense Ratio: 0.15%
Tracks This Index: NASDAQ-100 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/QQQM


Holding,Symbol,Weighting
Apple Inc.,AAPL,12.14%
Microsoft Corporation,MSFT,9.08%
"Amazon.com, Inc.",AMZN,8.83%
Tesla Inc,TSLA,4.73%
"Facebook, Inc. Class A",FB,3.57%
Alphabet Inc. Class C,GOOG,3.15%
Alphabet Inc. Class A,GOOGL,2.87%
NVIDIA Corporation,NVDA,2.73%
PayPal Holdings Inc,PYPL,2.28%
Adobe Inc.,ADBE,1.96%
"Netflix, Inc.",NFLX,1.94%
Comcast Corporation Class A,CMCSA,1.94%
Intel Corporation,INTC,1.71%
"PepsiCo, Inc.",PEP,1.67%
"Cisco Systems, Inc.",CSCO,1.56%
Broadcom Inc.,AVGO,1.45%
Costco Wholesale Corporation,COST,1.41%
Qualcomm Inc,QCOM,1.41%
"T-Mobile US, Inc.",TMUS,1.38%
Texas Instruments Incorporated,TXN,1.25%
Amgen Inc.,AMGN,1.11%
"Charter Communications, Inc. Class A",CHTR,1.09%
Starbucks Corporation,SBUX,1.02%
"Advanced Micro Devices, Inc.",AMD,0.93%
Intuit Inc.,INTU,0.82%
"Intuitive Surgical, Inc.",ISRG,0.78%
Booking Holdings Inc.,BKNG,0.75%
"Mondelez International, Inc. Class A",MDLZ,0.7%
"MercadoLibre, Inc.",MELI,0.69%
"Micron Technology, Inc.",MU,0.69%
"Applied Materials, Inc.",AMAT,0.67%
"JD.com, Inc. Sponsored ADR Class A",JD,0.63%
"Gilead Sciences, Inc.",GILD,0.63%
"Fiserv, Inc.",FISV,0.63%
"Automatic Data Processing, Inc.",ADP,0.61%
"Zoom Video Communications, Inc. Class A",ZM,0.59%
"Activision Blizzard, Inc.",ATVI,0.58%
Lam Research Corporation,LRCX,0.58%
CSX Corporation,CSX,0.56%
"Autodesk, Inc.",ADSK,0.55%
"Baidu, Inc. Sponsored ADR Class A",BIDU,0.5%
Vertex Pharmaceuticals Incorporated,VRTX,0.5%
"Analog Devices, Inc.",ADI,0.45%
"Illumina, Inc.",ILMN,0.45%
"Regeneron Pharmaceuticals, Inc.",REGN,0.43%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.42%
Monster Beverage Corporation,MNST,0.4%
NXP Semiconductors NV,NXPI,0.38%
Lululemon Athletica Inc,LULU,0.38%
Keurig Dr Pepper Inc.,KDP,0.37%
"Moderna, Inc.",MRNA,0.37%
Cognizant Technology Solutions Corporation Class A,CTSH,0.36%
"Align Technology, Inc.",ALGN,0.35%
"Ross Stores, Inc.",ROST,0.35%
"Workday, Inc. Class A",WDAY,0.35%
"IDEXX Laboratories, Inc.",IDXX,0.35%
Kraft Heinz Company,KHC,0.35%
"DocuSign, Inc.",DOCU,0.35%
KLA Corporation,KLAC,0.34%
"American Electric Power Company, Inc.",AEP,0.34%
"Match Group, Inc.",MTCH,0.34%
"Marriott International, Inc. Class A",MAR,0.34%
Exelon Corporation,EXC,0.34%
Electronic Arts Inc.,EA,0.34%
"Synopsys, Inc.",SNPS,0.33%
ASML Holding NV ADR,ASML,0.32%
Biogen Inc.,BIIB,0.32%
"Cadence Design Systems, Inc.",CDNS,0.32%
"Peloton Interactive, Inc. Class A",PTON,0.31%
Cintas Corporation,CTAS,0.3%
Walgreens Boots Alliance Inc,WBA,0.3%
Microchip Technology Incorporated,MCHP,0.3%
eBay Inc.,EBAY,0.3%
"DexCom, Inc.",DXCM,0.29%
"Xilinx, Inc.",XLNX,0.29%
Xcel Energy Inc.,XEL,0.29%
"Alexion Pharmaceuticals, Inc.",ALXN,0.29%
Verisk Analytics Inc,VRSK,0.28%
"NetEase, Inc. Sponsored ADR",NTES,0.27%
"Paychex, Inc.",PAYX,0.27%
"O\'Reilly Automotive, Inc.",ORLY,0.27%
Atlassian Corp. Plc Class A,TEAM,0.26%
"ANSYS, Inc.",ANSS,0.26%
Marvell Technology Group Ltd.,MRVL,0.26%
"Seagen, Inc.",SGEN,0.26%
PACCAR Inc,PCAR,0.25%
"Okta, Inc. Class A",OKTA,0.25%
"Copart, Inc.",CPRT,0.24%
Fastenal Company,FAST,0.23%
"Sirius XM Holdings, Inc.",SIRI,0.22%
Splunk Inc.,SPLK,0.22%
"Skyworks Solutions, Inc.",SWKS,0.21%
"Dollar Tree, Inc.",DLTR,0.21%
"VeriSign, Inc.",VRSN,0.21%
"Maxim Integrated Products, Inc.",MXIM,0.2%
Cerner Corporation,CERN,0.2%
Incyte Corporation,INCY,0.16%
Trip.com Group Ltd. Sponsored ADR,TCOM,0.15%
Check Point Software Technologies Ltd.,CHKP,0.15%
CDW Corp.,CDW,0.15%
Fox Corporation Class A,FOXA,0.08%
Fox Corporation Class B,FOX,0.06%
U.S. Dollar,Other,-0.08%
