QVM: Arrow QVM Equity Factor ETF
Inception Date: 2015-02-27
Fund Holdings as of: 2020-11-06
Total Assets Under Management (in thousands):	5115
Shares Outstanding: 250000
Expense Ratio: 0.65%
Tracks This Index: A.I. Quality Value Momentum Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: ArrowShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/QVM


Holding,Symbol,Weighting
U.S. Dollar,Other,89.36%
"Home Depot, Inc.",HD,0.48%
UnitedHealth Group Incorporated,UNH,0.43%
"salesforce.com, inc.",CRM,0.32%
Amgen Inc.,AMGN,0.29%
Microsoft Corporation,MSFT,0.28%
Apple Inc.,AAPL,0.27%
McDonald\'s Corporation,MCD,0.27%
"Goldman Sachs Group, Inc.",GS,0.25%
Visa Inc. Class A,V,0.25%
JPMorgan Chase & Co.,JPM,0.23%
Honeywell International Inc.,HON,0.23%
3M Company,MMM,0.2%
Caterpillar Inc.,CAT,0.2%
Boeing Company,BA,0.19%
Walmart Inc.,WMT,0.18%
Johnson & Johnson,JNJ,0.18%
Procter & Gamble Company,PG,0.18%
"Travelers Companies, Inc.",TRV,0.16%
Walt Disney Company,DIS,0.16%
"NIKE, Inc. Class B",NKE,0.16%
Target Corporation,TGT,0.15%
Cummins Inc.,CMI,0.14%
Lam Research Corporation,LRCX,0.14%
International Business Machines Corporation,IBM,0.14%
"Best Buy Co., Inc.",BBY,0.14%
"Williams-Sonoma, Inc.",WSM,0.13%
Lockheed Martin Corporation,LMT,0.13%
Seagate Technology PLC,STX,0.13%
"Lithia Motors, Inc. Class A",LAD,0.13%
CDW Corp.,CDW,0.13%
ManpowerGroup Inc.,MAN,0.12%
Gentex Corporation,GNTX,0.12%
Northrop Grumman Corporation,NOC,0.12%
American Express Company,AXP,0.12%
"Patrick Industries, Inc.",PATK,0.12%
Celanese Corporation,CE,0.12%
Whirlpool Corporation,WHR,0.11%
"Penske Automotive Group, Inc.",PAG,0.11%
Magna International Inc.,MG,0.11%
Triton International Ltd. Class A,TRTN,0.11%
Eaton Vance Corp.,EV,0.11%
ACCO Brands Corporation,ACCO,0.11%
Royal Bank of Canada,RY,0.11%
Reliance Steel & Aluminum Co.,RS,0.11%
T. Rowe Price Group,TROW,0.11%
Omnicom Group Inc,OMC,0.1%
"Carter\'s, Inc.",CRI,0.1%
Bank of Hawaii Corporation,BOH,0.1%
Huntington Bancshares Incorporated,HBAN,0.1%
LyondellBasell Industries NV,LYB,0.1%
Oshkosh Corp,OSK,0.1%
Western Union Company,WU,0.1%
"Merck & Co., Inc.",MRK,0.1%
"Ameriprise Financial, Inc.",AMP,0.1%
Bank of Nova Scotia,BNS,0.1%
U.S. Bancorp,USB,0.1%
iStar Inc.,STAR,0.09%
"Dick\'s Sporting Goods, Inc.",DKS,0.09%
KeyCorp,KEY,0.09%
Western Alliance Bancorp,WAL,0.09%
Wells Fargo & Company,WFC,0.09%
"Citizens Financial Group, Inc.",CFG,0.09%
Chevron Corporation,CVX,0.09%
LPL Financial Holdings Inc.,LPLA,0.08%
Navient Corp,NAVI,0.08%
"Santander Consumer USA Holdings, Inc.",SC,0.08%
Discover Financial Services,DFS,0.08%
"Wyndham Destinations, Inc.",WYND,0.08%
Synchrony Financial,SYF,0.08%
Verizon Communications Inc.,VZ,0.07%
Xerox Holdings Corporation,XRX,0.07%
"Group 1 Automotive, Inc.",GPI,0.07%
"Dow, Inc.",DOW,0.06%
Coca-Cola Company,KO,0.06%
Intel Corporation,INTC,0.06%
"Cisco Systems, Inc.",CSCO,0.05%
Walgreens Boots Alliance Inc,WBA,0.05%
