RBIN: Nationwide Risk-Based International Equity ETF
Inception Date: 2017-09-15
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	120428
Shares Outstanding: 4400000
Expense Ratio: 0.42%
Tracks This Index: R Risk-Based International Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Nationwide
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RBIN


Holding,Symbol,Weighting
"NEXON Co., Ltd.",3659,1.56%
Jardine Matheson Holdings Limited,J36,1.38%
SoftBank Corp.,9434,1.14%
"Chugai Pharmaceutical Co., Ltd.",4519,1.0%
Shimano Inc.,7309,0.88%
Nippon Telegraph and Telephone Corporation,9432,0.82%
"SG Holdings Co., Ltd.",9143,0.82%
"Meiji Holdings Co., Ltd.",2269,0.82%
"Nintendo Co., Ltd.",7974,0.8%
China Construction Bank Corporation Class H,939,0.76%
Etablissementen Franz Colruyt N.V.,COLR,0.74%
Bank of China Limited Class H,3988,0.73%
Japan Tobacco Inc.,2914,0.73%
"Japan Exchange Group, Inc.",8697,0.72%
Agricultural Bank of China Limited Class H,1288,0.72%
"TOKYO GAS Co., Ltd.",9531,0.72%
Coloplast A/S Class B,COLO.B,0.71%
"Ajinomoto Co., Inc.",2802,0.7%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,0.68%
KDDI Corporation,9433,0.68%
"Nitori Holdings Co., Ltd.",9843,0.67%
"MS&AD Insurance Group Holdings, Inc.",8725,0.67%
FUJIFILM Holdings Corp,4901,0.67%
Ambu A/S Class B,AMBU.B,0.66%
"Murata Manufacturing Co., Ltd.",6981,0.65%
"Oriental Land Co., Ltd.",4661,0.64%
"Odakyu Electric Railway Co., Ltd.",9007,0.64%
"Chubu Electric Power Company,Incorporated",9502,0.63%
Unicharm Corporation,8113,0.62%
Pan Pacific International Holdings Corporation,7532,0.62%
"Sekisui House, Ltd.",1928,0.62%
Singapore Telecommunications Limited,Z74,0.61%
East Japan Railway Company,9020,0.6%
"Kirin Holdings Company, Limited Sponsored ADR",KNBWY,0.59%
HOYA CORPORATION,7741,0.59%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.58%
Singapore Exchange Ltd.,S68,0.58%
Sysmex Corporation,6869,0.58%
China Petroleum & Chemical Corporation Class H,386,0.57%
"M3, Inc.",2413,0.57%
Itochu Corporation,8001,0.57%
Sony Corporation,6758,0.57%
"Tokio Marine Holdings, Inc.",8766,0.57%
West Japan Railway Company Unsponsored ADR,WJRYY,0.56%
Keyence Corporation,6861,0.56%
