RDOG: ALPS REIT Dividend Dogs ETF
Inception Date: 2008-05-07
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	25915
Shares Outstanding: 650000
Expense Ratio: 0.35%
Tracks This Index: S-Network REIT Dividend Dogs Index
ETFdb.com Category: Real Estate
Issuer: ALPS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RDOG


Holding,Symbol,Weighting
"Plymouth Industrial REIT, Inc.",PLYM,2.75%
Brookfield Property REIT Inc Class A,BPYU,2.72%
Monmouth Real Estate Investment Corporation Class A,MNR,2.69%
"CyrusOne, Inc.",CONE,2.59%
"Clipper Realty, Inc.",CLPR,2.58%
"QTS Realty Trust, Inc. Class A",QTS,2.58%
"Digital Realty Trust, Inc.",DLR,2.55%
CoreSite Realty Corporation,COR,2.51%
"Medical Properties Trust, Inc.",MPW,2.47%
"Essential Properties Realty Trust, Inc.",EPRT,2.47%
National Storage Affiliates Trust,NSA,2.46%
Brandywine Realty Trust,BDN,2.46%
"STAG Industrial, Inc.",STAG,2.45%
"American Finance Trust, Inc.",AFIN,2.44%
BRT Apartments Corp,BRT,2.44%
"National Health Investors, Inc.",NHI,2.44%
Industrial Logistics Properties Trust,ILPT,2.43%
STORE Capital Corporation,STOR,2.42%
W. P. Carey Inc.,WPC,2.42%
Crown Castle International Corp,CCI,2.41%
CubeSmart,CUBE,2.41%
"Four Corners Property Trust, Inc.",FCPT,2.41%
"LTC Properties, Inc.",LTC,2.4%
"City Office REIT, Inc.",CIO,2.4%
Equity Residential,EQR,2.39%
SL Green Realty Corp.,SLG,2.37%
"Sabra Health Care REIT, Inc.",SBRA,2.36%
Centerspace,CSR,2.36%
VICI Properties Inc,VICI,2.36%
Lexington Realty Trust,LXP,2.35%
"Gaming and Leisure Properties, Inc.",GLPI,2.34%
"American Campus Communities, Inc.",ACC,2.34%
Office Properties Income Trust,OPI,2.33%
"Spirit Realty Capital, Inc.",SRC,2.32%
"Saul Centers, Inc.",BFS,2.32%
"One Liberty Properties, Inc.",OLP,2.29%
Physicians Realty Trust,DOC,2.28%
Washington Real Estate Investment Trust,WRE,2.27%
Macerich Company,MAC,2.25%
Service Properties Trust,SVC,2.25%
Franklin Street Properties Corp.,FSP,2.19%
U.S. Dollar,Other,0.63%
STATE STR INSTL INVT TR TREA PLUS INST,TPIXX,0.1%
