REET: iShares Global REIT ETF
Inception Date: 2014-07-08
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	2394820
Shares Outstanding: 102900000
Expense Ratio: 0.14%
Tracks This Index: FTSE EPRA/NAREIT Global REIT Index 
ETFdb.com Category: Global Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/REET


Holding,Symbol,Weighting
"Prologis, Inc.",PLD,5.78%
"Digital Realty Trust, Inc.",DLR,3.06%
Public Storage,PSA,2.74%
"Simon Property Group, Inc.",SPG,2.17%
"Welltower, Inc.",WELL,2.12%
"Alexandria Real Estate Equities, Inc.",ARE,1.88%
"AvalonBay Communities, Inc.",AVB,1.78%
Realty Income Corporation,O,1.72%
Equity Residential,EQR,1.71%
Link Real Estate Investment Trust,823,1.48%
"Ventas, Inc.",VTR,1.44%
"Invitation Homes, Inc.",INVH,1.31%
"Healthpeak Properties, Inc.",PEAK,1.28%
"Sun Communities, Inc.",SUI,1.26%
SEGRO plc,SGRO,1.22%
"Essex Property Trust, Inc.",ESS,1.22%
Duke Realty Corporation,DRE,1.16%
"Boston Properties, Inc.",BXP,1.16%
Extra Space Storage Inc.,EXR,1.15%
"Mid-America Apartment Communities, Inc.",MAA,1.13%
VICI Properties Inc,VICI,1.07%
W. P. Carey Inc.,WPC,0.97%
"Medical Properties Trust, Inc.",MPW,0.91%
"UDR, Inc.",UDR,0.88%
Scentre Group,SCG,0.88%
"Equity LifeStyle Properties, Inc.",ELS,0.87%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.84%
"Host Hotels & Resorts, Inc.",HST,0.8%
Camden Property Trust,CPT,0.74%
"Gaming and Leisure Properties, Inc.",GLPI,0.73%
"CyrusOne, Inc.",CONE,0.69%
"Nippon Building Fund, Inc.",8951,0.67%
"VEREIT, Inc.",VER,0.65%
STORE Capital Corporation,STOR,0.64%
"Omega Healthcare Investors, Inc.",OHI,0.64%
American Homes 4 Rent Class A,AMH,0.64%
Gecina SA,GFC,0.63%
Mirvac Group,MGR,0.63%
Dexus,DXS,0.62%
Stockland,SGP,0.61%
