RESP: WisdomTree U.S. ESG Fund
Inception Date: 2007-02-23
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	82714
Shares Outstanding: 2050000
Expense Ratio: 0.28%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RESP


Holding,Symbol,Weighting
Apple Inc.,AAPL,5.59%
Microsoft Corporation,MSFT,4.31%
Alphabet Inc. Class A,GOOGL,3.28%
"Amazon.com, Inc.",AMZN,3.19%
"Facebook, Inc. Class A",FB,2.2%
Visa Inc. Class A,V,1.37%
Tesla Inc,TSLA,1.16%
NVIDIA Corporation,NVDA,0.98%
Citigroup Inc.,C,0.98%
Johnson & Johnson,JNJ,0.9%
Verizon Communications Inc.,VZ,0.87%
Procter & Gamble Company,PG,0.86%
Morgan Stanley,MS,0.84%
PayPal Holdings Inc,PYPL,0.83%
Comcast Corporation Class A,CMCSA,0.81%
Adobe Inc.,ADBE,0.78%
"salesforce.com, inc.",CRM,0.75%
UnitedHealth Group Incorporated,UNH,0.74%
Intel Corporation,INTC,0.73%
"Goldman Sachs Group, Inc.",GS,0.73%
"S&P Global, Inc.",SPGI,0.73%
"Home Depot, Inc.",HD,0.72%
Oracle Corporation,ORCL,0.71%
AT&T Inc.,T,0.71%
"Cisco Systems, Inc.",CSCO,0.7%
Charles Schwab Corporation,SCHW,0.67%
Coca-Cola Company,KO,0.65%
"United Parcel Service, Inc. Class B",UPS,0.65%
"Netflix, Inc.",NFLX,0.61%
Progressive Corporation,PGR,0.61%
Qualcomm Inc,QCOM,0.6%
"PepsiCo, Inc.",PEP,0.58%
"NIKE, Inc. Class B",NKE,0.57%
Allstate Corporation,ALL,0.55%
"MetLife, Inc.",MET,0.54%
"Marsh & McLennan Companies, Inc.",MMC,0.54%
Caterpillar Inc.,CAT,0.53%
Abbott Laboratories,ABT,0.53%
International Business Machines Corporation,IBM,0.52%
Aflac Incorporated,AFL,0.52%
"AbbVie, Inc.",ABBV,0.51%
Thermo Fisher Scientific Inc.,TMO,0.5%
"Travelers Companies, Inc.",TRV,0.49%
"Hartford Financial Services Group, Inc.",HIG,0.49%
Sempra Energy,SRE,0.48%
3M Company,MMM,0.47%
Intuit Inc.,INTU,0.47%
McDonald\'s Corporation,MCD,0.47%
"Automatic Data Processing, Inc.",ADP,0.46%
Pfizer Inc.,PFE,0.46%
Eli Lilly and Company,LLY,0.45%
"American Water Works Company, Inc.",AWK,0.45%
"Advanced Micro Devices, Inc.",AMD,0.45%
"Ameriprise Financial, Inc.",AMP,0.45%
CSX Corporation,CSX,0.44%
"Applied Materials, Inc.",AMAT,0.44%
"Autodesk, Inc.",ADSK,0.43%
"Lowe\'s Companies, Inc.",LOW,0.42%
Deere & Company,DE,0.42%
Bristol-Myers Squibb Company,BMY,0.42%
Eversource Energy,ES,0.42%
Amgen Inc.,AMGN,0.41%
"Merck & Co., Inc.",MRK,0.41%
Target Corporation,TGT,0.4%
Edison International,EIX,0.4%
PG&E Corporation,PCG,0.39%
"VMware, Inc. Class A",VMW,0.39%
"Charter Communications, Inc. Class A",CHTR,0.39%
Sherwin-Williams Company,SHW,0.37%
HP Inc.,HPQ,0.37%
Lam Research Corporation,LRCX,0.37%
"W.W. Grainger, Inc.",GWW,0.36%
"Workday, Inc. Class A",WDAY,0.36%
"ServiceNow, Inc.",NOW,0.36%
FedEx Corporation,FDX,0.35%
Colgate-Palmolive Company,CL,0.34%
"CBRE Group, Inc. Class A",CBRE,0.34%
"Consolidated Edison, Inc.",ED,0.34%
"Morningstar, Inc.",MORN,0.33%
"Rockwell Automation, Inc.",ROK,0.33%
Electronic Arts Inc.,EA,0.33%
"Nasdaq, Inc.",NDAQ,0.33%
"Becton, Dickinson and Company",BDX,0.32%
"Avangrid, Inc.",AGR,0.31%
Hewlett Packard Enterprise Co.,HPE,0.31%
"Gilead Sciences, Inc.",GILD,0.31%
"Motorola Solutions, Inc.",MSI,0.31%
General Motors Company,GM,0.31%
Keurig Dr Pepper Inc.,KDP,0.3%
Keysight Technologies Inc,KEYS,0.3%
"Leidos Holdings, Inc.",LDOS,0.3%
Edwards Lifesciences Corporation,EW,0.3%
Newmont Corporation,NEM,0.29%
"First Solar, Inc.",FSLR,0.29%
"Agilent Technologies, Inc.",A,0.29%
CVS Health Corporation,CVS,0.29%
Cigna Corporation,CI,0.29%
Cognizant Technology Solutions Corporation Class A,CTSH,0.29%
AGCO Corporation,AGCO,0.29%
"Aptargroup, Inc.",ATR,0.28%
First American Financial Corporation,FAF,0.28%
"Assurant, Inc.",AIZ,0.28%
"General Mills, Inc.",GIS,0.28%
Kimberly-Clark Corporation,KMB,0.27%
Public Storage,PSA,0.27%
KLA Corporation,KLAC,0.27%
Masco Corporation,MAS,0.27%
Owens Corning,OC,0.27%
"Simon Property Group, Inc.",SPG,0.27%
Hershey Company,HSY,0.27%
"Anthem, Inc.",ANTM,0.27%
"United Rentals, Inc.",URI,0.27%
U.S. Dollar,Other,0.26%
Clorox Company,CLX,0.26%
"Synopsys, Inc.",SNPS,0.26%
Arthur J. Gallagher & Co.,AJG,0.26%
"Teradyne, Inc.",TER,0.26%
"NetApp, Inc.",NTAP,0.26%
"Stanley Black & Decker, Inc.",SWK,0.26%
"Reinsurance Group of America, Incorporated",RGA,0.26%
Jones Lang LaSalle Incorporated,JLL,0.26%
Boston Scientific Corporation,BSX,0.26%
"Best Buy Co., Inc.",BBY,0.26%
Kellogg Company,K,0.25%
"Activision Blizzard, Inc.",ATVI,0.25%
Scotts Miracle-Gro Company Class A,SMG,0.25%
"Boston Properties, Inc.",BXP,0.25%
"McCormick & Company, Incorporated",MKC,0.25%
Humana Inc.,HUM,0.25%
First Horizon Corporation,FHN,0.25%
"Arrow Electronics, Inc.",ARW,0.25%
ManpowerGroup Inc.,MAN,0.24%
"Lincoln Electric Holdings, Inc.",LECO,0.24%
Campbell Soup Company,CPB,0.24%
"Iron Mountain, Inc.",IRM,0.24%
Mettler-Toledo International Inc.,MTD,0.24%
Baxter International Inc.,BAX,0.24%
eBay Inc.,EBAY,0.24%
Hormel Foods Corporation,HRL,0.23%
Kansas City Southern,KSU,0.23%
Tiffany & Co.,TIF,0.23%
"Hasbro, Inc.",HAS,0.23%
Biogen Inc.,BIIB,0.23%
"Nuance Communications, Inc.",NUAN,0.23%
Booz Allen Hamilton Holding Corporation Class A,BAH,0.23%
"Republic Services, Inc.",RSG,0.23%
"Etsy, Inc.",ETSY,0.23%
"Akamai Technologies, Inc.",AKAM,0.23%
"Regeneron Pharmaceuticals, Inc.",REGN,0.23%
