RFFC: RiverFront Dynamic US Flex-Cap ETF
Inception Date: 2016-06-07
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	69768
Shares Outstanding: 1800000
Expense Ratio: 0.52%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: ALPS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RFFC


Holding,Symbol,Weighting
Apple Inc.,AAPL,5.62%
Microsoft Corporation,MSFT,5.05%
"Amazon.com, Inc.",AMZN,3.57%
Visa Inc. Class A,V,1.76%
UnitedHealth Group Incorporated,UNH,1.62%
Mastercard Incorporated Class A,MA,1.57%
PayPal Holdings Inc,PYPL,1.52%
Procter & Gamble Company,PG,1.51%
"Enphase Energy, Inc.",ENPH,1.35%
Verizon Communications Inc.,VZ,1.3%
Coca-Cola Company,KO,1.27%
Progressive Corporation,PGR,1.26%
Walmart Inc.,WMT,1.25%
Intel Corporation,INTC,1.25%
Adobe Inc.,ADBE,1.24%
"Facebook, Inc. Class A",FB,1.19%
"Merck & Co., Inc.",MRK,1.18%
Eli Lilly and Company,LLY,1.15%
"salesforce.com, inc.",CRM,1.15%
Oracle Corporation,ORCL,1.12%
"Alexion Pharmaceuticals, Inc.",ALXN,1.12%
Target Corporation,TGT,1.11%
"BlackRock, Inc.",BLK,1.11%
"Prologis, Inc.",PLD,1.05%
"United Parcel Service, Inc. Class B",UPS,1.05%
"Zoetis, Inc. Class A",ZTS,1.03%
"Advanced Micro Devices, Inc.",AMD,1.02%
"Monolithic Power Systems, Inc.",MPWR,1.02%
Broadcom Inc.,AVGO,1.01%
Comcast Corporation Class A,CMCSA,1.01%
"Lowe\'s Companies, Inc.",LOW,0.99%
"Square, Inc. Class A",SQ,0.99%
3M Company,MMM,0.98%
"Pacific Biosciences of California, Inc.",PACB,0.98%
Zebra Technologies Corporation Class A,ZBRA,0.97%
Colgate-Palmolive Company,CL,0.97%
"Anthem, Inc.",ANTM,0.97%
"Mondelez International, Inc. Class A",MDLZ,0.94%
"Ameriprise Financial, Inc.",AMP,0.89%
"Power Integrations, Inc.",POWI,0.87%
Graco Inc.,GGG,0.86%
"S&P Global, Inc.",SPGI,0.84%
"Entegris, Inc.",ENTG,0.81%
Lockheed Martin Corporation,LMT,0.81%
"Trupanion, Inc.",TRUP,0.8%
Cintas Corporation,CTAS,0.8%
Brown-Forman Corporation Class A,BF.A,0.77%
"EPAM Systems, Inc.",EPAM,0.76%
FMC Corporation,FMC,0.75%
Vertex Pharmaceuticals Incorporated,VRTX,0.75%
"Domino\'s Pizza, Inc.",DPZ,0.74%
Entergy Corporation,ETR,0.74%
Boston Scientific Corporation,BSX,0.74%
"NeoGenomics, Inc.",NEO,0.73%
Knowles Corp.,KN,0.72%
Northrop Grumman Corporation,NOC,0.72%
"Rollins, Inc.",ROL,0.72%
QAD Inc. Class A,QADA,0.71%
"Chegg, Inc.",CHGG,0.71%
New York Times Company Class A,NYT,0.7%
Mercury General Corporation,MCY,0.69%
"VMware, Inc. Class A",VMW,0.68%
"Williams-Sonoma, Inc.",WSM,0.67%
"Sirius XM Holdings, Inc.",SIRI,0.67%
Vector Group Ltd.,VGR,0.64%
"PulteGroup, Inc.",PHM,0.62%
Alphabet Inc. Class A,GOOGL,0.62%
Quidel Corporation,QDEL,0.62%
"Exelixis, Inc.",EXEL,0.62%
O-I Glass Inc,OI,0.6%
Cognizant Technology Solutions Corporation Class A,CTSH,0.6%
NCR Corporation,NCR,0.59%
First Commonwealth Financial Corporation,FCF,0.59%
National General Holdings Corp.,NGHC,0.59%
"Provident Financial Services, Inc.",PFS,0.59%
Alphabet Inc. Class C,GOOG,0.59%
"Piedmont Office Realty Trust, Inc. Class A",PDM,0.58%
Kearny Financial Corp.,KRNY,0.58%
Fastenal Company,FAST,0.57%
STAAR Surgical Company,STAA,0.56%
"Sonic Automotive, Inc. Class A",SAH,0.56%
Vulcan Materials Company,VMC,0.55%
"Kennedy-Wilson Holdings, Inc.",KW,0.54%
HMS Holdings Corp.,HMSY,0.53%
"CoreCivic, Inc.",CXW,0.53%
"Allison Transmission Holdings, Inc.",ALSN,0.53%
Eastman Chemical Company,EMN,0.53%
Gogo Inc.,GOGO,0.53%
"Expeditors International of Washington, Inc.",EXPD,0.53%
Axalta Coating Systems Ltd.,AXTA,0.53%
Perrigo Co. Plc,PRGO,0.52%
"RadNet, Inc.",RDNT,0.52%
Trustmark Corporation,TRMK,0.51%
"Hope Bancorp, Inc.",HOPE,0.5%
CubeSmart,CUBE,0.49%
Weingarten Realty Investors,WRI,0.49%
Wendy\'s Company,WEN,0.49%
Packaging Corporation of America,PKG,0.48%
Hubbell Incorporated Class B,HUBB,0.48%
Vicor Corporation,VICR,0.48%
Apartment Income REIT Corp,AIRC,0.46%
"Douglas Emmett, Inc",DEI,0.45%
CACI International Inc Class A,CACI,0.45%
Cabot Oil & Gas Corporation,COG,0.45%
Hanesbrands Inc.,HBI,0.44%
WestRock Company,WRK,0.44%
Adtalem Global Education Inc.,ATGE,0.44%
OceanFirst Financial Corp.,OCFC,0.42%
NewMarket Corporation,NEU,0.4%
Steelcase Inc. Class A,SCS,0.4%
Johnson & Johnson,JNJ,0.38%
"Sprouts Farmers Markets, Inc.",SFM,0.37%
Berkshire Hathaway Inc. Class B,BRK.B,0.36%
Apartment Investment & Management Co Class A,AIV,0.06%
U.S. Dollar,Other,-0.33%
