RHS: Invesco S&P 500® Equal Weight Consumer Staples ETF
Inception Date: 2006-11-07
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	490513
Shares Outstanding: 3270000
Expense Ratio: 0.4%
Tracks This Index: S&P Equal Weight Index Consumer Staples
ETFdb.com Category: Consumer Staples Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RHS


Holding,Symbol,Weighting
"Constellation Brands, Inc. Class A",STZ,3.31%
Estee Lauder Companies Inc. Class A,EL,3.25%
Monster Beverage Corporation,MNST,3.23%
Campbell Soup Company,CPB,3.22%
Kroger Co.,KR,3.21%
Brown-Forman Corporation Class B,BF.B,3.2%
"Conagra Brands, Inc.",CAG,3.19%
Costco Wholesale Corporation,COST,3.18%
Hershey Company,HSY,3.17%
"Mondelez International, Inc. Class A",MDLZ,3.16%
Procter & Gamble Company,PG,3.16%
"Church & Dwight Co., Inc.",CHD,3.16%
J.M. Smucker Company,SJM,3.15%
"McCormick & Company, Incorporated",MKC,3.15%
Kraft Heinz Company,KHC,3.15%
Archer-Daniels-Midland Company,ADM,3.14%
Walmart Inc.,WMT,3.12%
Colgate-Palmolive Company,CL,3.12%
"PepsiCo, Inc.",PEP,3.12%
"General Mills, Inc.",GIS,3.12%
Walgreens Boots Alliance Inc,WBA,3.12%
Clorox Company,CLX,3.11%
Coca-Cola Company,KO,3.1%
Kellogg Company,K,3.1%
Hormel Foods Corporation,HRL,3.08%
Kimberly-Clark Corporation,KMB,3.07%
"Lamb Weston Holdings, Inc.",LW,3.07%
Molson Coors Beverage Company Class B,TAP,3.03%
Philip Morris International Inc.,PM,3.01%
Sysco Corporation,SYY,2.99%
Altria Group Inc,MO,2.98%
"Tyson Foods, Inc. Class A",TSN,2.87%
U.S. Dollar,Other,-0.06%
