RING: iShares MSCI Global Gold Miners ETF
Inception Date: 2012-01-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	521043
Shares Outstanding: 16250000
Expense Ratio: 0.39%
Tracks This Index: MSCI ACWI Select Gold Miners Investable Market Index
ETFdb.com Category: Materials
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RING


Holding,Symbol,Weighting
Newmont Corporation,NEM,19.11%
Barrick Gold Corporation,ABX,16.09%
Wheaton Precious Metals Corp,WPM,7.25%
Agnico Eagle Mines Limited,AEM,4.54%
Newcrest Mining Limited,NCM,4.17%
Sibanye Stillwater Limited,SSW,4.06%
Kirkland Lake Gold Ltd.,KL,4.03%
Kinross Gold Corporation,K,3.95%
AngloGold Ashanti Limited,ANG,3.84%
Gold Fields Limited,GFI,3.57%
B2Gold Corp.,BTO,2.61%
Yamana Gold Inc.,YRI,2.47%
Polymetal International Plc,POLY,2.33%
SSR Mining Inc,SSRM,2.07%
Alamos Gold Inc.,AGI,1.65%
Endeavour Mining Corporation,EDV,1.48%
Harmony Gold Mining Co. Ltd.,HAR,1.35%
Centerra Gold Inc.,CG,1.34%
Compania de Minas Buenaventura SAA Sponsored ADR,BVN,1.26%
"Coeur Mining, Inc.",CDE,1.26%
Eldorado Gold Corporation,ELD,1.22%
Centamin plc,CEY,1.01%
IAMGOLD Corporation,IMG,0.98%
New Gold Inc.,NGD,0.92%
Torex Gold Resources Inc.,TXG,0.82%
St. Barbara Ltd.,SBM,0.77%
PT Aneka Tambang Tbk,ANTM,0.74%
Westgold Resources Ltd,WGX,0.63%
Equinox Gold Corp.,EQX,0.62%
Wesdome Gold Mines Ltd.,WDO,0.61%
Koza Altin Isletmeleri A.S.,KOZAL,0.56%
Pretium Resources Inc.,PVG,0.49%
Premier Gold Mines Limited,PG,0.46%
Resolute Mining Limited,RSG,0.43%
McEwen Mining Inc.,MUX,0.28%
MUTUAL FUND (OTHER),Other,0.15%
Gran Colombia Gold Corp.,GCM,0.14%
U.S. Dollar,Other,0.13%
DRDGOLD Limited,DRD,0.13%
Argonaut Gold Inc.,AR,0.12%
Calibre Mining Corp.,CXB,0.12%
West African Resources Ltd,WAF,0.12%
De Grey Mining Ltd,DEG,0.1%
Lundin Gold Inc.,LUG,0.1%
DERIVATIVE SECURITIES (OTHER),Other,-0.05%
