RISN: Inspire Tactical Balanced ESG ETF
Inception Date: 2020-07-15
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	73515
Shares Outstanding: 2900000
Expense Ratio: %
Tracks This Index: n/a
ETFdb.com Category: Diversified Portfolio
Issuer: Inspire Investing
Structure: 
ETF Home Page: https://etfdb.com/etf/RISN


Holding,Symbol,Weighting
Vanguard Intermediate-Term Treasury ETF,VGIT,19.51%
NVIDIA Corporation,NVDA,6.37%
Costco Wholesale Corporation,COST,3.48%
Honeywell International Inc.,HON,3.02%
"NextEra Energy, Inc.",NEE,2.88%
Union Pacific Corporation,UNP,2.85%
"Lowe\'s Companies, Inc.",LOW,2.38%
Caterpillar Inc.,CAT,1.98%
American Tower Corporation,AMT,1.94%
"Zoetis, Inc. Class A",ZTS,1.5%
CSX Corporation,CSX,1.35%
"Illumina, Inc.",ILMN,1.33%
Crown Castle International Corp,CCI,1.32%
U.S. Dollar,Other,1.3%
"Prologis, Inc.",PLD,1.29%
Vertex Pharmaceuticals Incorporated,VRTX,1.27%
Global Payments Inc.,GPN,1.18%
"Analog Devices, Inc.",ADI,1.11%
"Equinix, Inc.",EQIX,1.09%
Edwards Lifesciences Corporation,EW,1.05%
Southern Copper Corporation,SCCO,1.05%
International Flavors & Fragrances Inc.,IFF,1.01%
"Regeneron Pharmaceuticals, Inc.",REGN,0.99%
"Waste Management, Inc.",WM,0.96%
Emerson Electric Co.,EMR,0.95%
NXP Semiconductors NV,NXPI,0.95%
"Align Technology, Inc.",ALGN,0.91%
Newmont Corporation,NEM,0.89%
"American Electric Power Company, Inc.",AEP,0.82%
"Ross Stores, Inc.",ROST,0.81%
"Synopsys, Inc.",SNPS,0.76%
MSCI Inc. Class A,MSCI,0.76%
Cognizant Technology Solutions Corporation Class A,CTSH,0.76%
Sysco Corporation,SYY,0.75%
Aptiv PLC,APTV,0.74%
"Alexion Pharmaceuticals, Inc.",ALXN,0.74%
Amphenol Corporation Class A,APH,0.73%
"Agilent Technologies, Inc.",A,0.71%
Centene Corporation,CNC,0.71%
Parker-Hannifin Corporation,PH,0.71%
"Xilinx, Inc.",XLNX,0.67%
Johnson Controls International plc,JCI,0.67%
"Palo Alto Networks, Inc.",PANW,0.67%
"Paychex, Inc.",PAYX,0.66%
Cintas Corporation,CTAS,0.65%
Aflac Incorporated,AFL,0.64%
Schlumberger NV,SLB,0.61%
Verisk Analytics Inc,VRSK,0.61%
SBA Communications Corp. Class A,SBAC,0.61%
"J.B. Hunt Transport Services, Inc.",JBHT,0.6%
"Republic Services, Inc.",RSG,0.59%
"EOG Resources, Inc.",EOG,0.58%
PACCAR Inc,PCAR,0.55%
WEC Energy Group Inc,WEC,0.54%
"AMETEK, Inc.",AME,0.54%
"Discovery, Inc. Class A",DISCA,0.52%
"Simon Property Group, Inc.",SPG,0.52%
"McCormick & Company, Incorporated",MKC,0.49%
"Skyworks Solutions, Inc.",SWKS,0.48%
Keysight Technologies Inc,KEYS,0.48%
Fortive Corp.,FTV,0.48%
Equifax Inc.,EFX,0.47%
"Consolidated Edison, Inc.",ED,0.47%
Garmin Ltd.,GRMN,0.45%
Equity Residential,EQR,0.44%
"Alexandria Real Estate Equities, Inc.",ARE,0.43%
DTE Energy Company,DTE,0.43%
Vulcan Materials Company,VMC,0.42%
Realty Income Corporation,O,0.41%
International Paper Company,IP,0.41%
AmerisourceBergen Corporation,ABC,0.4%
"Discovery, Inc. Class C",DISCK,0.4%
Entergy Corporation,ETR,0.39%
Dover Corporation,DOV,0.39%
Teleflex Incorporated,TFX,0.38%
Pioneer Natural Resources Company,PXD,0.38%
"SS&C Technologies Holdings, Inc.",SSNC,0.37%
SVB Financial Group,SIVB,0.37%
"Martin Marietta Materials, Inc.",MLM,0.35%
"D.R. Horton, Inc.",DHI,0.34%
"United Rentals, Inc.",URI,0.33%
Illinois Tool Works Inc.,ITW,0.32%
Waters Corporation,WAT,0.32%
Nucor Corporation,NUE,0.31%
"NetApp, Inc.",NTAP,0.3%
"Cheniere Energy, Inc.",LNG,0.3%
Hewlett Packard Enterprise Co.,HPE,0.29%
Regions Financial Corporation,RF,0.29%
Halliburton Company,HAL,0.29%
"Gartner, Inc.",IT,0.27%
WestRock Company,WRK,0.25%
IQVIA Holdings Inc,IQV,0.25%
Alliant Energy Corp,LNT,0.24%
W. P. Carey Inc.,WPC,0.24%
"CenterPoint Energy, Inc.",CNP,0.23%
Concho Resources Inc.,CXO,0.22%
"Henry Schein, Inc.",HSIC,0.18%
"Mohawk Industries, Inc.",MHK,0.17%
NiSource Inc,NI,0.17%
Sealed Air Corporation,SEE,0.15%
NOV Inc.,NOV,0.1%
TechnipFMC Plc,FTI,0.08%
