RJI: RICI-Total Return ETN
Inception Date: 2007-10-17
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	113815
Shares Outstanding: 23275000
Expense Ratio: 0.75%
Tracks This Index: Rogers International Commodity Index - Total Return
ETFdb.com Category: Commodities
Issuer: Swedish Export Credit Corporation
Structure: ETN
ETF Home Page: https://etfdb.com/etf/RJI


Holding,Symbol,Weighting
Sweet Light Crude Oil (WTI),CL,21.0%
Brent Crude Oil,CO,14.0%
Wheat,W,7.0%
Corn,C,4.75%
Cotton,FCT,4.05%
Aluminum,LA,4.0%
Copper,HG,4.0%
Gasoline RBOB,XB,3.0%
Gold,GC,3.0%
Soybean,S,3.0%
Natural Gas,NG,3.0%
Zinc,LX,2.0%
Silver,SI,2.0%
Coffee,FCC,2.0%
Soybean Oil,BO,2.0%
Lead,LL,2.0%
Sugar,FSB,2.0%
Live Cattle,LC,2.0%
NY Harbor ULSD (Heating Oil),HO,1.8%
Platinum,PL,1.8%
Gas Oil,QS,1.2%
Lumber,LB,1.0%
Tin,LT,1.0%
Nickel,LN,1.0%
Lean Hogs,LH,1.0%
Cocoa,FCO,1.0%
Rubber,JN,1.0%
Soybean Meal,SM,0.75%
Canola,RS,0.67%
Orange Juice (FCOJ),JO,0.66%
Rough Rice,RR,0.5%
Oat,O,0.5%
Red Beans (TGE),JE,0.5%
Palladium,PA,0.3%
Wool,OL,0.25%
