RNDM: First Trust Developed International Equity Select ETF
Inception Date: 2017-06-20
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	23714
Shares Outstanding: 450000
Expense Ratio: 0.65%
Tracks This Index: Nasdaq Riskalyze Developed International Equity Select Index 
ETFdb.com Category: Foreign Large Cap Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RNDM


Holding,Symbol,Weighting
"ONO Pharmaceutical Co., Ltd.",4528,2.47%
"MS&AD Insurance Group Holdings, Inc.",8725,2.08%
Admiral Group plc,ADM,2.07%
"USS Co., Ltd.",4732,1.46%
Kyocera Corporation,6971,1.38%
Bridgestone Corporation,5108,1.35%
"Nintendo Co., Ltd.",7974,1.33%
"Nitori Holdings Co., Ltd.",9843,1.31%
"Kansai Paint Co., Ltd.",4613,1.27%
Croda International Plc,CRDA,1.26%
Itochu Techno-Solutions Corporation,4739,1.21%
Itochu Corporation,8001,1.17%
Mitsubishi Corporation,8058,1.07%
"Secom Co., Ltd.",9735,1.03%
"Nagoya Railroad Co., Ltd.",9048,1.0%
Nippon Telegraph and Telephone Corporation,9432,0.99%
RTL Group S.A.,RRTL,0.94%
Novartis AG,NOVN,0.92%
Lonza Group AG,LONN,0.88%
Roche Holding Ltd,ROG,0.87%
SoftBank Corp.,9434,0.87%
Royal Bank of Canada,RY,0.86%
Tecan Group AG,TECN,0.85%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.83%
Henkel AG & Co. KGaA Pref,HEN3,0.82%
Intact Financial Corporation,IFC,0.81%
Barry Callebaut AG,BARN,0.76%
Thomson Reuters Corporation,TRI,0.75%
SK hynix Inc,000660,0.74%
TMX Group Ltd.,X,0.71%
"Samsung Electronics Co., Ltd.",005930,0.7%
Nestle S.A.,NESN,0.7%
RELX PLC,REL,0.67%
Euronext NV,ENX,0.66%
B&M European Value Retail SA,BME,0.66%
EQUITY OTHER,Other,0.64%
EssilorLuxottica SA,EL,0.63%
RATIONAL AG,RAA,0.62%
Deutsche Post AG,DPW,0.59%
Rubis SCA,RUI,0.58%
Commonwealth Bank of Australia,CBA,0.58%
Kakao Corp.,035720,0.54%
Medibank Private Ltd.,MPL,0.54%
"SAMSUNG SDS CO., LTD.",018260,0.54%
Hannover Rueck SE,HNR1,0.53%
Sanofi,SAN,0.53%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.52%
Air Liquide SA,AI,0.52%
Partners Group Holding AG,PGHN,0.5%
Deutsche Boerse AG,DB1,0.5%
Bechtle AG,BC8,0.49%
ASM International N.V.,ASM,0.49%
NAVER Corp.,035420,0.49%
Edenred SA,EDEN,0.49%
Hermes International SCA,RMS,0.48%
Insurance Australia Group Limited,IAG,0.48%
Compagnie Generale des Etablissements Michelin SCA,ML,0.47%
AIA Group Limited,1299,0.46%
Bureau Veritas SA,BVI,0.46%
Baloise-Holding AG,BALN,0.46%
Schneider Electric SE,SU,0.46%
ConvaTec Group Plc,CTEC,0.45%
BHP Group Ltd,BHP,0.45%
Vivendi SE,VIV,0.45%
Alstom SA,ALO,0.45%
L\'Oreal SA,OR,0.45%
Rio Tinto Limited,RIO,0.44%
Legrand SA,LR,0.44%
"Hang Seng Bank, Limited",11,0.43%
SEB SA,SK,0.43%
Hong Kong Exchanges & Clearing Ltd.,388,0.43%
Dechra Pharmaceuticals PLC,DPH,0.43%
Scout24 AG,G24,0.42%
Banque Cantonale Vaudoise,BCVN,0.41%
ASML Holding NV,ASML,0.41%
ASX Limited,ASX,0.4%
Japan Tobacco Inc.,2914,0.4%
Halma plc,HLMA,0.4%
Kao Corp.,4452,0.39%
Spirax-Sarco Engineering PLC,SPX,0.39%
Brenntag AG,BNR,0.38%
Dexus,DXS,0.37%
J Sainsbury plc,SBRY,0.37%
GlaxoSmithKline plc,GSK,0.37%
Orica Limited,ORI,0.36%
WSP Global Inc.,WSP,0.36%
Imperial Brands PLC,IMB,0.36%
Tesco PLC,TSCO,0.35%
"Meiji Holdings Co., Ltd.",2269,0.35%
Diageo plc,DGE,0.35%
AstraZeneca PLC,AZN,0.34%
Intertek Group plc,ITRK,0.34%
Constellation Software Inc.,CSU,0.34%
CGI Inc. Class A,GIB.A,0.34%
"Nissin Foods Holdings Co., Ltd.",2897,0.33%
Wm Morrison Supermarkets plc,MRW,0.33%
Tate & Lyle PLC,TATE,0.32%
Open Text Corporation,OTEX,0.32%
British American Tobacco p.l.c.,BATS,0.31%
Just Eat Takeaway.com N.V.,TKWY,0.31%
Koninklijke Philips N.V.,PHIA,0.31%
Symrise AG,SY1,0.3%
U.S. Dollar,Other,0.29%
Unilever PLC,ULVR,0.29%
Toromont Industries Ltd.,TIH,0.29%
Heineken NV,HEIA,0.28%
Reckitt Benckiser Group plc,RB,0.28%
Vestas Wind Systems A/S,VWS,0.27%
Heineken Holding N.V.,HEIO,0.27%
Merck KGaA,MRK,0.26%
Sonic Healthcare Limited,SHL,0.26%
Canadian National Railway Company,CNR,0.26%
CSL Limited,CSL,0.26%
Ramsay Health Care Limited,RHC,0.25%
Anheuser-Busch InBev SA/NV,ABI,0.23%
Fresenius SE & Co. KGaA,FRE,0.22%
Fresenius Medical Care AG & Co. KGaA,FME,0.22%
Koninklijke Ahold Delhaize N.V.,AD,0.22%
Bayer AG,BAYN,0.21%
"Industria de Diseno Textil, S.A.",ITX,0.21%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.21%
Atos SE,ATO,0.2%
APA Group,APA,0.2%
Ambu A/S Class B,AMBU.B,0.2%
BELIMO Holding AG,BEAN,0.19%
Deutsche Telekom AG,DTE,0.19%
Orsted,ORSTED,0.19%
Telefonica Deutschland Holding AG,O2D,0.19%
Neste Corporation,NESTE,0.19%
Dassault Systemes SA,DSY,0.19%
Ritchie Bros. Auctioneers Incorporated,RBA,0.19%
POSCO,005490,0.19%
Dollarama Inc.,DOL,0.18%
TELUS Corporation,T,0.18%
Sands China Ltd.,1928,0.18%
SEGRO plc,SGRO,0.17%
Sika AG,SIKA,0.17%
ArcelorMittal SA,MT,0.17%
Amadeus IT Group SA Class A,AMS,0.17%
Quebecor Inc. Class B,QBR.B,0.17%
SGS SA,SGSN,0.17%
SIG Combibloc Group Ltd,SIGN,0.17%
NIBE Industrier AB Class B,NIBE.B,0.17%
Etablissementen Franz Colruyt N.V.,COLR,0.17%
BCE Inc.,BCE,0.17%
Brambles Limited,BXB,0.17%
Kuehne & Nagel International AG,KNIN,0.17%
Epiroc AB Class A,EPI.A,0.17%
Iberdrola SA,IBE,0.16%
Stadler Rail AG,SRAIL,0.16%
LG Electronics Inc.,066570,0.16%
Orange SA,ORA,0.16%
Telstra Corporation Limited,TLS,0.16%
Shaw Communications Inc. Class B,SJR.B,0.16%
"Naturgy Energy Group, S.A.",NTGY,0.16%
Hexagon AB Class B,HEXA.B,0.16%
Skanska AB Class B,SKA.B,0.16%
Aurizon Holdings Ltd.,AZJ,0.16%
Demant A/S,DEMANT,0.16%
Geberit AG,GEBN,0.16%
Coca-Cola Amatil Limited,CCL,0.16%
Logitech International S.A.,LOGN,0.16%
Indutrade AB,INDT,0.16%
Transurban Group Ltd.,TCL,0.16%
Schindler Holding AG Pref,SCHP,0.15%
Veolia Environnement SA,VIE,0.15%
DBS Group Holdings Ltd,D05,0.15%
Sage Group plc,SGE,0.15%
Sun Art Retail Group Limited,6808,0.15%
Red Electrica Corp. SA,REE,0.15%
National Grid plc,NG,0.15%
Kinnevik AB Class B,KINV.B,0.15%
Atlas Copco AB Class A,ATCO.A,0.15%
Severn Trent Plc,SVT,0.15%
Pernod Ricard SA,RI,0.15%
Genmab A/S,GMAB,0.15%
ENGIE SA.,ENGI,0.15%
DSV Panalpina A/S,DSV,0.15%
Nordea Bank Abp,NDA.SE,0.14%
Telefonica SA,TEF,0.14%
United Overseas Bank Ltd. (Singapore),U11,0.14%
Pennon Group Plc,PNN,0.14%
GN Store Nord A/S,GN,0.14%
Svenska Handelsbanken AB Class A,SHB.A,0.14%
H. Lundbeck A/S,LUN,0.14%
Industrivarden AB Class C,INDU.C,0.14%
Beiersdorf AG,BEI,0.14%
ASSA ABLOY AB Class B,ASSA.B,0.14%
Novo Nordisk A/S Class B,NOVO.B,0.14%
Securitas AB Class B,SECU.B,0.14%
Oversea-Chinese Banking Corporation Limited,O39,0.14%
Carrefour SA,CA,0.14%
Wolters Kluwer NV,WKL,0.14%
Sampo Oyj Class A,SAMPO,0.14%
Endesa S.A.,ELE,0.14%
Sweco AB Class B,SWEC.B,0.13%
Coloplast A/S Class B,COLO.B,0.13%
Hydro One Limited,H,0.13%
Swedbank AB Class A,SWED.A,0.13%
Kerry Group Plc Class A,KRZ,0.13%
Investor AB Class B,INVE.B,0.13%
Remy Cointreau SA,RCO,0.13%
Hanon Systems,018880,0.13%
Woolworths Group Ltd,WOW,0.13%
Coles Group Ltd.,COL,0.13%
Singapore Exchange Ltd.,S68,0.13%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.13%
Danone SA,BN,0.13%
Chr. Hansen Holding A/S,CHR,0.13%
Adyen NV,ADYEN,0.12%
Enel SpA,ENEL,0.12%
Wesfarmers Limited,WES,0.12%
CRH Plc,CRG,0.12%
Novozymes A/S Class B,NZYM.B,0.12%
RWE AG,RWE,0.12%
Smurfit Kappa Group Plc,SK3,0.12%
"Waste Connections, Inc.",WCN,0.12%
Crown Resorts Limited,CWN,0.12%
Cellnex Telecom S.A.,CLNX,0.12%
Fortis Inc.,FTS,0.12%
Emera Incorporated,EMA,0.12%
Tabcorp Holdings Limited,TAH,0.12%
Banco Santander S.A.,SAN,0.12%
Ryanair Holdings Plc,RY4C,0.12%
EXOR N.V.,EXO,0.12%
Eni S.p.A.,ENI,0.12%
EDP-Energias de Portugal SA,EDP,0.12%
Randstad NV,RAND,0.12%
NCsoft Corporation,036570,0.12%
Aalberts N.V.,AALB,0.12%
IMCD N.V.,IMCD,0.11%
Uniper SE,UN01,0.11%
Domino\'s Pizza Enterprises Limited,DMP,0.11%
LEG Immobilien AG,LEG,0.11%
Grand City Properties SA,GYC,0.11%
A2A S.p.A.,A2A,0.11%
L E Lundbergforetagen AB Class B,LUND.B,0.11%
Deutsche Wohnen SE,DWNI,0.11%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.11%
Terna S.p.A.,TRN,0.11%
"Kangwon Land, Inc.",035250,0.11%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.11%
Vonovia SE,VNA,0.11%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.1%
E.ON SE,EOAN,0.1%
Holmen AB Class B,HOLM.B,0.1%
Stora Enso Oyj Class R,STERV,0.1%
FinecoBank SpA,FBK,0.1%
Akzo Nobel N.V.,AKZA,0.1%
Prysmian S.p.A.,PRY,0.1%
Intesa Sanpaolo S.p.A.,ISP,0.1%
Italgas SpA,IG,0.1%
Snam S.p.A.,SRG,0.1%
Telia Company AB,TELIA,0.1%
Koninklijke DSM N.V.,DSM,0.1%
EMS-CHEMIE HOLDING AG,EMSN,0.1%
Hera S.p.A.,HER,0.1%
Banca Mediolanum SpA,BMED,0.1%
NICE Ltd,NICE,0.1%
Aegon NV,AGN,0.1%
UPM-Kymmene Oyj,UPM,0.1%
Assicurazioni Generali S.p.A.,G,0.1%
Metso Outotec Oyj,MOCORP,0.09%
Royal Vopak NV,VPK,0.09%
"Shinhan Financial Group Co., Ltd.",055550,0.09%
SAMSUNG C&T CORP,028260,0.09%
Mapfre SA,MAP,0.09%
Tele2 AB Class B,TEL2.B,0.09%
Poste Italiane SpA,PST,0.09%
"Chubu Electric Power Company,Incorporated",9502,0.09%
Nokia Oyj,NOKIA,0.09%
CaixaBank SA,CABK,0.09%
Bankinter SA,BKT,0.09%
Elisa Oyj Class A,ELISA,0.09%
Clariant AG,CLN,0.09%
Mediobanca S.p.A.,MB,0.09%
Givaudan SA,GIVN,0.09%
"Osaka Gas Co., Ltd.",9532,0.09%
Aker BP ASA,AKRBP,0.08%
Royal KPN NV,KPN,0.08%
Kingspan Group Plc,KRX,0.08%
Xinyi Glass Holdings Limited,868,0.08%
ING Groep NV,INGA,0.08%
Wartsila Oyj Abp,WRT1V,0.08%
Xero Limited,XRO,0.08%
"Samsung Fire & Marine Insurance Co., Ltd",000810,0.08%
Industrial Bank Of Korea,024110,0.08%
Netmarble Corp.,251270,0.08%
Swisscom AG,SCMN,0.08%
Buzzi Unicem S.p.A.,BZU,0.08%
NN Group N.V.,NN,0.08%
"Chugoku Electric Power Co., Inc.",9504,0.08%
ASR Nederland NV,ASRNL,0.08%
"Woori Financial Group, Inc.",316140,0.08%
"Grifols, S.A. Class A",GRF,0.08%
LG Corp,003550,0.08%
ABN AMRO Bank NV Depositary receipts,ABN,0.07%
Sofina SA,SOF,0.07%
ageas SA/NV,AGS,0.07%
Henderson Land Development Co. Ltd.,12,0.07%
arGEN-X SE,ARGX,0.07%
Jardine Matheson Holdings Limited,J36,0.07%
Singapore Telecommunications Limited,Z74,0.07%
WH Group Ltd. (HK),288,0.07%
CK Infrastructure Holdings Limited,1038,0.07%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,0.07%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UT,0.07%
"ENEOS Holdings, Inc.",5020,0.07%
CK Hutchison Holdings Ltd,1,0.07%
Korea Electric Power Corporation,015760,0.07%
KBC Group N.V.,KBC,0.07%
Sino Biopharmaceutical Limited,1177,0.07%
Wharf Real Estate Investment Co. Ltd.,1997,0.07%
Teva Pharmaceutical Industries Limited,TEVA,0.07%
Hong Kong & China Gas Co. Ltd.,3,0.07%
Actividades de Construccion y Servicios SA,ACS,0.07%
"Tohoku Electric Power Company, Incorporated",9506,0.07%
Valmet Corp,VALMT,0.07%
Huhtamaki Oyj,HUH1V,0.07%
"Idemitsu Kosan Co., Ltd.",5019,0.06%
Pandora A/S,PNDORA,0.06%
CLP Holdings Limited,2,0.06%
George Weston Limited,WN,0.06%
AAK AB,AAK,0.06%
Power Assets Holdings Limited,6,0.06%
Groupe Bruxelles Lambert SA,GBLB,0.06%
Repsol SA,REP,0.06%
Link Real Estate Investment Trust,823,0.06%
Wharf (Holdings) Ltd.,4,0.06%
Acciona SA,ANA,0.06%
Telenor ASA,TEL,0.06%
UCB S.A.,UCB,0.06%
DNB ASA,DNB,0.06%
Wilmar International Limited,F34,0.06%
Fortum Oyj,FORTUM,0.06%
Aena SME SA,AENA,0.06%
Equinor ASA,EQNR,0.06%
LG Household & Health Care Ltd,051900,0.06%
Saputo Inc.,SAP,0.06%
Swire Pacific Limited Class A,19,0.06%
Royal Unibrew A/S,RBREW,0.06%
Kone Oyj Class B,KNEBV,0.06%
Solvay SA,SOLB,0.06%
Carlsberg A/S Class B,CARL.B,0.06%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.06%
Metro Inc.,MRU,0.05%
Elia Group SA/NV,ELI,0.05%
KT & G Corporation,033780,0.05%
Axfood AB,AXFO,0.05%
Gjensidige Forsikring ASA,GJF,0.05%
Essity AB Class B,ESSITY.B,0.05%
Umicore,UMI,0.05%
New World Development Co. Ltd.,17,0.05%
ICA Gruppen AB,ICA,0.05%
Singapore Technologies Engineering Ltd,S63,0.05%
Hang Lung Properties Limited,101,0.05%
ORION CORP.,271560,0.05%
CK Asset Holdings Limited,1113,0.05%
Loblaw Companies Limited,L,0.05%
Swedish Match AB,SWMA,0.05%
"Ferrovial, S.A.",FER,0.05%
Sino Land Co. Ltd.,83,0.05%
MTR Corporation Limited,66,0.05%
Danske Bank A/S,DANSKE,0.05%
Moncler SpA,MONC,0.05%
KT Corporation Sponsored ADR,KT,0.04%
Pirelli & C. S.p.A.,PIRC,0.04%
ams AG,AMS,0.04%
Bank Hapoalim BM,POLI,0.04%
Infrastrutture Wireless Italiane S.p.A.,INW,0.04%
Bank Leumi Le-Israel Ltd.,LUMI,0.04%
Swiss Prime Site AG,SPSN,0.04%
AusNet Services Limited,AST,0.04%
Auckland International Airport Limited,AIA,0.04%
a2 Milk Company Ltd.,ATM,0.04%
Kesko Oyj Class B,KESKOB,0.04%
Norsk Hydro ASA,NHY,0.04%
Galapagos NV,GLPG,0.04%
"SK Telecom Co., Ltd.",017670,0.04%
Mowi ASA,MOWI,0.04%
Spark New Zealand Limited,SPK,0.04%
Erste Group Bank AG,EBS,0.04%
Davide Campari-Milano N.V.,CPR,0.04%
Enagas SA,ENG,0.04%
LG Uplus Corp,032640,0.04%
Telecom Italia S.p.A.,TIT,0.04%
Tryg A/S,TRYG,0.04%
PSP Swiss Property AG,PSPN,0.04%
AGL Energy Limited,AGL,0.04%
Mizrahi Tefahot Bank Ltd,MZTF,0.04%
Keppel Corporation Limited,BN4,0.04%
SalMar ASA,SALM,0.03%
Orion Oyj Class B,ORNBV,0.03%
Orkla ASA,ORK,0.03%
Schibsted Asa Class A,SCHA,0.03%
TOMRA Systems ASA,TOM,0.03%
Warehouses De Pauw SCA,WDP,0.03%
Yara International ASA,YAR,0.03%
UOL Group Limited,U14,0.03%
Recordati Industria Chimica e Farmaceutica S.p.A.,REC,0.03%
Mapletree Commercial Trust,N2IU,0.03%
voestalpine AG,VOE,0.03%
Raiffeisen Bank International AG,RBI,0.03%
SimCorp A/S,SIM,0.03%
GALP Energia SGPS SA Class B,GALP,0.03%
"Jeronimo Martins, SGPS S.A.",JMT,0.03%
CapitaLand Integrated Commercial Trust,C38U,0.03%
OMV AG,OMV,0.03%
CapitaLand Limited,C31,0.03%
Amplifon S.p.A.,AMP,0.03%
Adevinta ASA,ADE,0.03%
Genting Singapore Limited,G13,0.02%
Mapletree Logistics Trust,M44U,0.02%
ICL Group Ltd.,ICL,0.02%
Jardine Cycle & Carriage Limited,C07,0.02%
Hongkong Land Holdings Limited,H78,0.02%
Hellenic Telecommunications Organization SA,HTO,0.02%
Singapore Airlines Ltd.,C6L,0.02%
DiaSorin S.p.A.,DIA,0.02%
Mapletree Industrial Trust,ME8U,0.02%
Elbit Systems Ltd,ESLT,0.02%
City Developments Limited,C09,0.02%
Tenaris S.A.,TEN,0.02%
Ascendas Real Estate Investment Trust,A17U,0.02%
Azrieli Group Ltd.,AZRG,0.01%
Telenet Group Holding NV,TNET,0.01%
Inmobiliaria Colonial SOCIMI SA,COL,0.01%
Proximus SA de droit public,PROX,0.01%
PCCW Limited,8,0.01%
"Topicus.com, Inc.",Other,0.0%
