RNDV: First Trust US Equity Dividend Select ETF
Inception Date: 2017-06-20
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	6101
Shares Outstanding: 250000
Expense Ratio: 0.5%
Tracks This Index: Nasdaq Riskalyze US Equity Dividend Select Index 
ETFdb.com Category: Large Cap Blend Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RNDV


Holding,Symbol,Weighting
Seagate Technology PLC,STX,3.54%
Hewlett Packard Enterprise Co.,HPE,3.48%
Western Digital Corporation,WDC,3.23%
International Business Machines Corporation,IBM,3.0%
HP Inc.,HPQ,2.59%
Broadcom Inc.,AVGO,2.29%
"AbbVie, Inc.",ABBV,2.19%
Omnicom Group Inc,OMC,1.92%
Ford Motor Company,F,1.71%
"Cardinal Health, Inc.",CAH,1.61%
Texas Instruments Incorporated,TXN,1.58%
Corning Inc,GLW,1.57%
Qualcomm Inc,QCOM,1.5%
Pfizer Inc.,PFE,1.5%
"Analog Devices, Inc.",ADI,1.42%
"Gilead Sciences, Inc.",GILD,1.39%
Intel Corporation,INTC,1.33%
ViacomCBS Inc. Class B,VIAC,1.33%
KLA Corporation,KLAC,1.32%
NortonLifeLock Inc.,NLOK,1.32%
TE Connectivity Ltd.,TEL,1.3%
Las Vegas Sands Corp.,LVS,1.23%
"Lumen Technologies, Inc.",LUMN,1.16%
"Hasbro, Inc.",HAS,1.09%
General Motors Company,GM,1.04%
Bristol-Myers Squibb Company,BMY,1.03%
Genuine Parts Company,GPC,1.01%
"Delta Air Lines, Inc.",DAL,0.99%
"Merck & Co., Inc.",MRK,0.99%
V.F. Corporation,VFC,0.98%
Johnson & Johnson,JNJ,0.96%
Garmin Ltd.,GRMN,0.92%
AT&T Inc.,T,0.91%
Medtronic Plc,MDT,0.83%
Royal Caribbean Group,RCL,0.78%
Synchrony Financial,SYF,0.77%
Amgen Inc.,AMGN,0.76%
Eli Lilly and Company,LLY,0.75%
Whirlpool Corporation,WHR,0.75%
"Annaly Capital Management, Inc.",NLY,0.75%
Western Union Company,WU,0.72%
Quest Diagnostics Incorporated,DGX,0.7%
"Yum! Brands, Inc.",YUM,0.69%
3M Company,MMM,0.68%
Starbucks Corporation,SBUX,0.68%
Raytheon Technologies Corporation,RTX,0.66%
McDonald\'s Corporation,MCD,0.65%
Emerson Electric Co.,EMR,0.63%
"Paychex, Inc.",PAYX,0.61%
Altria Group Inc,MO,0.61%
"Home Depot, Inc.",HD,0.59%
Caterpillar Inc.,CAT,0.59%
Eaton Corp. Plc,ETN,0.58%
General Dynamics Corporation,GD,0.56%
"Automatic Data Processing, Inc.",ADP,0.55%
Boeing Company,BA,0.53%
"Best Buy Co., Inc.",BBY,0.52%
Verizon Communications Inc.,VZ,0.5%
Johnson Controls International plc,JCI,0.5%
"Cisco Systems, Inc.",CSCO,0.49%
"DuPont de Nemours, Inc.",DD,0.48%
Honeywell International Inc.,HON,0.48%
Cummins Inc.,CMI,0.45%
Philip Morris International Inc.,PM,0.45%
Capital One Financial Corporation,COF,0.43%
Wells Fargo & Company,WFC,0.43%
"Citizens Financial Group, Inc.",CFG,0.42%
"United Parcel Service, Inc. Class B",UPS,0.41%
KeyCorp,KEY,0.41%
Illinois Tool Works Inc.,ITW,0.41%
Lockheed Martin Corporation,LMT,0.4%
Kraft Heinz Company,KHC,0.4%
Occidental Petroleum Corporation,OXY,0.4%
"Prudential Financial, Inc.",PRU,0.4%
Parker-Hannifin Corporation,PH,0.4%
Walgreens Boots Alliance Inc,WBA,0.39%
Regions Financial Corporation,RF,0.36%
Union Pacific Corporation,UNP,0.36%
"Rockwell Automation, Inc.",ROK,0.36%
Dover Corporation,DOV,0.36%
Norfolk Southern Corporation,NSC,0.33%
RPM International Inc.,RPM,0.33%
"Principal Financial Group, Inc.",PFG,0.32%
Citigroup Inc.,C,0.32%
M&T Bank Corporation,MTB,0.32%
"C.H. Robinson Worldwide, Inc.",CHRW,0.31%
"Franklin Resources, Inc.",BEN,0.31%
"American International Group, Inc.",AIG,0.31%
"ONEOK, Inc.",OKE,0.3%
Truist Financial Corporation,TFC,0.29%
Northrop Grumman Corporation,NOC,0.29%
"MetLife, Inc.",MET,0.29%
U.S. Bancorp,USB,0.29%
"PNC Financial Services Group, Inc.",PNC,0.28%
CVS Health Corporation,CVS,0.27%
Apollo Global Management Inc. Class A,APO,0.27%
U.S. Dollar,Other,0.25%
Comcast Corporation Class A,CMCSA,0.25%
L3Harris Technologies Inc,LHX,0.25%
"Simon Property Group, Inc.",SPG,0.25%
LyondellBasell Industries NV,LYB,0.24%
JPMorgan Chase & Co.,JPM,0.24%
Coca-Cola Company,KO,0.23%
Fifth Third Bancorp,FITB,0.23%
Discover Financial Services,DFS,0.23%
Kellogg Company,K,0.22%
Archer-Daniels-Midland Company,ADM,0.22%
"Hartford Financial Services Group, Inc.",HIG,0.22%
"Dow, Inc.",DOW,0.21%
Bank of New York Mellon Corporation,BK,0.21%
State Street Corporation,STT,0.21%
Sysco Corporation,SYY,0.21%
Blackstone Group Inc. Class A,BX,0.21%
Northern Trust Corporation,NTRS,0.21%
"Tyson Foods, Inc. Class A",TSN,0.2%
Morgan Stanley,MS,0.2%
J.M. Smucker Company,SJM,0.2%
"General Mills, Inc.",GIS,0.2%
"Travelers Companies, Inc.",TRV,0.19%
International Paper Company,IP,0.19%
Campbell Soup Company,CPB,0.19%
"PepsiCo, Inc.",PEP,0.19%
Bank of America Corp,BAC,0.18%
Exxon Mobil Corporation,XOM,0.18%
Aflac Incorporated,AFL,0.18%
"Medical Properties Trust, Inc.",MPW,0.17%
Kimberly-Clark Corporation,KMB,0.17%
PPL Corporation,PPL,0.17%
Schlumberger NV,SLB,0.16%
Keurig Dr Pepper Inc.,KDP,0.16%
"Conagra Brands, Inc.",CAG,0.16%
Colgate-Palmolive Company,CL,0.16%
Valero Energy Corporation,VLO,0.16%
"Goldman Sachs Group, Inc.",GS,0.16%
Chubb Limited,CB,0.16%
Corteva Inc,CTVA,0.16%
Edison International,EIX,0.16%
Cincinnati Financial Corporation,CINF,0.16%
FirstEnergy Corp.,FE,0.15%
Marathon Petroleum Corporation,MPC,0.15%
Hershey Company,HSY,0.15%
"BlackRock, Inc.",BLK,0.15%
"Ameriprise Financial, Inc.",AMP,0.15%
"Ventas, Inc.",VTR,0.15%
W. P. Carey Inc.,WPC,0.15%
T. Rowe Price Group,TROW,0.15%
EQUITY OTHER,Other,0.14%
"Welltower, Inc.",WELL,0.14%
"CenterPoint Energy, Inc.",CNP,0.14%
