ROBO: ROBO Global Robotics and Automation Index ETF
Inception Date: 2013-10-22
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1691230
Shares Outstanding: 27798000
Expense Ratio: 0.95%
Tracks This Index: Robo-Stox Global Robotics and Automation Index
ETFdb.com Category: Global Equities
Issuer: Exchange Traded Concepts
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ROBO


Holding,Symbol,Weighting
HIWIN Technologies Corp.,2049,1.76%
"Vocera Communications, Inc.",VCRA,1.74%
Blue Prism Group Plc,PRSM,1.68%
Keyence Corporation,6861,1.65%
Harmonic Drive Systems Inc.,6324,1.64%
"FLIR Systems, Inc.",FLIR,1.55%
Krones AG,KRN,1.54%
Kardex Holding AG,KARN,1.54%
"Illumina, Inc.",ILMN,1.54%
"Daifuku Co., Ltd.",6383,1.54%
IPG Photonics Corporation,IPGP,1.54%
Yaskawa Electric Corporation,6506,1.53%
Cognex Corporation,CGNX,1.53%
"ServiceNow, Inc.",NOW,1.53%
"Intuitive Surgical, Inc.",ISRG,1.53%
Koh Young Technology Inc.,098460,1.52%
iRobot Corporation,IRBT,1.52%
Zebra Technologies Corporation Class A,ZBRA,1.48%
"Rockwell Automation, Inc.",ROK,1.48%
"Manhattan Associates, Inc.",MANH,1.47%
OMRON Corporation,6645,1.46%
Fanuc Corporation,6954,1.45%
NVIDIA Corporation,NVDA,1.4%
"AeroVironment, Inc.",AVAV,1.4%
"Brooks Automation, Inc.",BRKS,1.32%
Hollysys Automation Technologies Ltd.,HOLI,1.28%
"BioTelemetry, Inc.",BEAT,1.26%
"Raven Industries, Inc.",RAVN,1.2%
"Cadence Design Systems, Inc.",CDNS,1.19%
Stratasys Ltd.,SSYS,1.18%
Durr AG,DUE,1.17%
Materialise NV Sponsored ADR,MTLS,1.16%
"Advantech Co., Ltd.",2395,1.15%
National Instruments Corporation,NATI,1.14%
"Autodesk, Inc.",ADSK,1.13%
Dassault Systemes SA,DSY,1.13%
"Omnicell, Inc.",OMCL,1.13%
PTC Inc.,PTC,1.12%
Airtac International Group,1590,1.12%
Hexagon AB Class B,HEXA.B,1.12%
"Delta Electronics, Inc.",2308,1.11%
Globus Medical Inc Class A,GMED,1.11%
Global Unichip Corp.,3443,1.11%
KION GROUP AG,KGX,1.1%
Deere & Company,DE,1.09%
Ocado Group PLC,OCDO,1.09%
Aptiv PLC,APTV,1.09%
Nabtesco Corporation,6268,1.09%
Trimble Inc.,TRMB,1.09%
Toyota Industries Corp.,6201,1.09%
Tecan Group AG,TECN,1.09%
FUJI CORPORATION,6134,1.09%
Yokogawa Electric Corp.,6841,1.08%
"FARO Technologies, Inc.",FARO,1.08%
Siemens AG,SIE,1.08%
"Nuance Communications, Inc.",NUAN,1.08%
Daihen Corporation,6622,1.08%
Schneider Electric SE,SU,1.08%
ABB Ltd.,ABBN,1.07%
Renishaw plc,RSW,1.07%
Cargotec Oyj Class B,CGCBV,1.07%
Elekta AB Class B,EKTA.B,1.07%
"Teradyne, Inc.",TER,1.06%
GEA Group AG,G1A,1.06%
Mitsubishi Electric Corp.,6503,1.05%
3D Systems Corporation,DDD,1.04%
ATS Automation Tooling Systems Inc.,ATA,1.04%
JENOPTIK AG,JEN,1.03%
"THK Co., Ltd.",6481,1.03%
Teledyne Technologies Incorporated,TDY,1.03%
Nordson Corporation,NDSN,1.03%
Novanta Inc,NOVT,1.02%
Amano Corporation,6436,1.01%
SMC Corporation,6273,1.01%
Qualcomm Inc,QCOM,1.0%
"Ambarella, Inc.",AMBA,1.0%
Microchip Technology Incorporated,MCHP,0.99%
John Bean Technologies Corporation,JBT,0.94%
OPTEX GROUP Company Limited,6914,0.87%
"Luminar Technologies, Inc. Class A",LAZR,0.81%
"Shibaura Machine Co., Ltd.",6104,0.7%
"iflytek Co., Ltd. Class A",002230,0.38%
Adlink Technology Inc.,6166,0.32%
"Shenzhen Inovance Technology Co., Ltd Class A",300124,0.27%
"Han\'s Laser Technology Industry Group Co., Ltd. Class A",002008,0.27%
"SIASUN Robot & Automation CO., Ltd. Class A",300024,0.22%
MUTUAL FUND (OTHER),Other,0.12%
U.S. Dollar,Other,0.03%
