RXI: iShares Global Consumer Discretionary ETF
Inception Date: 2006-09-21
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	386275
Shares Outstanding: 2500000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Consumer Discretionary Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RXI


Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,10.08%
Tesla Inc,TSLA,9.93%
"Home Depot, Inc.",HD,4.32%
Toyota Motor Corp.,7203,3.69%
"NIKE, Inc. Class B",NKE,3.34%
LVMH Moet Hennessy Louis Vuitton SE,MC,3.15%
McDonald\'s Corporation,MCD,3.01%
Meituan Class B,3690,2.98%
Sony Corporation,6758,2.36%
Starbucks Corporation,SBUX,2.36%
"Lowe\'s Companies, Inc.",LOW,2.21%
Booking Holdings Inc.,BKNG,1.72%
Target Corporation,TGT,1.66%
TJX Companies Inc,TJX,1.54%
adidas AG,ADS,1.26%
Daimler AG,DAI,1.11%
"FAST RETAILING CO., LTD.",9983,1.09%
Kering SA,KER,1.02%
General Motors Company,GM,0.99%
Dollar General Corporation,DG,0.97%
Compagnie Financiere Richemont SA,CFR,0.9%
"Honda Motor Co., Ltd.",7267,0.9%
EssilorLuxottica SA,EL,0.88%
Prosus N.V. Class N,PRX,0.86%
Wesfarmers Limited,WES,0.83%
"Ross Stores, Inc.",ROST,0.82%
"Chipotle Mexican Grill, Inc.",CMG,0.73%
Hermes International SCA,RMS,0.7%
"Oriental Land Co., Ltd.",4661,0.7%
"Industria de Diseno Textil, S.A.",ITX,0.67%
"Marriott International, Inc. Class A",MAR,0.66%
Aptiv PLC,APTV,0.66%
Volkswagen AG Pref,VOW3,0.65%
Ford Motor Company,F,0.65%
Compass Group PLC,CPG,0.63%
"O\'Reilly Automotive, Inc.",ORLY,0.62%
"Yum! Brands, Inc.",YUM,0.62%
eBay Inc.,EBAY,0.62%
DENSO CORPORATION,6902,0.58%
Hilton Worldwide Holdings Inc,HLT,0.58%
Ferrari NV,RACE,0.56%
Flutter Entertainment Plc,FLTR,0.55%
Bayerische Motoren Werke AG,BMW,0.53%
"AutoZone, Inc.",AZO,0.52%
V.F. Corporation,VFC,0.51%
Panasonic Corporation,6752,0.51%
"Dollar Tree, Inc.",DLTR,0.48%
"Best Buy Co., Inc.",BBY,0.44%
"D.R. Horton, Inc.",DHI,0.43%
Suzuki Motor Corp.,7269,0.43%
Compagnie Generale des Etablissements Michelin SCA,ML,0.43%
Delivery Hero SE,DHER,0.42%
"Etsy, Inc.",ETSY,0.42%
Lennar Corporation Class A,LEN,0.39%
Bridgestone Corporation,5108,0.38%
Shimano Inc.,7309,0.37%
Las Vegas Sands Corp.,LVS,0.37%
Fiat Chrysler Automobiles N.V.,FCA,0.37%
Magna International Inc.,MG,0.36%
BANDAI NAMCO Holdings Inc.,7832,0.36%
Ocado Group PLC,OCDO,0.35%
Zalando SE,ZAL,0.35%
Restaurant Brands International Inc,QSR,0.35%
"Nitori Holdings Co., Ltd.",9843,0.34%
"Expedia Group, Inc.",EXPE,0.34%
Garmin Ltd.,GRMN,0.33%
Peugeot SA,UG,0.33%
Tractor Supply Company,TSCO,0.31%
Ulta Beauty Inc,ULTA,0.31%
Evolution Gaming Group AB,EVO,0.31%
