RYJ: Invesco Raymond James SB-1 Equity ETF
Inception Date: 2006-05-19
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	123505
Shares Outstanding: 2452000
Expense Ratio: 0.82%
Tracks This Index: Raymond James SB-1 Equity Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RYJ


Holding,Symbol,Weighting
"FLIR Systems, Inc.",FLIR,0.79%
"AngioDynamics, Inc.",ANGO,0.7%
"Itron, Inc.",ITRI,0.7%
"Avnet, Inc.",AVT,0.67%
"Leggett & Platt, Incorporated",LEG,0.67%
DISH Network Corporation Class A,DISH,0.67%
Cadence Bancorporation Class A,CADE,0.66%
Evoqua Water Technologies Corp,AQUA,0.66%
UnitedHealth Group Incorporated,UNH,0.66%
"Telephone and Data Systems, Inc.",TDS,0.66%
"Veritex Holdings, Inc.",VBTX,0.66%
Livent Corporation,LTHM,0.66%
Cigna Corporation,CI,0.66%
"Alarm.com Holdings, Inc.",ALRM,0.66%
Black Stone Minerals LP,BSM,0.66%
EchoStar Corporation Class A,SATS,0.66%
Uniti Group Inc.,UNIT,0.66%
Marathon Oil Corporation,MRO,0.66%
Ameris Bancorp,ABCB,0.66%
United States Cellular Corp,USM,0.66%
"Acadia Healthcare Company, Inc.",ACHC,0.66%
"Altice USA, Inc. Class A",ATUS,0.66%
"TPI Composites, Inc.",TPIC,0.66%
"Parsley Energy, Inc. Class A",PE,0.65%
"Micron Technology, Inc.",MU,0.65%
"Meta Financial Group, Inc.",CASH,0.65%
"Origin Bancorp, Inc.",OBNK,0.65%
"Kimbell Royalty Partners, LP",KRP,0.65%
Regions Financial Corporation,RF,0.65%
HealthEquity Inc,HQY,0.65%
Target Corporation,TGT,0.65%
"Zimmer Biomet Holdings, Inc.",ZBH,0.65%
"Revolve Group, Inc Class A",RVLV,0.65%
PotlatchDeltic Corporation,PCH,0.65%
"Flagstar Bancorp, Inc.",FBC,0.65%
First Horizon Corporation,FHN,0.65%
"Brigham Minerals, Inc. Class A",MNRL,0.65%
Signature Bank,SBNY,0.65%
Pioneer Natural Resources Company,PXD,0.65%
"Pacific Premier Bancorp, Inc.",PPBI,0.65%
Meridian Bancorp Inc,EBSB,0.64%
Allstate Corporation,ALL,0.64%
"Apellis Pharmaceuticals, Inc.",APLS,0.64%
"Zions Bancorporation, N.A.",ZION,0.64%
"WESCO International, Inc.",WCC,0.64%
"MAXIMUS, Inc.",MMS,0.64%
Kansas City Southern,KSU,0.64%
"Flexion Therapeutics, Inc.",FLXN,0.64%
Qualcomm Inc,QCOM,0.64%
"TriState Capital Holdings, Inc.",TSC,0.64%
"Health Catalyst, Inc.",HCAT,0.64%
"Intercontinental Exchange, Inc.",ICE,0.64%
CVS Health Corporation,CVS,0.64%
Scotts Miracle-Gro Company Class A,SMG,0.64%
Agree Realty Corporation,ADC,0.64%
Teleflex Incorporated,TFX,0.64%
OceanFirst Financial Corp.,OCFC,0.64%
"Switch, Inc. Class A",SWCH,0.64%
Old Republic International Corporation,ORI,0.64%
"Antares Pharma, Inc.",ATRS,0.64%
Bancorp Inc,TBBK,0.64%
Boston Scientific Corporation,BSX,0.64%
GDS Holdings Ltd. Sponsored ADR Class A,GDS,0.63%
Dollar General Corporation,DG,0.63%
"i3 Verticals, Inc. Class A",IIIV,0.63%
"Argo Group International Holdings, Ltd.",ARGO,0.63%
"ConnectOne Bancorp, Inc.",CNOB,0.63%
"SS&C Technologies Holdings, Inc.",SSNC,0.63%
Hanesbrands Inc.,HBI,0.63%
Ladder Capital Corp. Class A,LADR,0.63%
Progressive Corporation,PGR,0.63%
Webster Financial Corporation,WBS,0.63%
SYNNEX Corporation,SNX,0.63%
"Waste Connections, Inc.",WCN,0.63%
"Ruth\'s Hospitality Group, Inc.",RUTH,0.63%
"Axos Financial, Inc.",AX,0.63%
Kemper Corporation,KMPR,0.63%
Jabil Inc.,JBL,0.63%
"Barings BDC, Inc.",BBDC,0.63%
Union Pacific Corporation,UNP,0.63%
"Under Armour, Inc. Class A",UAA,0.63%
NIC Inc.,EGOV,0.63%
ORBCOMM Inc.,ORBC,0.63%
Occidental Petroleum Corporation,OXY,0.63%
"Fidelity National Information Services, Inc.",FIS,0.63%
"Mohawk Industries, Inc.",MHK,0.63%
"Four Corners Property Trust, Inc.",FCPT,0.63%
Microchip Technology Incorporated,MCHP,0.63%
Allegiant Travel Company,ALGT,0.63%
"Invitation Homes, Inc.",INVH,0.63%
Enviva Partners LP,EVA,0.63%
"Everi Holdings, Inc.",EVRI,0.62%
"Allison Transmission Holdings, Inc.",ALSN,0.62%
American Homes 4 Rent Class A,AMH,0.62%
"Redwood Trust, Inc.",RWT,0.62%
"TPG RE Finance Trust, Inc.",TRTX,0.62%
"CareDx, Inc.",CDNA,0.62%
"Bloomin\' Brands, Inc.",BLMN,0.62%
PACCAR Inc,PCAR,0.62%
"AutoZone, Inc.",AZO,0.62%
Chubb Limited,CB,0.62%
"Alaska Air Group, Inc.",ALK,0.62%
Merchants Bancorp,MBIN,0.62%
Microsoft Corporation,MSFT,0.62%
Wintrust Financial Corporation,WTFC,0.62%
"Facebook, Inc. Class A",FB,0.62%
"Mirum Pharmaceuticals, Inc.",MIRM,0.62%
"National Retail Properties, Inc.",NNN,0.62%
"Casella Waste Systems, Inc. Class A",CWST,0.62%
"Change Healthcare, Inc.",CHNG,0.62%
"Chemocentryx, Inc.",CCXI,0.62%
"NGM Biopharmaceuticals, Inc.",NGM,0.62%
Targa Resources Corp.,TRGP,0.61%
Wabash National Corporation,WNC,0.61%
Arthur J. Gallagher & Co.,AJG,0.61%
Healthcare Realty Trust Incorporated,HR,0.61%
"salesforce.com, inc.",CRM,0.61%
"Envestnet, Inc.",ENV,0.61%
"Dave & Buster\'s Entertainment, Inc.",PLAY,0.61%
"ServiceNow, Inc.",NOW,0.61%
"RingCentral, Inc. Class A",RNG,0.61%
Ping Identity Holding Corp.,PING,0.61%
Polaris Inc.,PII,0.61%
"Gaming and Leisure Properties, Inc.",GLPI,0.61%
"Williams Companies, Inc.",WMB,0.61%
"GoDaddy, Inc. Class A",GDDY,0.61%
Rent-A-Center Inc,RCII,0.61%
"Best Buy Co., Inc.",BBY,0.61%
VICI Properties Inc,VICI,0.61%
"PulteGroup, Inc.",PHM,0.6%
Enterprise Products Partners L.P.,EPD,0.6%
"nLIGHT, Inc.",LASR,0.6%
uniQure N.V.,QURE,0.6%
KB Home,KBH,0.6%
"United Parcel Service, Inc. Class B",UPS,0.6%
"Tarsus Pharmaceuticals, Inc.",TARS,0.6%
Lululemon Athletica Inc,LULU,0.6%
Tempur Sealy International Inc,TPX,0.6%
"SkyWest, Inc",SKYW,0.6%
Tractor Supply Company,TSCO,0.59%
"M.D.C. Holdings, Inc.",MDC,0.59%
Bed Bath & Beyond Inc.,BBBY,0.59%
Acceleron Pharma Inc,XLRN,0.59%
ACADIA Pharmaceuticals Inc.,ACAD,0.59%
CareTrust REIT Inc,CTRE,0.59%
Ocular Therapeutix Inc,OCUL,0.59%
89bio Inc,ETNB,0.58%
"Energy Transfer, L.P.",ET,0.58%
"New Relic, Inc.",NEWR,0.58%
"Texas Roadhouse, Inc.",TXRH,0.58%
"Live Oak Bancshares, Inc.",LOB,0.57%
"Viking Therapeutics, Inc.",VKTX,0.57%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,0.55%
"CymaBay Therapeutics, Inc.",CBAY,0.55%
Blueprint Medicines Corp.,BPMC,0.54%
"VBI Vaccines, Inc.",VBIV,0.53%
Landmark Infrastructure Partners LP,LMRK,0.41%
NexPoint Real Estate Finance Inc,NREF,0.4%
"Old Second Bancorp, Inc.",OSBC,0.39%
MiX Telematics Limited Sponsored ADR,MIXT,0.31%
PolyPid Ltd.,PYPD,0.27%
Green Plains Partners LP,GPP,0.23%
Short Term Investments Trust Government & Agency Portfolio Institutional,AGPXX,0.19%
Sol-Gel Technologies Ltd.,SLGL,0.09%
U.S. Dollar,Other,-0.28%
