SCHE: Schwab Emerging Markets Equity ETF
Inception Date: 2010-01-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	8466950
Shares Outstanding: 274100000
Expense Ratio: 0.13%
Tracks This Index: FTSE All Emerging Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Charles Schwab
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SCHE


Holding,Symbol,Weighting
Cash Component,CASH,10.4151%
Alibaba Group Holding Ltd,BABA,8.4866%
Tencent Holdings Ltd,700,6.504%
Taiwan Semiconductor Manufacturing Co Ltd,2330,5.665%
Meituan Dianping,3690,1.89%
Reliance Industries Ltd,RIL,1.6476%
Naspers Ltd,NPN,1.2788%
JD.Com Inc,JD,1.1488%
China Construction Bank Corp,939,1.0463%
Ping An Insurance Group Co of China Ltd,2318,0.9695%
Infosys Ltd,INFO,0.8563%
Industrial and Commercial Bank of China Ltd,1398,0.6991%
Housing Development Finance Corporation Ltd,HDFC,0.6986%
Vale SA,VALE3,0.5953%
NetEase Inc,NTES,0.5842%
China Mobile Ltd,941,0.5817%
Baidu Inc,BIDU,0.5794%
Xiaomi Corp,1810,0.5516%
Tata Consultancy Services Ltd,TCS,0.5492%
TAL Education Group,TAL,0.507%
Hon Hai Precision Industry Co Ltd,2317,0.506%
Saudi Arabian Oil Co,2222,0.4245%
Hindustan Unilever Ltd,HUVR,0.4235%
Bank of China Ltd,3988,0.4012%
Gazprom PAO,GAZP,0.3983%
WuXi Biologics (Cayman) Inc,2269,0.3981%
Qatar National Bank QPSC,QNBK,0.3812%
NK Lukoil PAO,LKOH,0.3802%
Al Rajhi Banking & Investment Corporation SJSC,1120,0.3748%
Saudi Basic Industries Corporation SJSC,2010,0.3674%
Pinduoduo Inc,PDD,0.354%
NIO Inc,NIO,0.3489%
New Oriental Education & Technology Group Inc,EDU,0.3479%
B3 SA Brasil Bolsa Balcao,B3SA3,0.3422%
Itau Unibanco Holding SA,ITUB,0.3278%
America Movil SAB de CV,AMXL,0.3226%
National Bank of Kuwait SAKP,NBK,0.3183%
Bank Central Asia Tbk PT,BBCA,0.3111%
China Merchants Bank Co Ltd,3968,0.3017%
China Life Insurance Co Ltd,2628,0.2844%
Saudi Telecom Company SJSC,7010,0.2792%
Petroleo Brasileiro SA Petrobras,PETR4,0.2772%
CNOOC Ltd,883,0.2711%
PTT PCL,PTT-R,0.2647%
Trip.com Group Ltd,TCOM,0.2563%
Banco Bradesco SA,BBDC4,0.2547%
Novatek PAO,NVTK,0.2505%
National Commercial Bank SJSC,1180,0.2328%
First Abu Dhabi Bank PJSC,FAB,0.2319%
Axis Bank Ltd,AXSB,0.229%
Petroleo Brasileiro SA Petrobras,PETR3,0.2227%
China Mengniu Dairy Co Ltd,2319,0.2168%
Wal Mart de Mexico SAB de CV,WALMEX*,0.2131%
ANTA Sports Products Ltd,2020,0.213%
ZTO Express (Cayman) Inc,ZTO,0.2109%
HCL Technologies Ltd,HCLT,0.2083%
GMK Noril'skiy Nikel' PAO,GMKN,0.2081%
Shenzhou International Group Holdings Ltd,2313,0.2078%
Formosa Plastics Corp,1301,0.2074%
China Resources Land Ltd,1109,0.2039%
Public Bank Bhd,PBBANK,0.2001%
FirstRand Ltd,FSR,0.1972%
Maruti Suzuki India Ltd,MSIL,0.195%
CTBC Financial Holding Co Ltd,2891,0.1924%
AngloGold Ashanti Ltd,ANG,0.1903%
Bank Rakyat Indonesia (Persero) Tbk PT,BBRI,0.1889%
Gold Fields Ltd,GFI,0.1866%
Sino Biopharmaceutical Ltd,1177,0.1842%
United Microelectronics Corp,2303,0.1807%
Geely Automobile Holdings Ltd,175,0.1807%
Top Glove Corporation Bhd,TOPGLOV,0.1787%
Magazine Luiza SA,MGLU3,0.1781%
Bharti Airtel Ltd,BHARTI,0.1776%
Malayan Banking Bhd,MAYBANK,0.1773%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.1761%
CSPC Pharmaceutical Group Ltd,1093,0.1751%
Alibaba Health Information Technology Ltd,241,0.1748%
China Petroleum & Chemical Corp,386,0.1742%
Sunny Optical Technology Group Co Ltd,2382,0.1722%
Grupo Financiero Banorte SAB de CV,GFNORTEO,0.1702%
CP All PCL,CPALL-R,0.1699%
E.SUN Financial Holding Co Ltd,2884,0.1696%
Semiconductor Manufacturing International Corp,981,0.1693%
China Resources Beer Holdings Co Ltd,291,0.1675%
Sunac China Holdings Ltd,1918,0.1675%
Ambev SA,ABEV3,0.1675%
Longfor Group Holdings Ltd,960,0.1662%
Tenaga Nasional Bhd,TENAGA,0.1653%
China Overseas Land & Investment Ltd,688,0.1647%
Agricultural Bank of China Ltd,1288,0.1646%
Uni-President Enterprises Corp,1216,0.1643%
Fubon Financial Holding Co Ltd,2881,0.1642%
Byd Co Ltd,1211,0.1607%
Innovent Biologics Inc,1801,0.1595%
Tatneft' PAO,TATN,0.1572%
Nan Ya Plastics Corp,1303,0.1567%
Country Garden Holdings Co Ltd,2007,0.1534%
Cathay Financial Holding Co Ltd,2882,0.1526%
SM Investments Corp,SM,0.1519%
Kuwait Finance House KSC,KFH,0.1514%
Asian Paints Ltd,APNT,0.1499%
Bajaj Finance Ltd,BAJFINANCE,0.1498%
WEG SA,WEGE3,0.1485%
Mega Financial Holding Co Ltd,2886,0.1462%
Anhui Conch Cement Co Ltd,914,0.1455%
Li Ning Co Ltd,2331,0.1436%
Telekomunikasi Indonesia (Persero) Tbk PT,TLKM,0.1435%
Chunghwa Telecom Co Ltd,2412,0.1426%
Standard Bank Group Ltd,SBK,0.1423%
ENN Energy Holdings Ltd,2688,0.1412%
Country Garden Services Holdings Co Ltd,6098,0.1395%
China Tower Corp Ltd,788,0.1384%
Grupo Mexico SAB de CV,GMEXICOB,0.138%
China Steel Corp,2002,0.1354%
China Pacific Insurance Group Co Ltd,2601,0.133%
Airports of Thailand PCL,AOT-R,0.1329%
Sibanye Stillwater Ltd,SSW,0.1304%
China Conch Venture Holdings Ltd,586,0.13%
Ping An Insurance Group Co of China Ltd,601318,0.1289%
Sun Pharmaceutical Industries Ltd,SUNP,0.1288%
Riyad Bank SJSC,1010,0.1286%
GDS Holdings Ltd,GDS,0.1283%
Yihai International Holding Ltd,1579,0.1276%
China Gas Holdings Ltd,384,0.1245%
Emirates NBD Bank PJSC,EMIRATESNBD,0.1244%
Samba Financial Group SJSC,1090,0.1232%
Wuliangye Yibin Co Ltd,000858,0.1229%
Itausa Investimentos Itau SA,ITSA4,0.1221%
China Merchants Bank Co Ltd,600036,0.1218%
Huazhu Group Ltd,HTHT,0.1211%
OTP Bank Nyrt,OTP,0.121%
Ke Holdings Inc,BEKE,0.1201%
ITC Ltd,ITC,0.1199%
Tencent Music Entertainment Group,TME,0.1197%
Natura & Co Holding SA,NTCO3,0.1173%
Siam Cement PCL,SCC-R,0.1172%
Yuanta Financial Holdings Co Ltd,2885,0.116%
Saudi British Bank SJSC,1060,0.1156%
Vipshop Holdings Ltd,VIPS,0.1128%
Impala Platinum Holdings Ltd,IMP,0.1125%
Commercial International Bank Egypt SAE,CBKD,0.1112%
Bank Mandiri (Persero) Tbk PT,BMRI,0.1107%
China Shenhua Energy Co Ltd,1088,0.1095%
Astra International Tbk PT,ASII,0.1086%
First Financial Holding Co Ltd,2892,0.1083%
Taiwan Cement Corp,1101,0.1083%
Dr.Reddy's Laboratories Ltd,DRRD,0.1077%
PetroChina Co Ltd,857,0.1076%
UltraTech Cement Ltd,UTCEM,0.1071%
MTN Group Ltd,MTN,0.1059%
China Feihe Ltd,6186,0.105%
Haidilao International Holding Ltd,6862,0.1049%
Advanced Info Service PCL,ADVANC-R,0.1049%
Taiwan Cooperative Financial Holding Co Ltd,5880,0.1036%
China Vanke Co Ltd,2202,0.1022%
Kingdee International Software Group Co Ltd,268,0.1015%
Bilibili Inc,BILI,0.1007%
Xinyi Solar Holdings Ltd,968,0.1006%
Shimao Group Holdings Ltd,813,0.098%
Mahindra and Mahindra Ltd,MM,0.097%
Wipro Ltd,WPRO,0.0969%
Nestle India Ltd,NEST,0.0969%
Bangkok Dusit Medical Services PCL,BDMS-R,0.0965%
Localiza Rent a Car SA,RENT3,0.0964%
Cemex SAB de CV,CEMEXCPO,0.0962%
Industries Qatar QPSC,IQCD,0.0955%
Polyus PAO,PLZL,0.0951%
Lojas Renner SA,LREN3,0.0945%
Zai Lab Ltd,ZLAB,0.0944%
Hartalega Holdings Bhd,HARTA,0.0936%
Hua Nan Financial Holdings Co Ltd,2880,0.0931%
Bharat Petroleum Corporation Ltd,BPCL,0.0927%
SM Prime Holdings Inc,SMPH,0.0927%
Titan Company Ltd,TTAN,0.0917%
Hengan International Group Company Ltd,1044,0.0916%
Tech Mahindra Ltd,TECHM,0.0913%
Cimb Group Holdings Bhd,CIMB,0.0907%
Autohome Inc,ATHM,0.0899%
IQIYI Inc,IQ,0.0895%
Formosa Chemicals & Fibre Corp,1326,0.0891%
Qatar Islamic Bank QPSC,QIBK,0.0891%
HDFC Standard Life Insurance Company Ltd,HDFCLIFE,0.0885%
Larsen & Toubro Ltd,LT,0.0884%
Siam Commercial Bank PCL,SCB-R,0.0882%
Notre Dame Intermedica Participacoes SA,GNDI3,0.0878%
Banque Saudi Fransi SJSC,1050,0.0874%
Ping An Healthcare and Technology Co Ltd,1833,0.0871%
Sanlam Ltd,SLM,0.0867%
Bid Corporation Ltd,BID,0.0865%
China National Building Material Co Ltd,3323,0.0857%
CITIC Securities Co Ltd,6030,0.0853%
Ayala Land Inc,ALI,0.084%
Suzano SA,SUZB3,0.0834%
PICC Property and Casualty Co Ltd,2328,0.0818%
Raia Drogasil SA,RADL3,0.081%
Guangdong Investment Ltd,270,0.0801%
China Evergrande Group,3333,0.08%
Shandong Weigao Group Medical Polymer Co Ltd,1066,0.0791%
State Bank of India,SBIN,0.079%
Banco do Brasil SA,BBAS3,0.0789%
Ayala Corp,AC,0.0789%
Hero MotoCorp Ltd,HEROMOTOCO,0.0788%
Hansoh Pharmaceutical Group Co Ltd,3692,0.0777%
ASE Technology Holding Co Ltd,3711,0.077%
Agricultural Bank of China Ltd,601288,0.0762%
Haier Electronics Group Co Ltd,1169,0.0761%
Kingsoft Corp Ltd,3888,0.0761%
Anglo American Platinum Ltd,AMS,0.0758%
Power Grid Corporation of India Ltd,PWGR,0.0758%
Kasikornbank PCL,KBANK-R,0.0753%
Masraf Al Rayan QPSC,MARK,0.0747%
Sasol Ltd,SOL,0.0745%
Industrial and Commercial Bank of China Ltd,601398,0.0741%
Avenue Supermarts Ltd,DMART,0.0739%
Alinma Bank SJSC,1150,0.0739%
Magnit PAO,MGNT,0.0739%
Sime Darby Plantation Bhd,SIMEPLT,0.0738%
Dialog Group Bhd,DIALOG,0.0734%
Vodacom Group Ltd,VOD,0.0731%
China Telecom Corp Ltd,728,0.0731%
Grupo Bimbo SAB de CV,BIMBOA,0.0729%
Rumo SA,RAIL3,0.0726%
GSX Techedu Inc,GSX,0.0716%
JOYY Inc,YY,0.0713%
Abu Dhabi Commercial Bank PJSC,ADCB,0.0713%
Gulf Energy Development PCL,GULF-R,0.071%
Lojas Americanas SA,LAME4,0.0704%
Ahli United Bank BSC,AUB,0.0699%
Shoprite Holdings Ltd,SHP,0.0696%
Eicher Motors Ltd,EICHERMOT,0.0693%
Banco Bradesco SA,BBDC3,0.0692%
Surgutneftegaz PAO,SNGSP,0.068%
China Unicom Hong Kong Ltd,762,0.068%
China Resources Gas Group Ltd,1193,0.0677%
BIM Birlesik Magazalar AS,BIMAS,0.0677%
Taishin Financial Holding Co Ltd,2887,0.0673%
JSW Steel Ltd,JSWSTEEL,0.0672%
China Development Financial Holding Corp,2883,0.0671%
Gerdau SA,GGBR4,0.067%
Mobil'nye Telesistemy PAO,MTSS,0.067%
Mobile Telecommunications Company KSCP,ZAIN,0.067%
SBI Life Insurance Company Ltd,SBILIFE,0.0669%
Zhongsheng Group Holdings Ltd,881,0.0665%
Adani Green Energy Ltd,ADANIGREEN,0.0664%
Cipla Ltd,CIPLA,0.0662%
WuXi AppTec Co Ltd,2359,0.066%
Postal Savings Bank of China Co Ltd,1658,0.0655%
Absa Group Ltd,ABG,0.0654%
Enel Americas SA,ENELAM,0.0652%
Sociedad Quimica y Minera de Chile SA,SQM-B,0.0643%
Weichai Power Co Ltd,2338,0.0641%
Britannia Industries Ltd,BRITANNIA,0.0637%
Luxshare Precision Industry Co Ltd,002475,0.0636%
CITIC Ltd,267,0.0634%
Saudi Electricity Company SJSC,5110,0.0629%
UPL Ltd,UPLL,0.0627%
Yanbu National Petrochemicals Company SJSC,2290,0.0626%
Almarai Company SJSC,2280,0.0626%
Hangzhou Hikvision Digital Technology Co Ltd,002415,0.0624%
New China Life Insurance Co Ltd,1336,0.0623%
JBS SA,JBSS3,0.0621%
IHH Healthcare Bhd,IHH,0.0618%
Divi's Laboratories Ltd,DIVI,0.0617%
Zijin Mining Group Co Ltd,2899,0.0613%
Via Varejo SA,VVAR3,0.0613%
Northam Platinum Ltd,NHM,0.0611%
China Citic Bank Corp Ltd,998,0.061%
Dabur India Ltd,DABUR,0.0609%
BYD Electronic International Co Ltd,285,0.0609%
BDO Unibank Inc,BDO,0.0609%
Equatorial Energia SA,EQTL3,0.0608%
Arab National Bank,1080,0.0606%
Adani Ports and Special Economic Zone Ltd,ADSEZ,0.0606%
JG Summit Holdings Inc,JGS,0.0605%
Empresas Copec SA,COPEC,0.0602%
Hellenic Telecommunications Organization SA,HTO,0.06%
NTPC Ltd,NTPC,0.06%
China Jinmao Holdings Group Ltd,817,0.0599%
Godrej Consumer Products Ltd,GCPL,0.0598%
Petronas Chemicals Group Bhd,PCHEM,0.0597%
Telefonica Brasil SA,VIVT4,0.0596%
Savola Group Company SJSC,2050,0.0594%
China Minsheng Banking Corp Ltd,1988,0.0594%
Tsingtao Brewery Co Ltd,168,0.0591%
Great Wall Motor Co Ltd,2333,0.059%
ICICI Lombard General Insurance Company Ltd,ICICIGI,0.0588%
PTT Exploration and Production PCL,PTTEP-R,0.0583%
Info Edge (India) Ltd,INFOE,0.0582%
AU Optronics Corp,2409,0.0581%
Banco de Chile,CHILE,0.0578%
Digi.Com Bhd,DIGI,0.0577%
IOI Corporation Bhd,IOICORP,0.0575%
Central Pattana PCL,CPN-R,0.0574%
Grupo Elektra SAB de CV,ELEKTRA*,0.0572%
Grasim Industries Ltd,GRASIM,0.057%
Sinopac Financial Holdings Co Ltd,2890,0.057%
Intouch Holdings PCL,INTUCH-R,0.057%
B2W Companhia Digital,BTOW3,0.0567%
Surgutneftegaz PAO,SNGS,0.0566%
Bajaj Auto Ltd,BJAUT,0.0554%
CEZ as,CEZ,0.0551%
Charoen Pokphand Foods PCL,CPF-R,0.055%
Vedanta Ltd,SSLT,0.0547%
Maxis Bhd,MAXIS,0.0545%
Asia Cement Corp,1102,0.0544%
Lupin Ltd,LPC,0.0542%
Banco BTG Pactual SA,BPAC11,0.0539%
Axiata Group Bhd,AXIATA,0.0538%
Industrial Bank Co Ltd,601166,0.0534%
Clicks Group Ltd,CLS,0.0531%
Bank of Communications Co Ltd,3328,0.053%
Shin Kong Financial Holding Co Ltd,2888,0.0526%
China Resources Cement Holdings Ltd,1313,0.0525%
