SCHG: Schwab U.S. Large-Cap Growth ETF
Inception Date: 2009-12-11
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	13282400
Shares Outstanding: 104900000
Expense Ratio: 0.04%
Tracks This Index: Dow Jones U.S. Large-Cap Growth Total Stock Market Total Return Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Charles Schwab
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SCHG


Holding,Symbol,Weighting
Apple Inc.,AAPL,12.94%
Microsoft Corporation,MSFT,10.26%
"Amazon.com, Inc.",AMZN,8.47%
"Facebook, Inc. Class A",FB,4.01%
Tesla Inc,TSLA,3.26%
Alphabet Inc. Class A,GOOGL,3.21%
Alphabet Inc. Class C,GOOG,3.1%
Visa Inc. Class A,V,2.26%
UnitedHealth Group Incorporated,UNH,2.03%
NVIDIA Corporation,NVDA,1.97%
Mastercard Incorporated Class A,MA,1.92%
"Home Depot, Inc.",HD,1.74%
PayPal Holdings Inc,PYPL,1.67%
"Netflix, Inc.",NFLX,1.46%
Adobe Inc.,ADBE,1.46%
"salesforce.com, inc.",CRM,1.24%
Thermo Fisher Scientific Inc.,TMO,1.13%
Broadcom Inc.,AVGO,1.08%
Costco Wholesale Corporation,COST,1.01%
Danaher Corporation,DHR,0.86%
Linde plc,LIN,0.84%
Boeing Company,BA,0.69%
"ServiceNow, Inc.",NOW,0.66%
"BlackRock, Inc.",BLK,0.62%
American Tower Corporation,AMT,0.61%
Intuit Inc.,INTU,0.61%
"Charter Communications, Inc. Class A",CHTR,0.59%
"Intuitive Surgical, Inc.",ISRG,0.59%
Booking Holdings Inc.,BKNG,0.56%
"Square, Inc. Class A",SQ,0.51%
"S&P Global, Inc.",SPGI,0.48%
"Zoetis, Inc. Class A",ZTS,0.48%
"T-Mobile US, Inc.",TMUS,0.48%
Cigna Corporation,CI,0.46%
"Uber Technologies, Inc.",UBER,0.43%
"Zoom Video Communications, Inc. Class A",ZM,0.41%
"Autodesk, Inc.",ADSK,0.41%
Lam Research Corporation,LRCX,0.41%
"Fiserv, Inc.",FISV,0.4%
Global Payments Inc.,GPN,0.39%
"Equinix, Inc.",EQIX,0.39%
Vertex Pharmaceuticals Incorporated,VRTX,0.37%
Sherwin-Williams Company,SHW,0.37%
Estee Lauder Companies Inc. Class A,EL,0.37%
Edwards Lifesciences Corporation,EW,0.35%
"Illumina, Inc.",ILMN,0.33%
Humana Inc.,HUM,0.33%
Dollar General Corporation,DG,0.31%
"Regeneron Pharmaceuticals, Inc.",REGN,0.31%
Boston Scientific Corporation,BSX,0.31%
Newmont Corporation,NEM,0.29%
Northrop Grumman Corporation,NOC,0.29%
Moody\'s Corporation,MCO,0.29%
"Twilio, Inc. Class A",TWLO,0.29%
"Roper Technologies, Inc.",ROP,0.28%
"Snap, Inc. Class A",SNAP,0.28%
NXP Semiconductors NV,NXPI,0.27%
"Workday, Inc. Class A",WDAY,0.26%
"IDEXX Laboratories, Inc.",IDXX,0.26%
HCA Healthcare Inc,HCA,0.26%
"Twitter, Inc.",TWTR,0.26%
Lululemon Athletica Inc,LULU,0.25%
"DocuSign, Inc.",DOCU,0.25%
"Synopsys, Inc.",SNPS,0.24%
"Match Group, Inc.",MTCH,0.24%
"Chipotle Mexican Grill, Inc.",CMG,0.24%
L3Harris Technologies Inc,LHX,0.24%
"Peloton Interactive, Inc. Class A",PTON,0.24%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.24%
"Align Technology, Inc.",ALGN,0.23%
MSCI Inc. Class A,MSCI,0.23%
Veeva Systems Inc Class A,VEEV,0.23%
"Cadence Design Systems, Inc.",CDNS,0.23%
"DexCom, Inc.",DXCM,0.22%
"CoStar Group, Inc.",CSGP,0.22%
"Roku, Inc. Class A",ROKU,0.22%
"Pinterest, Inc. Class A",PINS,0.21%
Centene Corporation,CNC,0.21%
Verisk Analytics Inc,VRSK,0.21%
Monster Beverage Corporation,MNST,0.21%
"Trade Desk, Inc. Class A",TTD,0.21%
TransDigm Group Incorporated,TDG,0.21%
"Alexion Pharmaceuticals, Inc.",ALXN,0.21%
"Palo Alto Networks, Inc.",PANW,0.21%
IQVIA Holdings Inc,IQV,0.21%
"O\'Reilly Automotive, Inc.",ORLY,0.2%
Liberty Broadband Corp. Class C,LBRDK,0.2%
"ANSYS, Inc.",ANSS,0.19%
Cintas Corporation,CTAS,0.19%
ResMed Inc.,RMD,0.19%
"Zimmer Biomet Holdings, Inc.",ZBH,0.19%
"Okta, Inc. Class A",OKTA,0.19%
SBA Communications Corp. Class A,SBAC,0.19%
"RingCentral, Inc. Class A",RNG,0.18%
