SCHH: Schwab US REIT ETF
Inception Date: 2011-01-13
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	4484740
Shares Outstanding: 122300000
Expense Ratio: 0.07%
Tracks This Index: Dow Jones U.S. Select REIT Index
ETFdb.com Category: Real Estate
Issuer: Charles Schwab
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SCHH


Holding,Symbol,Weighting
American Tower Corporation,AMT,8.64%
"Prologis, Inc.",PLD,6.38%
Crown Castle International Corp,CCI,5.95%
"Equinix, Inc.",EQIX,4.66%
"Digital Realty Trust, Inc.",DLR,3.42%
Public Storage,PSA,3.08%
SBA Communications Corp. Class A,SBAC,2.75%
"Simon Property Group, Inc.",SPG,2.45%
"Welltower, Inc.",WELL,2.36%
Weyerhaeuser Company,WY,2.19%
"AvalonBay Communities, Inc.",AVB,1.96%
"Alexandria Real Estate Equities, Inc.",ARE,1.93%
Realty Income Corporation,O,1.91%
Equity Residential,EQR,1.78%
"Ventas, Inc.",VTR,1.61%
"Invitation Homes, Inc.",INVH,1.46%
"Sun Communities, Inc.",SUI,1.43%
"Healthpeak Properties, Inc.",PEAK,1.43%
"Essex Property Trust, Inc.",ESS,1.36%
Extra Space Storage Inc.,EXR,1.31%
Duke Realty Corporation,DRE,1.3%
"Mid-America Apartment Communities, Inc.",MAA,1.27%
VICI Properties Inc,VICI,1.2%
"Boston Properties, Inc.",BXP,1.17%
W. P. Carey Inc.,WPC,1.08%
"Medical Properties Trust, Inc.",MPW,1.02%
"UDR, Inc.",UDR,0.99%
"Equity LifeStyle Properties, Inc.",ELS,0.94%
"Host Hotels & Resorts, Inc.",HST,0.9%
Camden Property Trust,CPT,0.85%
"Gaming and Leisure Properties, Inc.",GLPI,0.8%
"CyrusOne, Inc.",CONE,0.77%
"Iron Mountain, Inc.",IRM,0.74%
"Omega Healthcare Investors, Inc.",OHI,0.72%
"VEREIT, Inc.",VER,0.72%
STORE Capital Corporation,STOR,0.7%
American Homes 4 Rent Class A,AMH,0.7%
Americold Realty Trust,COLD,0.67%
Regency Centers Corporation,REG,0.63%
Lamar Advertising Company Class A,LAMR,0.63%
"National Retail Properties, Inc.",NNN,0.62%
CubeSmart,CUBE,0.57%
Kimco Realty Corporation,KIM,0.57%
"Rexford Industrial Realty, Inc.",REXR,0.56%
Kilroy Realty Corporation,KRC,0.53%
"Healthcare Trust of America, Inc. Class A",HTA,0.53%
"American Campus Communities, Inc.",ACC,0.52%
"Life Storage, Inc.",LSI,0.51%
Federal Realty Investment Trust,FRT,0.51%
Vornado Realty Trust,VNO,0.51%
Apartment Income REIT Corp,AIRC,0.5%
"First Industrial Realty Trust, Inc.",FR,0.48%
"EastGroup Properties, Inc.",EGP,0.48%
CoreSite Realty Corporation,COR,0.47%
Cousins Properties Incorporated,CUZ,0.44%
"Brixmor Property Group, Inc.",BRX,0.43%
"Douglas Emmett, Inc",DEI,0.42%
"STAG Industrial, Inc.",STAG,0.41%
"Spirit Realty Capital, Inc.",SRC,0.4%
SL Green Realty Corp.,SLG,0.38%
State Street Institutional Investment Trust US Government Money Market Fund Institutional,GVMXX,0.36%
"Highwoods Properties, Inc.",HIW,0.36%
Innovative Industrial Properties Inc,IIPR,0.36%
Healthcare Realty Trust Incorporated,HR,0.35%
"QTS Realty Trust, Inc. Class A",QTS,0.35%
"Park Hotels & Resorts, Inc.",PK,0.35%
Terreno Realty Corporation,TRNO,0.35%
Rayonier Inc.,RYN,0.35%
"Ryman Hospitality Properties, Inc.",RHP,0.33%
Agree Realty Corporation,ADC,0.32%
Physicians Realty Trust,DOC,0.32%
"Hudson Pacific Properties, Inc.",HPP,0.32%
"Sabra Health Care REIT, Inc.",SBRA,0.31%
JBG SMITH Properties,JBGS,0.3%
Equity Commonwealth,EQC,0.29%
PotlatchDeltic Corporation,PCH,0.29%
"National Health Investors, Inc.",NHI,0.27%
Lexington Realty Trust,LXP,0.26%
Corporate Office Properties Trust,OFC,0.26%
OUTFRONT Media Inc.,OUT,0.25%
Uniti Group Inc.,UNIT,0.24%
"PS Business Parks, Inc.",PSB,0.23%
Apple Hospitality REIT Inc,APLE,0.23%
Pebblebrook Hotel Trust,PEB,0.22%
Weingarten Realty Investors,WRI,0.22%
EPR Properties,EPR,0.21%
"Sunstone Hotel Investors, Inc.",SHO,0.21%
National Storage Affiliates Trust,NSA,0.2%
RLJ Lodging Trust,RLJ,0.2%
