SDOG: ALPS Sector Dividend Dogs ETF
Inception Date: 2012-06-29
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	1007400
Shares Outstanding: 22859000
Expense Ratio: 0.4%
Tracks This Index: S-Network Sector Dividend Dogs Index
ETFdb.com Category: Large Cap Value Equities
Issuer: ALPS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SDOG


Holding,Symbol,Weighting
Comerica Incorporated,CMA,2.18%
Newell Brands Inc,NWL,2.16%
"Hasbro, Inc.",HAS,2.12%
LyondellBasell Industries NV,LYB,2.11%
"Leggett & Platt, Incorporated",LEG,2.11%
"Dow, Inc.",DOW,2.09%
Hanesbrands Inc.,HBI,2.09%
International Paper Company,IP,2.07%
Genuine Parts Company,GPC,2.07%
"CF Industries Holdings, Inc.",CF,2.06%
International Business Machines Corporation,IBM,2.05%
"AbbVie, Inc.",ABBV,2.03%
Xerox Holdings Corporation,XRX,2.03%
Amcor PLC,AMCR,2.03%
Western Union Company,WU,2.02%
Huntington Bancshares Incorporated,HBAN,2.01%
Kellogg Company,K,2.01%
Exxon Mobil Corporation,XOM,2.01%
"People\'s United Financial, Inc.",PBCT,2.0%
"Gilead Sciences, Inc.",GILD,2.0%
Walgreens Boots Alliance Inc,WBA,2.0%
Southern Company,SO,2.0%
FirstEnergy Corp.,FE,1.99%
Hewlett Packard Enterprise Co.,HPE,1.99%
3M Company,MMM,1.99%
Kraft Heinz Company,KHC,1.99%
PPL Corporation,PPL,1.99%
"Cardinal Health, Inc.",CAH,1.98%
"Merck & Co., Inc.",MRK,1.98%
"Prudential Financial, Inc.",PRU,1.98%
"Lumen Technologies, Inc.",LUMN,1.97%
Dominion Energy Inc,D,1.97%
"Interpublic Group of Companies, Inc.",IPG,1.97%
Verizon Communications Inc.,VZ,1.96%
Valero Energy Corporation,VLO,1.96%
Philip Morris International Inc.,PM,1.96%
Edison International,EIX,1.96%
Emerson Electric Co.,EMR,1.95%
Lockheed Martin Corporation,LMT,1.95%
General Dynamics Corporation,GD,1.95%
Omnicom Group Inc,OMC,1.94%
Unum Group,UNM,1.94%
"ONEOK, Inc.",OKE,1.92%
Altria Group Inc,MO,1.92%
"Williams Companies, Inc.",WMB,1.91%
AT&T Inc.,T,1.91%
Kinder Morgan Inc Class P,KMI,1.91%
"Huntington Ingalls Industries, Inc.",HII,1.88%
Seagate Technology PLC,STX,1.88%
Pfizer Inc.,PFE,1.83%
U.S. Dollar,Other,0.18%
STATE STR INSTL INVT TR TREA PLUS INST,TPIXX,0.08%
