SDOW: ProShares UltraPro Short Dow30
Inception Date: 2010-02-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	521757
Shares Outstanding: 39484000
Expense Ratio: 0.95%
Tracks This Index: Dow Jones Industrial Average (-300%)
ETFdb.com Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SDOW


Holding,Symbol,Weighting
U.S. Dollar,Other,47.24%
United States Treasury Bills 0.0% 28-JAN-2021,Other,9.18%
United States Treasury Bills 0.0% 21-JAN-2021,Other,6.88%
United States Treasury Bills 0.0% 07-JAN-2021,Other,4.59%
United States Treasury Bills 0.0% 14-JAN-2021,Other,4.59%
United States Treasury Bills 0.0% 04-FEB-2021,Other,4.59%
United States Treasury Bills 0.0% 06-MAY-2021,Other,4.59%
United States Treasury Bills 0.0% 20-MAY-2021,Other,2.75%
United States Treasury Bills 0.0% 18-MAR-2021,Other,2.29%
United States Treasury Bills 0.0% 22-APR-2021,Other,2.29%
United States Treasury Bills 0.0% 25-MAR-2021,Other,2.29%
United States Treasury Bills 0.0% 18-FEB-2021,Other,2.29%
United States Treasury Bills 0.0% 04-MAR-2021,Other,2.29%
United States Treasury Bills 0.0% 15-JUL-2021,Other,2.29%
United States Treasury Bills 0.0% 15-APR-2021,Other,1.83%
